fia_species_code,scientific_name,USGS_mapping_type,Mexico_or_global_extension_status,queue_reason,external_search_run,mainline_action_required
98,Picea sitchensis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
101,Pinus albicaulis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
102,Pinus aristata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
103,Pinus attenuata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
104,Pinus balfouriana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
105,Pinus banksiana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
106,Pinus edulis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
107,Pinus clausa,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
108,Pinus contorta,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
109,Pinus coulteri,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
110,Pinus echinata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
111,Pinus elliottii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
112,Pinus engelmannii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
113,Pinus flexilis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
114,Pinus strobiformis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
115,Pinus glabra,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
116,Pinus jeffreyi,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
117,Pinus lambertiana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
118,Pinus leiophylla,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
119,Pinus monticola,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
120,Pinus muricata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
121,Pinus palustris,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
122,Pinus ponderosa,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
123,Pinus pungens,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
124,Pinus radiata,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
125,Pinus resinosa,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
126,Pinus rigida,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
127,Pinus sabiniana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
128,Pinus serotina,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
129,Pinus strobus,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
130,Pinus sylvestris,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
131,Pinus taeda,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
132,Pinus virginiana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
133,Pinus monophylla,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
134,Pinus discolor,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
135,Pinus arizonica,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
136,Pinus nigra,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
137,Pinus washoensis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
140,Pinus cembroides,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
141,Pinus remota,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
142,Pinus longaeva,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
143,Pinus monophylla var. fallax,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
201,Pseudotsuga macrocarpa,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
202,Pseudotsuga menziesii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
211,Sequoia sempervirens,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
212,Sequoiadendron giganteum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
221,Taxodium distichum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
222,Taxodium ascendens,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
231,Taxus brevifolia,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
241,Thuja occidentalis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
242,Thuja plicata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
251,Torreya californica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
261,Tsuga canadensis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
262,Tsuga caroliniana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
263,Tsuga heterophylla,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
264,Tsuga mertensiana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
303,Acacia farnesiana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
311,Acer barbatum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
312,Acer macrophyllum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
313,Acer negundo,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
314,Acer nigrum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
315,Acer pensylvanicum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
316,Acer rubrum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
317,Acer saccharinum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
318,Acer saccharum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
319,Acer spicatum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
320,Acer platanoides,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
322,Acer grandidentatum,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
323,Acer leucoderme,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
331,Aesculus glabra,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
332,Aesculus flava,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
333,Aesculus californica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
334,Aesculus glabra var. arguta,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
341,Ailanthus altissima,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
345,Albizia julibrissin,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
350,Alnus spp.,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
351,Alnus rubra,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
352,Alnus rhombifolia,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
353,Alnus oblongifolia,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
355,Alnus glutinosa,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
356,Amelanchier spp.,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
357,Amelanchier arborea,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
361,Arbutus menziesii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
362,Arbutus arizonica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
363,Arbutus xalapensis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
367,Asimina triloba,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
371,Betula alleghaniensis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
372,Betula lenta,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
373,Betula nigra,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
374,Betula occidentalis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
375,Betula papyrifera,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
379,Betula populifolia,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
381,Sideroxylon lanuginosum ssp. lanuginosum,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
391,Carpinus caroliniana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
401,Carya aquatica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
402,Carya cordiformis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
403,Carya glabra,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
404,Carya illinoinensis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
405,Carya laciniosa,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
406,Carya myristiciformis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
407,Carya ovata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
408,Carya texana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
409,Carya alba,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
410,Carya pallida,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
411,Carya floridana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
412,Carya ovalis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
413,Carya carolinae-septentrionalis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
421,Castanea dentata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
422,Castanea pumila,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
423,Castanea pumila var. ozarkensis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
424,Castanea mollissima,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
431,Chrysolepis chrysophylla var. chrysophylla,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
451,Catalpa bignonioides,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
452,Catalpa speciosa,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
461,Celtis laevigata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
462,Celtis occidentalis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
463,Celtis laevigata var. reticulata,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
471,Cercis canadensis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
475,Cercocarpus ledifolius,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
481,Cladrastis kentukea,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
491,Cornus florida,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
492,Cornus nuttallii,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
500,Crataegus spp.,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
501,Crataegus crus-galli,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
502,Crataegus mollis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
511,Eucalyptus globulus,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
513,Eucalyptus grandis,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
521,Diospyros virginiana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
522,Diospyros texana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
523,Ehretia anacua,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
531,Fagus grandifolia,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
541,Fraxinus americana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
542,Fraxinus latifolia,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
543,Fraxinus nigra,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
544,Fraxinus pennsylvanica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
545,Fraxinus profunda,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
546,Fraxinus quadrangulata,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
547,Fraxinus velutina,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
548,Fraxinus caroliniana,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
549,Fraxinus texensis,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
551,Gleditsia aquatica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
552,Gleditsia triacanthos,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
555,Gordonia lasianthus,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
561,Ginkgo biloba,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
571,Gymnocladus dioicus,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
581,Halesia carolina,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
582,Halesia diptera,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
591,Ilex opaca,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
601,Juglans cinerea,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
602,Juglans nigra,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
603,Juglans hindsii,unresolved,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range; USGS name unresolved,0,Decide whether a narrow future global-range audit is necessary
604,Juglans californica,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
605,Juglans microcarpa,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
606,Juglans major,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
611,Liquidambar styraciflua,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
621,Liriodendron tulipifera,exact,NOT_ASSESSED,USGS CANUSA cannot close Mexico or global range,0,Decide whether a narrow future global-range audit is necessary
