analysis_species_id,analysis_species_name,analysis_species_authors,analysis_species_family,diameter_basis_composition,frozen_raw_fia_code_contributors,observed_f0_raw_fia_code_contributors,native_state_count,native_state_codes,d1_taxonomy_reconstruction,d2_target_native_f0_linkage,d3_legitimate_opportunity_A,d3_legitimate_opportunity_B,d4_positive_encounter_A,d4_positive_encounter_B,n_legitimate_opportunity_A,n_legitimate_opportunity_B,n_encounter_plot_A,n_encounter_plot_B,n_qualifying_tree_A,n_qualifying_tree_B,invalid_native_candidate_link_tree_count,provisional_d08c2_status,bidirectional_constructible,final_cohort_flag,grid_used,abundance_or_occupancy_result_used
35028,Castanea pumila,(L.) Mill.,Fagaceae,DBH_ONLY,422,422,22,1;5;10;12;13;18;21;22;24;25;28;29;34;36;37;40;42;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,24210,36668,2,3,2,3,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
320352,Catalpa bignonioides,Walter,Bignoniaceae,DBH_ONLY,451,451,6,1;12;13;22;28;48,PASS,PASS,PASS,PASS,PASS,PASS,10734,16312,2,12,2,21,1,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
320410,Catalpa speciosa,Warder ex Teas,Bignoniaceae,DBH_ONLY,452,452,31,1;5;9;13;17;18;19;20;21;22;25;26;28;29;31;33;35;36;37;38;39;40;42;45;46;47;48;49;50;51;54,PASS,PASS,PASS,PASS,PASS,PASS,29575,44789,22,30,46,75,5,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
382830,Chamaecyparis lawsoniana,(A.Murray bis) Oerst.,Cupressaceae,DBH_ONLY,41,41,2,6;41,PASS,PASS,PASS,PASS,PASS,PASS,6240,9424,48,75,279,383,28,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
382860,Chamaecyparis thyoides,(L.) Oerst.,Cupressaceae,DBH_ONLY,43,43,16,1;9;10;12;13;23;24;25;28;33;34;36;37;44;45;51,PASS,PASS,PASS,PASS,PASS,PASS,13857,20934,45,59,362,614,12,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
39927,Chrysolepis chrysophylla,(Douglas ex Hook.) Hjelmq.,Fagaceae,DBH_ONLY,431,431,3,6;41;53,PASS,PASS,PASS,PASS,PASS,PASS,8564,12933,192,273,728,1078,25,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2724586,Cladrastis kentukea,(Dum.Cours.) Rudd,Fabaceae,DBH_ONLY,481,481,13,1;5;13;17;18;21;22;28;29;37;40;45;47,PASS,PASS,PASS,PASS,PASS,PASS,14935,22628,6,4,11,4,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2740014,Cotinus obovatus,Raf.,Anacardiaceae,DBH_ONLY,996,996,7,1;5;13;29;40;47;48,PASS,PASS,PASS,PASS,PASS,PASS,11453,17503,1,4,2,4,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
385000,Diospyros virginiana,L.,Ebenaceae,DBH_ONLY,521,521,26,1;5;9;10;12;13;17;18;19;20;21;22;24;28;29;34;36;37;39;40;42;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,25524,38709,571,866,881,1328,107,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
370051,Fraxinus profunda,(Bush) Bush,Oleaceae,DBH_ONLY,545,545,21,1;5;10;12;13;17;18;21;22;24;26;28;29;34;36;37;39;42;45;47;51,PASS,PASS,PASS,PASS,PASS,PASS,21679,32712,27,42,189,240,1,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2830846,Gordonia lasianthus,(L.) Ellis,Theaceae,DBH_ONLY,555,555,6,1;12;13;28;37;45,PASS,PASS,PASS,PASS,PASS,PASS,8857,13430,128,207,875,1408,31,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2838104,Halesia carolina,L.,Styracaceae,DBH_ONLY,581;7328,581;7328,15,1;5;12;13;17;18;21;22;28;37;40;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,17113,25894,59,80,115,183,1,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2838115,Halesia diptera,L.,Styracaceae,DBH_ONLY,582,582,8,1;5;12;13;22;28;45;48,PASS,PASS,PASS,PASS,PASS,PASS,13172,20017,3,6,6,10,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
457903,Hesperocyparis bakeri,(Jeps.) Bartel,Cupressaceae,DBH_ONLY,52,52,2,6;41,PASS,PASS,PASS,PASS,FAIL,PASS,6240,9424,0,2,0,12,0,ONE_DIRECTION_ONLY_DIAGNOSTIC,0,0,NO,NO
457913,Hesperocyparis macrocarpa,(Hartw.) Bartel,Cupressaceae,DBH_ONLY,54,54,1,6,PASS,PASS,PASS,PASS,FAIL,PASS,2126,3141,0,1,0,2,0,ONE_DIRECTION_ONLY_DIAGNOSTIC,0,0,NO,NO
457918,Hesperocyparis sargentii,(Jeps.) Bartel,Cupressaceae,DBH_ONLY,55,55,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,1,4,2,51,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2861190,Ilex opaca,Aiton,Aquifoliaceae,DBH_ONLY,591,591,26,1;5;9;10;12;13;17;18;21;22;24;25;28;29;34;36;37;39;40;42;44;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,25347,38387,763,1130,1745,2779,79,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2331825,Juglans californica,S.Watson,Juglandaceae,DBH_ONLY,604,604,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,1,1,6,6,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2329229,Juglans hindsii,(Jeps.) Jeps. ex R.E.Sm.,Juglandaceae,DBH_ONLY,603,603,1,6,PASS,PASS,PASS,PASS,PASS,FAIL,2126,3141,1,0,1,0,0,ONE_DIRECTION_ONLY_DIAGNOSTIC,0,0,NO,NO
377592,Juniperus occidentalis,Hook.,Cupressaceae,DBH_ONLY,64,64,5,6;16;32;41;53,PASS,PASS,PASS,PASS,PASS,PASS,10870,16318,586,777,3171,4632,345,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
377597,Juniperus osteosperma,(Torr.) Little,Cupressaceae,DRC_ONLY,65,65,9,4;6;8;16;30;32;35;49;56,PASS,PASS,PASS,PASS,PASS,PASS,12456,18674,2078,3063,20910,29352,144,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2501306,Maclura pomifera,(Raf.) C.K.Schneid.,Moraceae,DBH_ONLY,641,641,3,5;40;48,PASS,PASS,PASS,PASS,PASS,PASS,5563,8494,123,173,340,511,29,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
117583,Magnolia fraseri,Walter,Magnoliaceae,DBH_ONLY,655,655,12,1;12;13;21;22;28;37;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,17354,26309,158,256,329,627,12,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
117615,Magnolia grandiflora,L.,Magnoliaceae,DBH_ONLY,652,652,8,1;12;13;22;28;37;45;48,PASS,PASS,PASS,PASS,PASS,PASS,13179,20032,250,400,616,894,21,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
117698,Magnolia macrophylla,Michx.,Magnoliaceae,DBH_ONLY,654,654,11,1;5;13;21;22;28;37;39;45;47;51,PASS,PASS,PASS,PASS,PASS,PASS,13948,21090,49,77,86,146,3,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
117869,Magnolia tripetala,(L.) L.,Magnoliaceae,DBH_ONLY,658,658,17,1;5;12;13;18;21;24;28;36;37;39;40;42;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,18722,28274,17,17,27,28,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2950397,Malus angustifolia,(Aiton) Michx.,Rosaceae,DBH_ONLY,662,662,19,1;5;10;12;13;17;21;22;24;28;29;34;37;39;42;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,19261,29109,4,3,4,3,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
458543,Notholithocarpus densiflorus,"(Hook. & Arn.) Manos, Cannon & S.H.Oh",Fagaceae,DBH_ONLY,631,631,2,6;41,PASS,PASS,PASS,PASS,PASS,PASS,6240,9424,340,477,5176,6566,87,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
136188,Nyssa aquatica,L.,Nyssaceae,DBH_ONLY,691,691,14,1;5;12;13;17;21;22;28;29;37;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,19557,29695,200,277,2047,2980,60,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
136191,Nyssa biflora,Walter,Nyssaceae,DBH_ONLY,694,694,17,1;5;10;12;13;17;21;22;24;28;29;34;37;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,20042,30398,873,1257,6147,9305,153,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
136212,Nyssa ogeche,W.Bartram ex Marshall,Nyssaceae,DBH_ONLY,692,692,4,1;12;13;45,PASS,PASS,PASS,PASS,PASS,PASS,5879,8964,21,26,85,177,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2387656,Oxydendrum arboreum,(L.) DC.,Ericaceae,DBH_ONLY,711,711,17,1;12;13;18;21;22;24;28;34;36;37;39;42;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,17746,26775,1738,2636,5177,7805,122,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2529931,Persea borbonia,(L.) Spreng.,Lauraceae,DBH_ONLY,721,721,9,1;5;12;13;22;28;37;45;48,PASS,PASS,PASS,PASS,PASS,PASS,14579,22148,65,142,136,433,10,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380618,Picea breweriana,S.Watson,Pinaceae,DBH_ONLY,92,92,2,6;41,PASS,PASS,PASS,PASS,PASS,PASS,6240,9424,2,5,2,28,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380719,Picea pungens,Engelm.,Pinaceae,DBH_ONLY,96,96,7,4;8;16;30;35;49;56,PASS,PASS,PASS,PASS,PASS,PASS,9560,14366,84,117,548,735,11,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380723,Pinus aristata,Engelm.,Pinaceae,DBH_ONLY,102,102,3,4;8;35,PASS,PASS,PASS,PASS,PASS,PASS,4316,6545,59,69,367,391,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380514,Pinus balfouriana,Balf.,Pinaceae,DBH_ONLY,104,104,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,8,15,136,230,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,Pinaceae,DBH_ONLY,107,107,2,1;12,PASS,PASS,PASS,PASS,PASS,PASS,2951,4485,76,97,1183,1367,32,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379818,Pinus echinata,Mill.,Pinaceae,DBH_ONLY,110,110,23,1;5;9;10;12;13;17;21;22;24;28;29;34;36;37;39;40;42;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,24704,37414,1678,2589,8067,12804,427,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379820,Pinus edulis,Engelm.,Pinaceae,DRC_ONLY,106,106,8,4;6;8;35;40;48;49;56,PASS,PASS,PASS,PASS,PASS,PASS,12560,19061,1855,2837,13932,20765,104,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379943,Pinus elliottii,Engelm.,Pinaceae,DBH_ONLY,111,111,6,1;12;13;22;28;45,PASS,PASS,PASS,PASS,PASS,PASS,8480,12848,1092,1665,13378,20696,681,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379966,Pinus glabra,Walter,Pinaceae,DBH_ONLY,115,115,6,1;12;13;22;28;45,PASS,PASS,PASS,PASS,PASS,PASS,8480,12848,113,183,328,409,7,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379762,Pinus longaeva,D.K.Bailey,Pinaceae,DBH_ONLY,142,142,3,6;32;49,PASS,PASS,PASS,PASS,PASS,PASS,4091,6176,18,18,79,177,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380231,Pinus monophylla,Torr. & Frém.,Pinaceae,DRC_ONLY,133,133,5,4;6;16;32;49,PASS,PASS,PASS,PASS,PASS,PASS,6924,10320,752,1103,8214,12199,102,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380268,Pinus palustris,Mill.,Pinaceae,DBH_ONLY,121,121,9,1;12;13;22;28;37;45;48;51,PASS,PASS,PASS,PASS,PASS,PASS,14479,22027,709,1036,5918,9243,189,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380272,Pinus pungens,Lamb.,Pinaceae,DBH_ONLY,123,123,8,13;24;37;42;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,8887,13460,72,132,247,535,4,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380011,Pinus sabiniana,Douglas,Pinaceae,DBH_ONLY,127,127,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,106,149,276,388,35,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
379991,Pinus serotina,Michx.,Pinaceae,DBH_ONLY,128,128,9,1;10;12;13;24;34;37;45;51,PASS,PASS,PASS,PASS,PASS,PASS,9071,13793,150,207,864,1225,39,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380129,Pinus taeda,L.,Pinaceae,DBH_ONLY,131,131,15,1;5;10;12;13;21;22;24;28;37;40;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,19051,28855,6399,9743,104893,159889,5252,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
380091,Pinus virginiana,Mill.,Pinaceae,DBH_ONLY,132,132,16,1;10;13;18;21;24;28;34;36;37;39;42;45;47;51;54,PASS,PASS,PASS,PASS,PASS,PASS,15492,23372,1031,1585,5250,8254,431,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2551587,Planera aquatica,J.F.Gmel.,Ulmaceae,DBH_ONLY,722,722,14,1;5;12;13;17;21;22;28;29;37;40;45;47;48,PASS,PASS,PASS,PASS,PASS,PASS,19128,29025,81,130,436,711,14,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
2959079,Prunus caroliniana,(Mill.) Aiton,Rosaceae,DBH_ONLY,8345,8345,9,1;5;12;13;22;28;37;45;48,PASS,PASS,PASS,PASS,PASS,PASS,14579,22148,2,1,4,2,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
378313,Pseudotsuga macrocarpa,(Vasey) Mayr,Pinaceae,DBH_ONLY,201,201,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,2,4,6,17,1,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
171657,Quercus arkansana,Sarg.,Fagaceae,DBH_ONLY,6768,6768,6,1;5;12;13;22;48,PASS,PASS,PASS,PASS,FAIL,PASS,10563,16093,0,1,0,1,0,ONE_DIRECTION_ONLY_DIAGNOSTIC,0,0,NO,NO
171890,Quercus buckleyi,Nixon & Dorr,Fagaceae,DBH_ONLY,8513,8513,2,40;48,PASS,PASS,PASS,PASS,PASS,PASS,4163,6378,45,94,150,297,16,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
172244,Quercus coccinea,Münchh.,Fagaceae,DBH_ONLY,806,806,27,1;5;9;10;13;17;18;21;23;24;25;26;28;29;33;34;36;37;39;42;44;45;47;50;51;54;55,PASS,PASS,PASS,PASS,PASS,PASS,25044,37786,1667,2456,4558,6611,174,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
172538,Quercus douglasii,Hook. & Arn.,Fagaceae,DBH_ONLY,807,807,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,177,264,1229,1930,124,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
172729,Quercus falcata,Michx.,Fagaceae,DBH_ONLY,812,812,23,1;5;10;12;13;17;18;21;22;24;28;29;34;36;37;39;40;42;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,24960,37815,1891,2965,4008,6329,294,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
172866,Quercus geminata,Small,Fagaceae,DBH_ONLY,8441,8441,7,1;12;13;22;28;37;45,PASS,PASS,PASS,PASS,PASS,PASS,9887,14979,25,17,124,92,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
172875,Quercus georgiana,M.A.Curtis,Fagaceae,DBH_ONLY,6782,6782,3,1;13;37,PASS,PASS,PASS,PASS,PASS,PASS,4970,7581,2,1,2,2,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
172964,Quercus graciliformis,C.H.Mull.,Fagaceae,DBH_ONLY,851,851,1,48,PASS,PASS,PASS,PASS,PASS,PASS,3292,5053,1,1,4,5,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173053,Quercus hemisphaerica,W.Bartram ex Willd.,Fagaceae,DBH_ONLY,8449,8449,10,1;5;12;13;22;28;37;45;48;51,PASS,PASS,PASS,PASS,PASS,PASS,15879,24143,47,93,183,443,7,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173302,Quercus imbricaria,Michx.,Fagaceae,DBH_ONLY,817,817,21,1;5;10;17;18;19;20;21;22;24;26;29;34;36;37;39;42;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,20431,30945,229,324,486,774,53,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173316,Quercus incana,W.Bartram,Fagaceae,DBH_ONLY,842,842,11,1;5;12;13;22;28;37;40;45;48;51,PASS,PASS,PASS,PASS,PASS,PASS,16750,25468,19,34,27,58,4,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173479,Quercus laevis,Walter,Fagaceae,DBH_ONLY,819,819,8,1;12;13;22;28;37;45;51,PASS,PASS,PASS,PASS,PASS,PASS,11187,16974,77,135,206,407,24,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173587,Quercus laurifolia,Michx.,Fagaceae,DBH_ONLY,820,820,10,1;5;12;13;22;28;37;45;48;51,PASS,PASS,PASS,PASS,PASS,PASS,15879,24143,996,1467,3499,5239,255,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173674,Quercus lobata,Née,Fagaceae,DBH_ONLY,821,821,1,6,PASS,PASS,PASS,PASS,PASS,PASS,2126,3141,25,51,119,140,29,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173795,Quercus lyrata,Walter,Fagaceae,DBH_ONLY,822,822,19,1;5;10;12;13;17;18;21;22;24;28;29;34;37;40;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,21290,32304,286,416,776,1143,26,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173863,Quercus margaretta,(Ashe) Small,Fagaceae,DBH_ONLY,840,840,13,1;5;12;13;22;28;29;37;40;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,19077,29027,38,70,191,244,5,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173871,Quercus marilandica,Münchh.,Fagaceae,DBH_ONLY,824,824,26,1;5;10;12;13;17;18;19;20;21;22;24;28;29;31;34;36;37;39;40;42;45;47;48;51;54,PASS,PASS,PASS,PASS,PASS,PASS,25541,38717,480,796,1387,2334,69,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173929,Quercus michauxii,Nutt.,Fagaceae,DBH_ONLY,825;832,825;832,19,1;5;10;12;13;17;18;21;22;24;28;29;34;37;42;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,21578,32690,2030,2940,9949,14929,220,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
173948,Quercus minima,(Sarg.) Small,Fagaceae,DBH_ONLY,841,841,6,1;12;13;28;37;45,PASS,PASS,PASS,PASS,PASS,PASS,8857,13430,27,48,90,238,19,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
174037,Quercus myrtifolia,Willd.,Fagaceae,DBH_ONLY,6791,6791,5,1;12;13;28;45,PASS,PASS,PASS,PASS,PASS,PASS,7450,11299,10,7,20,20,0,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
174075,Quercus nigra,L.,Fagaceae,DBH_ONLY,827,827,17,1;5;10;12;13;21;22;24;28;29;34;37;40;45;47;48;51,PASS,PASS,PASS,PASS,PASS,PASS,20510,31107,3366,5005,10554,15577,935,D08C2_ELIGIBLE_FOR_OBSERVATION_AND_MEASUREMENT_GATE,1,0,NO,NO
