state_fips,state_abbr,fold,selected_panels,component_evalid,f0_plot_visit_count,plot_status_sampled_count,protocol_designcd_nonblank_count,protocol_manual_nonblank_count,plot_with_accessible_forest_condition_count,plot_with_sampled_subplot_count,plot_with_relevant_sampled_subplot_count,legitimate_opportunity_plot_visit_count,partial_sampling_opportunity_count,accessible_forest_condition_count,sampled_subplot_element_count,designcd_values,manual_values,prop_basis_values,condprop_unadj_range,subpprop_unadj_range,macrprop_unadj_range,partial_sampling_allowed,effort_metadata_used_as_threshold,opportunity_rule_id
16,ID,B,2-3-5,162301,5209,2220,5209,5209,2220,2220,2218,2218,315,2459,8322,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.016951..1,0.016951..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
17,IL,A,3-5,172301,2341,423,2341,2341,423,423,403,403,179,467,1284,1,7.0;8.0;9.0;9.2,SUBP,0.003323..1,0.003323..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
17,IL,B,1-2-4,172301,3599,641,3599,3599,641,641,616,616,230,747,2049,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.006867..1,0.006867..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
18,IN,A,3-5,182301,1493,388,1493,1493,388,388,377,377,140,452,1261,1,7.0;8.0;9.0;9.2,SUBP,0.017543..1,0.017543..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
18,IN,B,1-2-4,182301,2279,596,2279,2279,596,596,581,581,225,665,1915,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.001362..1,0.001362..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
19,IA,A,1-4,192301,2380,234,2380,2380,234,234,229,229,116,264,691,1,7.0;8.0;9.0;9.1,SUBP,0.013142..1,0.013142..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
19,IA,B,2-3-5,192301,3568,378,3568,3568,378,378,364,364,165,435,1173,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.016371..1,0.016371..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
20,KS,A,1-5,202301,3473,231,3473,3473,231,231,214,214,132,266,623,1,8.0;9.0;9.1,SUBP,0.004456..1,0.004456..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
20,KS,B,2-3-4,202301,5238,358,5238,5238,358,358,350,350,212,405,994,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.015393..1,0.015393..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
21,KY,A,2-3,212301,1692,970,1692,1692,970,970,948,948,266,1211,3339,1,7.0;9.4,SUBP,0.00156..1,0.00156..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
21,KY,B,1-4-5,212301,2526,1409,2526,2526,1409,1409,1377,1377,384,1804,4854,1,7.0;8.0;9.0;9.2;9.3,SUBP,0.002725..1,0.002725..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
22,LA,A,3-5,222301,2157,1046,2157,2157,1046,1046,1030,1030,161,1286,3856,1,8.0;9.0;9.1;9.2,SUBP,0.005029..1,0.005029..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
22,LA,B,1-2-4,222301,3230,1579,3230,3230,1579,1579,1549,1549,224,1976,5835,1,7.0;8.0;9.0;9.1;9.3,SUBP,0.00531..1,0.00531..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
23,ME,A,1-5,232301,1390,1250,1390,1390,1250,1250,1245,1245,144,1449,4753,1,8.0;9.0;9.2,SUBP,0.012644..1,0.012644..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
23,ME,B,2-3-4,232301,2113,1875,2113,2113,1875,1875,1863,1863,209,2186,7104,1,9.0;9.1,SUBP,0.003539..1,0.003539..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
24,MD,A,1-5,242301,381,168,381,381,168,168,166,166,60,188,557,1,8.0;9.0;9.1,SUBP,0.094817..1,0.094817..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
24,MD,B,2-3-4,242301,585,245,585,585,245,245,239,239,76,279,817,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.009902..1,0.009902..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
25,MA,A,2-4,252301,319,212,319,319,212,212,211,211,77,245,709,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.024302..1,0.024302..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
25,MA,B,1-3-5,252301,472,321,472,472,321,321,317,317,109,362,1078,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.014575..1,0.014575..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
26,MI,A,2-4,262301,2659,1703,2659,2659,1703,1703,1676,1676,328,2148,6131,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.000546..1,0.000546..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
26,MI,B,1-3-5,262301,3873,2509,3873,3873,2509,2509,2480,2480,474,3126,9086,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.001484..1,0.001484..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
27,MN,A,2-3,272301,7002,2470,7002,7002,2470,2470,2448,2448,540,3227,8867,1,9.0,SUBP,0.000267..1,0.000267..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
27,MN,B,1-4-5,272301,10459,3661,10459,10459,3661,3661,3630,3630,838,4768,13049,1,8.0;9.0;9.1;9.2,SUBP,0.00028..1,0.00028..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
28,MS,A,4-5,282301,2211,1586,2211,2211,1586,1586,1571,1571,322,2029,5727,1,7.0;8.0;9.0,SUBP,0.000144..1,0.000144..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
28,MS,B,1-2-3,282301,3313,2372,3313,3313,2372,2372,2335,2335,497,3047,8489,1,8.0;9.0;9.1;9.2,SUBP,0.001484..1,0.001484..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
29,MO,A,4-5,292301,2889,1218,2889,2889,1218,1218,1194,1194,359,1379,4102,1,7.0;8.0;9.0,SUBP,0.003115..1,0.003115..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
29,MO,B,1-2-3,292301,4394,1915,4394,4394,1915,1915,1859,1859,530,2199,6502,1,7.0;9.0;9.1;9.2,SUBP,0.002543..1,0.002543..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
30,MT,A,2-4,302201,6155,1760,6155,6155,1760,1760,1753,1753,273,1988,6522,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.012247..1,0.012247..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
30,MT,B,1-3-5,302201,9128,2610,9128,9128,2610,2610,2606,2606,421,2889,9665,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.015247..1,0.015247..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
31,NE,A,1-5,312301,3305,142,3305,3305,142,142,138,138,69,157,421,1,8.0;9.0;9.1,SUBP,0.03026..1,0.03026..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
31,NE,B,2-3-4,312301,4958,193,4958,4958,193,193,188,188,102,211,567,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.026335..1,0.026335..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
32,NV,A,2-5,322301,4501,771,4501,4501,771,771,770,770,129,794,2833,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.03026..1,0.03026..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
32,NV,B,1-3-4,322301,6885,1169,6885,6885,1169,1169,1167,1167,213,1217,4297,1,6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.046813..1,0.046813..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
33,NH,A,1-4,332301,468,425,468,468,425,425,424,424,51,474,1617,1,8.0;9.0;9.1;9.2,SUBP,0.036467..1,0.036467..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
33,NH,B,2-3-5,332301,699,628,699,699,628,628,624,624,73,701,2373,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.006867..1,0.006867..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
34,NJ,A,3-4,342301,575,272,575,575,272,272,265,265,91,325,892,1,9.0;9.1;9.2,SUBP,0.001954..1,0.001954..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
34,NJ,B,1-2-5,342301,934,404,934,934,404,404,393,393,128,467,1334,1,8.0;9.0;9.2,SUBP,0.01365..1,0.01365..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
35,NM,A,1-4,352201,4892,1479,4892,4892,1479,1479,1474,1474,251,1552,5430,1,5.1;6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.016371..1,0.016371..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
35,NM,B,2-3-5,352201,7211,2245,7211,7211,2245,2245,2241,2241,324,2359,8370,1,5.1;6.0;7.0;8.0;9.0;9.1;9.2,SUBP,0.004242..1,0.004242..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
36,NY,A,1-3,362301,1788,1177,1788,1788,1177,1177,1159,1159,328,1326,4050,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.000324..1,0.000324..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
36,NY,B,2-4-5,362301,2698,1788,2698,2698,1788,1788,1747,1747,465,1995,6192,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.000546..1,0.000546..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
37,NC,A,4-5,372301,2273,1439,2273,2273,1439,1439,1407,1407,320,1874,5088,1,7.0;8.0;9.0,SUBP,0.00028..1,0.00028..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
37,NC,B,1-2-3,372301,3429,2167,3429,3429,2167,2167,2131,2131,512,2795,7656,1,7.0;8.0;9.0;9.2,SUBP,0.000119..1,0.000119..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
38,ND,A,1-5,382301,3046,92,3046,3046,92,92,89,89,49,99,267,1,8.0;9.0;9.1,SUBP,0.024124..1,0.024124..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
38,ND,B,2-3-4,382301,4550,113,4550,4550,113,113,109,109,63,121,323,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.022087..1,0.022087..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
39,OH,A,1-4,392301,1629,571,1629,1629,571,571,558,558,246,657,1751,1,8.0;9.0;9.1;9.2,SUBP,0.001484..1,0.001484..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
39,OH,B,2-3-5,392301,2439,869,2439,2439,869,869,848,848,367,1008,2719,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.001484..1,0.001484..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
40,OK,A,2-4,402301,2911,888,2911,2911,888,888,871,871,273,1029,2998,1,6.1;7.0;9.1;9.3,SUBP,0.002202..1,0.002202..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
40,OK,B,1-3-5,402301,4387,1363,4387,4387,1363,1363,1325,1325,435,1566,4521,1,6.0;7.0;9.0;9.2,SUBP,0.000352..1,0.000352..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
41,OR,A,1-2,412301,6302,4152,6302,6302,4152,4152,4114,4114,352,5261,16015,501;502,6.0;6.1;7.0;7.1;8.0;9.0,MACR,0.000119..1,0..1,0.000119..1,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
41,OR,B,3-4-5,412301,9517,6338,9517,9517,6338,6338,6283,6283,538,8039,24417,501;502,1.7;7.0;7.1;7.2;8.0;9.0;9.1;9.2;9.3;9.4,MACR,7.7e-05..1,0..1,7.7e-05..1,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
42,PA,A,1-4,422301,1776,1187,1776,1776,1187,1187,1159,1159,300,1343,4112,1,7.0;8.0;9.0;9.1,SUBP,0.001828..1,0.001828..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
42,PA,B,2-3-5,422301,2645,1739,2645,2645,1739,1739,1711,1711,431,1949,6055,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.003323..1,0.003323..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
44,RI,A,4-5,442301,94,55,94,94,55,55,55,55,24,59,166,1,7.0;8.0;9.0,SUBP,0.103673..1,0.103673..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
44,RI,B,1-2-3,442301,142,75,142,142,75,75,75,75,30,86,243,1,7.0;9.0;9.1;9.2,SUBP,0.038073..1,0.038073..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
45,SC,A,2-5,452301,1440,1054,1440,1440,1054,1054,1038,1038,193,1406,3826,1,7.0;8.0;9.0;9.2,SUBP,0.001246..1,0.001246..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
45,SC,B,1-3-4,452301,2197,1623,2197,2197,1623,1623,1589,1589,249,2133,5970,1,7.0;8.0;9.0;9.2,SUBP,0.000373..1,0.000373..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
46,SD,A,2-4,462301,3375,240,3375,3375,240,240,238,238,69,269,826,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.094703..1,0.094703..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
46,SD,B,1-3-5,462301,5084,340,5084,5084,340,340,336,336,77,376,1208,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.033615..1,0.033615..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
47,TN,A,1-2,472301,1856,1150,1856,1856,1150,1150,1133,1133,271,1402,4054,1,7.0;9.0;9.1;9.2;9.3;9.4,SUBP,0.000144..1,0.000144..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
47,TN,B,3-4-5,472301,2780,1725,2780,2780,1725,1725,1700,1700,406,2141,6055,1,7.0;9.0;9.1;9.2;9.4,SUBP,0.005601..1,0.005601..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
48,TX,A,2-5,482301,9582,3332,9582,9582,3332,3332,3292,3292,672,3680,12055,1,4.0;6.1;7.0;8.0;9.0;9.1;9.2;9.4,SUBP,0.003999..1,0.003999..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
48,TX,B,1-3-4,482301,14429,5098,14429,14429,5098,5098,5053,5053,988,5611,18527,1,6.1;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,4e-06..1,4e-06..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
49,UT,A,1-4,492201,3573,1195,3573,3573,1195,1195,1195,1195,240,1259,4369,1,5.0;5.1;6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.059798..1,0.059798..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
49,UT,B,2-3-5,492201,5282,1871,5282,5282,1871,1871,1868,1868,356,1975,6871,1,5.0;5.1;6.0;7.0;8.0;9.0;9.1;9.2,SUBP,0.064434..1,0.064434..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
50,VT,A,2-4,502301,449,371,449,449,371,371,369,369,52,410,1396,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.015247..1,0.015247..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
50,VT,B,1-3-5,502301,668,547,668,668,547,547,545,545,88,612,2018,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.038073..1,0.038073..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
51,VA,A,2-5,512301,1923,1313,1923,1923,1313,1313,1300,1300,256,1647,4748,1,7.0;8.0;9.0;9.2,SUBP,0.000939..1,0.000939..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
51,VA,B,1-3-4,512301,2907,2011,2907,2907,2011,2011,1995,1995,384,2499,7325,1,7.0;8.0;9.0;9.2,SUBP,0.008683..1,0.008683..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
53,WA,A,4-5,532301,3801,2357,3801,3801,2357,2357,2324,2324,296,2991,8904,501;502,6.0;7.1;7.2;8.0;9.0;9.1;9.2;9.3;9.4,MACR,7.7e-05..1,0..1,7.7e-05..1,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
53,WA,B,1-2-3,532301,5706,3548,5706,5706,3548,3548,3509,3509,403,4413,13507,501;502,6.0;6.1;7.0;7.1;7.2;8.0;9.0;9.2,MACR,0.000205..1,0..1,0.000205..1,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
54,WV,A,3-5,542301,942,804,942,942,804,804,794,794,176,923,2881,1,7.0;8.0;9.0;9.2,SUBP,0.004117..1,0.004117..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
54,WV,B,1-2-4,542301,1415,1215,1415,1415,1215,1215,1205,1205,304,1402,4285,1,7.0;8.0;9.0;9.1;9.2,SUBP,0.003115..1,0.003115..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
55,WI,A,1-2,552301,4654,2493,4654,4654,2493,2493,2454,2454,641,3195,8701,1,9.0;9.1;9.2,SUBP,3.5e-05..1,3.5e-05..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
55,WI,B,3-4-5,552301,6915,3790,6915,6915,3790,3790,3739,3739,939,4801,13323,1,7.0;8.0;9.0;9.2,SUBP,0.001814..1,0.001814..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
56,WY,A,1-3,562301,4147,761,4147,4147,761,761,760,760,175,821,2723,1,5.0;5.1;6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.056418..1,0.056418..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
56,WY,B,2-4-5,562301,6134,1129,6134,6134,1129,1129,1129,1129,268,1250,4044,1,5.0;5.1;6.0;7.0;8.0;9.0;9.1;9.2;9.3,SUBP,0.051015..1,0.051015..1,,YES,NO,D08C2_PLOT_VISIT_LEGITIMATE_OPPORTUNITY_v01
