"FILE","BYTES","SHA256","ROLE"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_COND.zip","2450836","acb6fa7269882846467a53678f39c23f1bc48710f18b879822539be5ff5d9625","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_SUBPLOT.zip","2032729","0d8623bbc9bc4dd81cbdde32e4eee3cf1b31b49b409eb8a7dd727aaf98dd93d3","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\CA_TREE.zip","73216041","47dffdd7b366a70bff05034f6dc1005050f06ed4e95890ad81b809a45373f3ff","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\OR_COND.zip","3529265","58f1a9dfe77761c219464dc6c6ee738df3d33d0f63769bf36a13ce557048b8cd","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\OR_SUBPLOT.zip","2023449","9435bd92fd4fdfd0c3799ed834fd003f4119e36da23d8bccc0536628effc2636","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\OR_TREE.zip","130963119","4a1c225208c30f3e27b0976797cdd07acef52a8defae32a745098707e2147629","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\WA_COND.zip","2023936","68638f30517ccd9ac59c106632e0e7865d50b1eb14e76e491be408509e35fefb","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\WA_SUBPLOT.zip","1038606","fb8916f34f3ff1bdb3e4c2789fcd872d0584992640ea225ffae80874a401298a","OFFICIAL_RAW_TABLE_ZIP"
"C:\range_paper\02_raw\fia_t2_2023_observational_gap_v01\raw_table_zips\WA_TREE.zip","86979872","0a8eabf74da2a4c8b72b4f966cf365cfb00a7fa919feea80064472b1ab68a848","OFFICIAL_RAW_TABLE_ZIP"
"C:\Users\bug_g\Downloads\Q1_D08C2_CAORWA_OBS_GAP_CLOSURE_v01_TOOLKIT_v02\Q1_D08C2_CAORWA_OBS_GAP_CLOSURE_v01.ps1","52259","91937d44a8cf30a4e0a856ddaed7123d01ac8d91f56593a643b2c8d7de55f2cb","CODE"
