analysis_species_id,analysis_species_name,analysis_species_authors,component_fia_codes,d08b_v01_usgs_mapping_class,d08b_v01_review_required_flag,d08b_v01_atlas_row_ids,d08b_v01_atlas_original_names,eligibility_v02_row_present_flag,eligibility_v02_fia_codes,eligibility_v02_mapping_types,eligibility_v02_original_map_names,eligibility_v02_accepted_names,eligibility_v02_layer_name_proxy,eligibility_v02_n_US_cells_by_code,eligibility_v02_n_CONUS_cells_by_code,eligibility_v02_n_US_plus_Canada_cells_by_code,eligibility_prior_exact_or_official_nonzero_flag,v02_atlas_row_ids,v02_atlas_original_names,candidate_atlas_match_status,candidate_atlas_row_ids,candidate_atlas_original_names,candidate_atlas_current_names,candidate_atlas_authors,candidate_atlas_layer_keys,candidate_atlas_resolution_statuses,candidate_atlas_resolution_reasons,v02_wcvp_concept_evidence,conflict_type,v02_explicit_cause,proposed_v02_status,resolution_disposition,mainline_review_required_flag,no_silent_loss_accounting
117583,Magnolia fraseri,Walter,655,MULTIPLE_OTHER_LAYERS,1,ATLASG-0356;ATLASG-0359,Magnolia fraseri | Magnolia pyramidata,1,655,exact,Magnolia fraseri,Magnolia fraseri,Magnolia fraseri,655:117,655:117,655:117,1,ATLASG-0356;ATLASG-0359,Magnolia fraseri | Magnolia pyramidata,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0356,Magnolia fraseri,Magnolia fraseri,Walter,Magnolia_fraseri,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,117583:Magnolia fraseri Walter,PRIOR_EXACT_NONZERO_D08B_V01_REVIEW_ONLY,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MULTIPLE_OTHER_LAYERS,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
123857,Melaleuca quinquenervia,(Cav.) S.T.Blake,992,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,123857:Melaleuca quinquenervia (Cav.) S.T.Blake,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
136191,Nyssa biflora,Walter,694,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,136191:Nyssa biflora Walter,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
136212,Nyssa ogeche,W.Bartram ex Marshall,692,SINGLE_SPECIES_LAYER,0,ATLASG-0389,Nyssa ogeche,1,692,exact,Nyssa ogeche,Nyssa ogeche,Nyssa ogeche,692:120,692:120,692:120,1,,,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0389,Nyssa ogeche,Nyssa ogeche,Bartram ex Marshall,Nyssa_ogeche,UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,136212:Nyssa ogeche W.Bartram ex Marshall,D08B1_BRIDGE_STATUS_CHANGED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
166659,Psidium cattleyanum,Sabine,8355,NO_V01_ANALYSIS_SPECIES_TAXONOMY_BLOCK,0,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,166659:Psidium cattleyanum Sabine,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
171430,Quercus acutissima,Carruth.,8427,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,171430:Quercus acutissima Carruth.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
171890,Quercus buckleyi,Nixon & Dorr,8513,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,171890:Quercus buckleyi Nixon & Dorr,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
172866,Quercus geminata,Small,8441,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,172866:Quercus geminata Small,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
172964,Quercus graciliformis,C.H.Mull.,851,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,172964:Quercus graciliformis C.H.Mull.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
173053,Quercus hemisphaerica,W.Bartram ex Willd.,8449,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,173053:Quercus hemisphaerica W.Bartram ex Willd.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
173316,Quercus incana,W.Bartram,842,UNRESOLVED,1,,,1,842,exact,Quercus incana,Quercus incana,Quercus incana,842:587,842:587,842:587,1,ATLASG-0514,Quercus incana,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0514,Quercus incana,Quercus incana,W. Bartram,Quercus_incana,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,173316:Quercus incana W.Bartram,PRIOR_EXACT_NONZERO_BUT_D08B_V01_UNRESOLVED,Losslessly canonical author matching repaired the v01 conservative false negative and yielded one no-Notes species layer.,SINGLE_SPECIES_LAYER,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
173587,Quercus laurifolia,Michx.,820,NO_V01_ANALYSIS_SPECIES_TAXONOMY_BLOCK,0,,,1,820,exact,Quercus laurifolia,Quercus laurifolia,Quercus laurifolia,820:768,820:768,820:768,1,ATLASG-0518,Quercus laurifolia,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0518,Quercus laurifolia,Quercus laurifolia,Michx.,Quercus_laurifolia,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,173587:Quercus laurifolia Michx.,PRIOR_EXACT_NONZERO_TAXONOMY_BLOCKED_IN_V01,Losslessly canonical author matching repaired the v01 conservative false negative and yielded one no-Notes species layer.,SINGLE_SPECIES_LAYER,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
173795,Quercus lyrata,Walter,822,NO_V01_ANALYSIS_SPECIES_TAXONOMY_BLOCK,0,,,1,822,exact,Quercus lyrata,Quercus lyrata,Quercus lyrata,822:1358,822:1358,822:1358,1,ATLASG-0520,Quercus lyrata,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0520,Quercus lyrata,Quercus lyrata,Walter,Quercus_lyrata,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,173795:Quercus lyrata Walter,PRIOR_EXACT_NONZERO_TAXONOMY_BLOCKED_IN_V01,Losslessly canonical author matching repaired the v01 conservative false negative and yielded one no-Notes species layer.,SINGLE_SPECIES_LAYER,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
173817,Quercus macrocarpa,Michx.,823,UNRESOLVED,1,,,1,823,exact,Quercus macrocarpa,Quercus macrocarpa,Quercus macrocarpa,823:3088,823:3088,823:3685,1,,,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0521,Quercus macrocarpa,Quercus macrocarpa,Michaux,Quercus_macrocarpa,UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,173817:Quercus macrocarpa Michx.,PRIOR_EXACT_NONZERO_BUT_D08B_V01_UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
173863,Quercus margaretta,(Ashe) Small,840,NO_V01_ANALYSIS_SPECIES_TAXONOMY_BLOCK,0,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,173863:Quercus margaretta (Ashe) Small,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
173929,Quercus michauxii,Nutt.,825;832,UNRESOLVED,1,,,1,825;832,exact,Quercus michauxii | Quercus prinus,Quercus michauxii | Quercus prinus,Quercus michauxii | Quercus prinus,825:1427;832:1172,825:1427;832:1172,825:1427;832:1196,1,,,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0523;ATLASG-0533,Quercus michauxii | Quercus prinus,Quercus michauxii | Quercus montana,Nuttall | Willdenow,Quercus_michauxii;Quercus_prinus,UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,173929:Quercus michauxii Nutt.,PRIOR_EXACT_NONZERO_BUT_D08B_V01_UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
173948,Quercus minima,(Sarg.) Small,841,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,173948:Quercus minima (Sarg.) Small,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
174226,Quercus pagoda,Raf.,813,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,174226:Quercus pagoda Raf.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
174518,Quercus prinoides,Willd.,845,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,174518:Quercus prinoides Willd.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
175172,Quercus similis,Ashe,836,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,175172:Quercus similis Ashe,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
207675,Triadica sebifera,(L.) Small,994,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,207675:Triadica sebifera (L.) Small,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
212845,Vernicia fordii,(Hemsl.) Airy Shaw,995,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,212845:Vernicia fordii (Hemsl.) Airy Shaw,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
320352,Catalpa bignonioides,Walter,451,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,320352:Catalpa bignonioides Walter,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
320410,Catalpa speciosa,Warder ex Teas,452,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,320410:Catalpa speciosa Warder ex Teas,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
334053,Ginkgo biloba,L.,561,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,334053:Ginkgo biloba L.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
351387,Leucothrinax morrisii,(H.Wendl.) C.Lewis & Zona,913,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,351387:Leucothrinax morrisii (H.Wendl.) C.Lewis & Zona,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
354176,Ligustrum japonicum,Thunb.,7577,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,354176:Ligustrum japonicum Thunb.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
354188,Ligustrum lucidum,W.T.Aiton,7578,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,354188:Ligustrum lucidum W.T.Aiton,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,Frozen WCVP confirms no native CONUS distribution and introduced CONUS occurrence; Little natural-range mapping is not applicable.,NOT_APPLICABLE_CONUS_NONNATIVE,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
377287,Juniperus virginiana,L.,67;68,MULTIPLE_OTHER_LAYERS,1,ATLASG-0325;ATLASG-0326,Juniperus silicicola | Juniperus virginiana,1,68,exact,Juniperus virginiana,Juniperus virginiana,Juniperus virginiana,68:4077,68:4077,68:4197,1,ATLASG-0325;ATLASG-0326,Juniperus silicicola | Juniperus virginiana,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0326,Juniperus virginiana,Juniperus virginiana,L.,Juniperus_virginiana,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,377287:Juniperus virginiana L.,PRIOR_EXACT_NONZERO_D08B_V01_REVIEW_ONLY,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,MULTIPLE_OTHER_LAYERS,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
377397,Juniperus flaccida,Schltdl.,60,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,377397:Juniperus flaccida Schltdl.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
379433,Tsuga mertensiana,(Bong.) Oerst.,264,SINGLE_SPECIES_LAYER,0,ATLASG-0656,Tsuga mertensiana,1,264,exact,Tsuga mertensiana,Tsuga mertensiana,Tsuga mertensiana,264:193,264:91,264:371,1,,,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0656,Tsuga mertensiana,Tsuga mertensiana,(Bong.) Carrière,Tsuga_mertensiana,UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,379433:Tsuga mertensiana (Bong.) Oerst.,D08B1_BRIDGE_STATUS_CHANGED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
379762,Pinus longaeva,D.K.Bailey,142,SINGLE_SPECIES_LAYER,1,ATLASG-0431,Pinus longaeva,1,142,exact,Pinus longaeva,Pinus longaeva,Pinus longaeva,142:33,142:33,142:33,1,ATLASG-0431,Pinus longaeva,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0431,Pinus longaeva,Pinus longaeva,D.K. Bailey,Pinus_longaeva,RESOLVED,Exact name plus losslessly canonical author resolved to WCVP Accepted species.,379762:Pinus longaeva D.K.Bailey,PRIOR_EXACT_NONZERO_D08B_V01_REVIEW_ONLY,Losslessly canonical author matching repaired the v01 conservative false negative and yielded one no-Notes species layer.,SINGLE_SPECIES_LAYER,MACHINE_RESOLVED,0,EXPLICITLY_ACCOUNTED
379837,Pinus discolor,D.K.Bailey & Hawksw.,134,UNRESOLVED,1,,,0,,,,,,,,,0,,,NO_EXACT_ATLAS_NAME_CANDIDATE,,,,,,,,379837:Pinus discolor D.K.Bailey & Hawksw.,NO_ELIGIBILITY_V02_DIAGNOSTIC_ROW,No exact Atlas original/current-name candidate row was found for the analysis or frozen eligibility names; no fuzzy substitute was used.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
379852,Pinus coulteri,D.Don,109,SINGLE_SPECIES_LAYER,0,ATLASG-0421,Pinus coulteri,1,109,exact,Pinus coulteri,Pinus coulteri,Pinus coulteri,109:6,109:6,109:6,1,,,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0421,Pinus coulteri,Pinus coulteri,Lamb. ex D. Don,Pinus_coulteri,UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,379852:Pinus coulteri D.Don,D08B1_BRIDGE_STATUS_CHANGED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
379871,Pinus clausa,(Chapm. ex Engelm.) Vasey ex Sarg.,107,SINGLE_SPECIES_LAYER,0,ATLASG-0419,Pinus clausa,1,107,exact,Pinus clausa,Pinus clausa,Pinus clausa,107:87,107:87,107:87,1,,,EXACT_NAME_CANDIDATE_ROWS_FOUND,ATLASG-0419,Pinus clausa,Pinus clausa,(Chapm. ex Engelm.) Sarg.,Pinus_clausa,UNRESOLVED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,379871:Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.,D08B1_BRIDGE_STATUS_CHANGED,No losslessly canonical author-qualified WCVP match; no other-author homonym substituted.,UNRESOLVED,MAINLINE_REVIEW_REQUIRED,1,EXPLICITLY_ACCOUNTED
