case_id,state,state_fips,source_evalid,source_evaluation_year,fold,source_eu,source_parent_poststratum,current_fold_n_h,full_evaluation_unsplit_n_h,scope_definition,scope_poststrata_total,scope_non_singleton_poststrata,scope_other_singleton_poststrata,scope_plots_total,scope_plots_excluding_target_singleton,candidate_non_singleton_plots_total,scope_poststrata_n_ge_2,residual_df_proxy_sum,designcd_values,raw_designcd_values,repair_class_values,design_repair_heterogeneity,candidate_poststrata_same_source_eu_flag,candidate_poststrata_ids_with_n_h,candidate_inventory_only_no_assignment,identity_recovery_status,constructibility_label,constructibility_reason,evidence_sources
S11,MO,29,292301,2023,B,1,1783101523290487,1,2,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S12,MT,30,302201,2023,A,73,1882170651290487,1,11,same state + component EVALID + frozen fold + original source EU,3,2,0,72,71,71,2,69,1,1,R0,HOMOGENEOUS,YES,1882170650290487:6;1882170652290487:65,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 2 other poststrata with n_h>=2 and 71 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S13,NY,36,362301,2023,A,6,1801531274290487,1,7,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S14,NY,36,362301,2023,A,8,1801531276290487,1,2,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S15,NY,36,362301,2023,B,8,1801531276290487,1,2,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S16,NY,36,362301,2023,A,23,1801531324290487,1,11,same state + component EVALID + frozen fold + original source EU,5,4,0,73,72,72,4,68,1,1,R0,HOMOGENEOUS,YES,1801531323290487:7;1801531325290487:18;1801531326290487:39;1801531327290487:8,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 4 other poststrata with n_h>=2 and 72 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S17,OH,39,392301,2023,A,1,1805023918290487,1,4,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S18,OH,39,392301,2023,A,2,1805023919290487,1,4,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S19,PA,42,422301,2023,A,5,1813539378290487,1,4,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S20,PA,42,422301,2023,A,9,1813539383290487,1,3,same state + component EVALID + frozen fold + original source EU,1,0,0,1,0,0,0,0,1,1,R0,HOMOGENEOUS,NOT_APPLICABLE,,YES,COMPLETE,STRUCTURALLY_ISOLATED,"The exact same-state/evaluation/fold/source-EU scope contains no other poststratum with n_h>=2, so this boundary supplies no local variance-information pool.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S21,VA,51,512301,2023,A,5,1642633283290487,1,5,same state + component EVALID + frozen fold + original source EU,5,4,0,288,287,287,4,283,1,1,R0,HOMOGENEOUS,YES,1642633279290487:54;1642633280290487:48;1642633281290487:42;1642633282290487:143,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 4 other poststrata with n_h>=2 and 287 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S22,WA,53,532301,2023,A,1,1955745601290487,1,11,same state + component EVALID + frozen fold + original source EU,71,69,1,1332,1331,1330,69,1261,501;502,501;502,R0,HETEROGENEOUS,YES,1955742228290487:6;1955742247290487:23;1955742308290487:17;1955742348290487:17;1955742394290487:22;1955742442290487:23;1955742496290487:21;1955742547290487:19;1955742606290487:17;1955742655290487:18;1955742696290487:58;1955742834290487:20;1955742886290487:12;1955742916290487:11;1955742946290487:12;1955742985290487:9;1955743031290487:7;1955743056290487:13;1955743094290487:15;1955743126290487:10;1955743161290487:41;1955743277290487:12;1955743305290487:7;1955743323290487:7;1955743340290487:12;1955743364290487:17;1955743395290487:11;1955743425290487:9;1955743452290487:8;1955743473290487:10;1955743500290487:19;1955743562290487:8;1955743587290487:9;1955743604290487:8;1955743627290487:90;1955743849290487:49;1955743968290487:62;1955744092290487:47;1955744221290487:40;1955744315290487:26;1955744382290487:20;1955744449290487:10;1955744483290487:4;1955744499290487:9;1955744527290487:25;1955744609290487:17;1955744659290487:30;1955744733290487:26;1955744806290487:51;1955744907290487:29;1955744976290487:17;1955745016290487:7;1955745036290487:11;1955745060290487:11;1955745076290487:8;1955745088290487:19;1955745135290487:9;1955745167290487:4;1955745185290487:4;1955745197290487:13;1955745228290487:111;1955745516290487:10;1955745543290487:8;1955745557290487:3;1955745569290487:5;1955745580290487:9;1955745613290487:6;1955745642290487:7;1955745654290487:5,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 69 other poststrata with n_h>=2 and 1330 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S23,WA,53,532301,2023,A,1,1955745630290487,1,11,same state + component EVALID + frozen fold + original source EU,71,69,1,1332,1331,1330,69,1261,501;502,501;502,R0,HETEROGENEOUS,YES,1955742228290487:6;1955742247290487:23;1955742308290487:17;1955742348290487:17;1955742394290487:22;1955742442290487:23;1955742496290487:21;1955742547290487:19;1955742606290487:17;1955742655290487:18;1955742696290487:58;1955742834290487:20;1955742886290487:12;1955742916290487:11;1955742946290487:12;1955742985290487:9;1955743031290487:7;1955743056290487:13;1955743094290487:15;1955743126290487:10;1955743161290487:41;1955743277290487:12;1955743305290487:7;1955743323290487:7;1955743340290487:12;1955743364290487:17;1955743395290487:11;1955743425290487:9;1955743452290487:8;1955743473290487:10;1955743500290487:19;1955743562290487:8;1955743587290487:9;1955743604290487:8;1955743627290487:90;1955743849290487:49;1955743968290487:62;1955744092290487:47;1955744221290487:40;1955744315290487:26;1955744382290487:20;1955744449290487:10;1955744483290487:4;1955744499290487:9;1955744527290487:25;1955744609290487:17;1955744659290487:30;1955744733290487:26;1955744806290487:51;1955744907290487:29;1955744976290487:17;1955745016290487:7;1955745036290487:11;1955745060290487:11;1955745076290487:8;1955745088290487:19;1955745135290487:9;1955745167290487:4;1955745185290487:4;1955745197290487:13;1955745228290487:111;1955745516290487:10;1955745543290487:8;1955745557290487:3;1955745569290487:5;1955745580290487:9;1955745613290487:6;1955745642290487:7;1955745654290487:5,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 69 other poststrata with n_h>=2 and 1330 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
S24,WA,53,532301,2023,A,2,1955745708290487,1,9,same state + component EVALID + frozen fold + original source EU,20,19,0,139,138,138,19,119,501;502,501;502,R0,HETEROGENEOUS,YES,1955745670290487:3;1955745681290487:5;1955745695290487:4;1955745718290487:4;1955745733290487:8;1955745744290487:6;1955745755290487:7;1955745773290487:9;1955745795290487:14;1955745837290487:10;1955745856290487:9;1955745872290487:6;1955745888290487:5;1955745906290487:8;1955745922290487:5;1955745941290487:5;1955745954290487:6;1955745965290487:16;1955746012290487:8,YES,COMPLETE,STRUCTURALLY_AVAILABLE,"The exact same-state/evaluation/fold/source-EU scope contains 19 other poststrata with n_h>=2 and 138 plots. This inventories a pool; it does not choose a donor, weight, or variance rule.",D10FB3_SINGLETON_PROVENANCE_v01.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz
