root_role,local_path,relative_path_within_root,size_bytes,sha256
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_ENVIRONMENT_v01.json,RANGE_GATE0_ENVIRONMENT_v01.json,339,3c52e9425a2001cda18c2588ee6a4e291e804176123611bc2d0c256b23c4d03a
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_IMPLEMENTATION_LOG_v01.txt,RANGE_GATE0_IMPLEMENTATION_LOG_v01.txt,439,e8d6b023fdab5a01155dc02865fc0860c87f6c7f69276ee3fbe73f6ac2654e7f
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_INDEPENDENT_AUDIT_v01.json,RANGE_GATE0_INDEPENDENT_AUDIT_v01.json,7065,ae8bab40318702dabee4cdc566bfbb91ba02e8c8d53bc0d0d62a2308c51d2b3e
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_WORKBOOK_FORMULA_ERROR_SCAN_v01.ndjson,RANGE_GATE0_WORKBOOK_FORMULA_ERROR_SCAN_v01.ndjson,60,acc0111e19cf44d2753fc9ecd164bf1b27fbd65597463a25cf48bd1c65e90146
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_WORKBOOK_RENDER_INDEX_v01.json,RANGE_GATE0_WORKBOOK_RENDER_INDEX_v01.json,1168,21d8a7f5670732fa86b04dc255ceedbb49a94a4f58a56b1aba928d82190f667c
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_WORKBOOK_SUMMARY_INSPECT_v01.ndjson,RANGE_GATE0_WORKBOOK_SUMMARY_INSPECT_v01.ndjson,1821,d0ce85de7ff9b00d5159ce25df61387f1f5792482a247a2c493d8e9e47ead29b
v01_qc,C:\range_paper\05_qc\range_gate0_v01\RANGE_GATE0_WORKBOOK_VALIDATION_v01.json,RANGE_GATE0_WORKBOOK_VALIDATION_v01.json,2353,afc29bbc9be020c42d8e5bfcad348790f82eba0db3544ff57f5425a871e36f03
v01_qc,C:\range_paper\05_qc\range_gate0_v01\WORKBOOK_PREVIEWS_v01\Class_Summary.png,WORKBOOK_PREVIEWS_v01/Class_Summary.png,23972,db0109fd6103c80fe903f677aed7431c6f01734073c6023c8d1fd4eb251f2107
v01_qc,C:\range_paper\05_qc\range_gate0_v01\WORKBOOK_PREVIEWS_v01\Classification.png,WORKBOOK_PREVIEWS_v01/Classification.png,136224,6d882e64ffa41065232de61a2b43588652d9eeb86fca657e03fe01f6f4519a64
v01_qc,C:\range_paper\05_qc\range_gate0_v01\WORKBOOK_PREVIEWS_v01\Decision_Queue.png,WORKBOOK_PREVIEWS_v01/Decision_Queue.png,135108,1f359d0a2e7c753b9ba172deb32e75454028770e73970e6bdef69f0300398dd2
v01_qc,C:\range_paper\05_qc\range_gate0_v01\WORKBOOK_PREVIEWS_v01\Fail_Extra_NA.png,WORKBOOK_PREVIEWS_v01/Fail_Extra_NA.png,135534,39f545dc1e4b190a4eb643bc98420aa9ef1b0668dac93c2c3d9a49d23f900c6d
v01_qc,C:\range_paper\05_qc\range_gate0_v01\WORKBOOK_PREVIEWS_v01\Input_Hash_Audit.png,WORKBOOK_PREVIEWS_v01/Input_Hash_Audit.png,142523,49f2543a7a3017110ca1bd3c6050c15d4a54f40c5d76874e056560842720d850
v01_qc,C:\range_paper\05_qc\range_gate0_v01\WORKBOOK_PREVIEWS_v01\QC.png,WORKBOOK_PREVIEWS_v01/QC.png,114365,637990e3e0b6fee6e53092c90dffbd422d957d827ed46e8c4e7704177e3218f0
v01_qc,C:\range_paper\05_qc\range_gate0_v01\WORKBOOK_PREVIEWS_v01\Summary.png,WORKBOOK_PREVIEWS_v01/Summary.png,95767,fbd503684098c3f037b817485a876791d032a3316244c46892fa1374b1d1fcc0
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01.zip,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01.zip,8487370,ec99bf40ca5a22ae856ec8228b053fedf959af64675fc1cc5d99b4827fb0aafd
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01.zip.sha256,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01.zip.sha256,142,20708047b7ca17191f6368309a129c580f85737992c3bdd0ffb82017c578e4cc
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\code\build_range_gate0_audit_workbook_v01.mjs,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/code/build_range_gate0_audit_workbook_v01.mjs,10328,4c9157d918128db95d9da29fb219c3c80c837a5d34a446adb38ddce8be037878
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\code\build_range_gate0_v01.py,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/code/build_range_gate0_v01.py,30067,61d3fa5a9818f1c4877b095ae80503ff5321ed4202997797761395a0f96574aa
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\code\finalize_range_gate0_v01.py,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/code/finalize_range_gate0_v01.py,11768,b0f36f9d818370af797901ccb6ee9c99219180620078bdeb877c5a128d6f98b2
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\code\parameters_range_gate0_v01.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/code/parameters_range_gate0_v01.json,1255,890e8dc13b37518064d596b53b0d549017da0b69a222cfb321f0797f42c1a8d9
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\code\RANGE_GATE0_ENGINEERING_CORRECTION_LOG_v01.md,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/code/RANGE_GATE0_ENGINEERING_CORRECTION_LOG_v01.md,708,a29eea766a348b16ebf2d1875e2c2eb778c8710b6e6054e89784c7e6c3f9b93c
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\code\verify_range_gate0_outputs_v01.py,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/code/verify_range_gate0_outputs_v01.py,8762,4ec8711f938c460c7aadc74f9fe9409eb48a7f2eb051de700cf6d5d5d5aa0497
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\code\verify_range_gate0_workbook_v01.py,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/code/verify_range_gate0_workbook_v01.py,3125,16e4fd59ead4db9f172c2eada4a930fdbdaab9a0641a782547f27240b7841387
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\CONTENT_MANIFEST_v01.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/CONTENT_MANIFEST_v01.csv,9035,b46923c4064280671b04f1177703c958109be97dccdf7b798e3dac1e6d9c8b19
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\controls\RANGE_GATE0_CONTRACT_v01.md,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/controls/RANGE_GATE0_CONTRACT_v01.md,6537,908e91da5cca2029b1f26a1594bb07486d2f3ee0ac407bb409f3b28376588d97
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\controls\RANGE_GATE0_FREEZE_v01.md,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/controls/RANGE_GATE0_FREEZE_v01.md,1836,51231f4f18616e56d4d23f91a44812d6f9c6d7b08bfec9679a2306e63ad0ace1
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\controls\RANGE_GATE0_INPUT_FREEZE_v01.md,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/controls/RANGE_GATE0_INPUT_FREEZE_v01.md,2462,53509e82097e0db0ab560ec2f8ba70138263bfe06f9eb0660a28120b60a385e2
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\d08b1_v02_authority\build_taxon_range_d08b1_v02.py,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/d08b1_v02_authority/build_taxon_range_d08b1_v02.py,86536,fad43f2fe935738585f78d4078b59b992de61bcb10a5ad89f1ede097055d821d
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\d08b1_v02_authority\D08B1_PARAMETERS_v02.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/d08b1_v02_authority/D08B1_PARAMETERS_v02.json,983,65a5f60b03770c84401a1b3c741c548df10b5d972e86a35f91b3f3cd66273db7
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\d08b1_v02_authority\D08B1_TAXONOMY_USGS_BRIDGE_CONTRACT_v02.md,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/d08b1_v02_authority/D08B1_TAXONOMY_USGS_BRIDGE_CONTRACT_v02.md,7120,bd756e111dc2cfe2e983d5f2b421846c85213612b167a111d0d0ee3d14ae40c8
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\d08b1_v02_authority\Q1_ANALYSIS_SPECIES_MASTER_v02.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/d08b1_v02_authority/Q1_ANALYSIS_SPECIES_MASTER_v02.csv,89217,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\d08b1_v02_authority\Q1_GLOBAL_RANGE_FLAGS_v02.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/d08b1_v02_authority/Q1_GLOBAL_RANGE_FLAGS_v02.csv,191352,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\d08b1_v02_authority\Q1_WCVP_NATIVE_DISTRIBUTION_LONG_v02.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/d08b1_v02_authority/Q1_WCVP_NATIVE_DISTRIBUTION_LONG_v02.csv,1631728,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip,7408346,3647c35189110d524d5f6cd64bf2d4aabaaa80828e58f42e767bb5e862188a3e
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip.sha256,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/Q1_TAXON_RANGE_D08B1_CORRECTED_REPRODUCIBLE_v02.zip.sha256,118,b8d2bf7537d024da63ca48ec366c6379fa340013725c70bc62983579252c5ce9
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\inputs\Q1_WORK_REQUEST_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_v01_20260903.md,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/inputs/Q1_WORK_REQUEST_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_v01_20260903.md,15725,7b08106d190ac539e6f8127a656d36a764dc7f08a800e405d85aa0699612abd9
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\outputs\Q1_RANGE_GATE0_DECISION_QUEUE_v01.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/outputs/Q1_RANGE_GATE0_DECISION_QUEUE_v01.csv,225894,f9c066bbf25de8dca122d90446aab579f22052ab9c0de4412be616c8567016c1
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\outputs\Q1_RANGE_GATE0_FAIL_EXTRA_NA_v01.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/outputs/Q1_RANGE_GATE0_FAIL_EXTRA_NA_v01.csv,77161,328ceb72d649e0788f2c019c5f6884ef0f318e1ba5059d8bf5de6cfadbd8eef5
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\outputs\Q1_RANGE_GATE0_MAINLINE_AUDIT_v01.xlsx,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/outputs/Q1_RANGE_GATE0_MAINLINE_AUDIT_v01.xlsx,111062,d0dd7e34e9b4bfffb412fa99e643fa0a12cd33d9061b8a75c7607665c733144e
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\outputs\Q1_RANGE_GATE0_SPECIES_CLASSIFICATION_v01.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/outputs/Q1_RANGE_GATE0_SPECIES_CLASSIFICATION_v01.csv,397437,243978406cb913c13898b333671000c30592079d076ef8b995822a1684f8a8cd
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\outputs\Q1_RANGE_GATE0_SUMMARY_v01.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/outputs/Q1_RANGE_GATE0_SUMMARY_v01.csv,395,c44eddbcd6fe0c884856786d1fa4ab036f6c1f01956177697bda5eb83d741c05
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\outputs\RANGE_GATE0_RESULT_NOTE_v01.md,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/outputs/RANGE_GATE0_RESULT_NOTE_v01.md,1255,ef49b993bf8ac2579e8ab1b3d555a4c3486fdd9147c2df423b4bdf2bc4ed8f7e
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\Q1_RANGE_GATE0_INPUT_HASH_AUDIT_v01.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/Q1_RANGE_GATE0_INPUT_HASH_AUDIT_v01.csv,3095,7efa47c8c4e205fbb107001911f9b1fb8a1bde0c48fe64845b6520c3a7ef7fda
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\Q1_RANGE_GATE0_QC_v01.csv,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/Q1_RANGE_GATE0_QC_v01.csv,8133,dd33418d361e809aafc21882bda85cf62f66e07336bdc41f497bf4a2bf3a9ef0
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_BOUNDARY_AUDIT_v01.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_BOUNDARY_AUDIT_v01.json,1266,0fcf698532055891921f86ac02808dbfa4f86752ee08cb714a674fdee99cf50d
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_BUILD_SUMMARY_v01.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_BUILD_SUMMARY_v01.json,442,659261f02a0f800c306973089760299e0400dd405ab1e1ac8182646dad8502ef
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_ENVIRONMENT_v01.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_ENVIRONMENT_v01.json,339,3c52e9425a2001cda18c2588ee6a4e291e804176123611bc2d0c256b23c4d03a
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_IMPLEMENTATION_LOG_v01.txt,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_IMPLEMENTATION_LOG_v01.txt,439,e8d6b023fdab5a01155dc02865fc0860c87f6c7f69276ee3fbe73f6ac2654e7f
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_INDEPENDENT_AUDIT_v01.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_INDEPENDENT_AUDIT_v01.json,7065,ae8bab40318702dabee4cdc566bfbb91ba02e8c8d53bc0d0d62a2308c51d2b3e
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_WORKBOOK_FORMULA_ERROR_SCAN_v01.ndjson,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_WORKBOOK_FORMULA_ERROR_SCAN_v01.ndjson,60,acc0111e19cf44d2753fc9ecd164bf1b27fbd65597463a25cf48bd1c65e90146
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_WORKBOOK_RENDER_INDEX_v01.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_WORKBOOK_RENDER_INDEX_v01.json,1168,21d8a7f5670732fa86b04dc255ceedbb49a94a4f58a56b1aba928d82190f667c
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_WORKBOOK_SUMMARY_INSPECT_v01.ndjson,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_WORKBOOK_SUMMARY_INSPECT_v01.ndjson,1821,d0ce85de7ff9b00d5159ce25df61387f1f5792482a247a2c493d8e9e47ead29b
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\RANGE_GATE0_WORKBOOK_VALIDATION_v01.json,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/RANGE_GATE0_WORKBOOK_VALIDATION_v01.json,2353,afc29bbc9be020c42d8e5bfcad348790f82eba0db3544ff57f5425a871e36f03
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\WORKBOOK_PREVIEWS_v01\Class_Summary.png,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/WORKBOOK_PREVIEWS_v01/Class_Summary.png,23972,db0109fd6103c80fe903f677aed7431c6f01734073c6023c8d1fd4eb251f2107
v01_archive,C:\range_paper\10_archive\range_gate0_v01\Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01\qc\WORKBOOK_PREVIEWS_v01\Classification.png,Q1_RANGE_GATE0_WHOLE_RANGE_COMPLETENESS_COARSE_SCREEN_REPRODUCIBLE_v01/qc/WORKBOOK_PREVIEWS_v01/Classification.png,136224,6d882e64ffa41065232de61a2b43588652d9eeb86fca657e03fe01f6f4519a64
