cell_50km,A_legal_opportunities,B_legal_opportunities,A_effort_sum,B_effort_sum,A_fold_ti_weight_sum,B_fold_ti_weight_sum,A_measurable,B_measurable,D2_AB_included,D2_BA_included,D3_common_included,zero_opportunity_class
50km_-46_45,34,46,31.121626,41.24775475,642699.4231553926,483455.2983599833,YES,YES,YES,YES,YES,NONE
50km_-46_46,40,48,35.19607825,44.93020599999999,629427.8617325154,516048.0759074122,YES,YES,YES,YES,YES,NONE
50km_-46_47,36,56,34.10176625,53.16983175,595590.5052677303,582771.0381232637,YES,YES,YES,YES,YES,NONE
50km_-46_48,41,49,38.95989175,45.224885,545039.5367929727,427012.3221246308,YES,YES,YES,YES,YES,NONE
50km_-46_49,58,99,55.6508585,90.14960499999997,460213.3786062354,566781.9027640076,YES,YES,YES,YES,YES,NONE
50km_-46_50,52,85,48.31840475,79.93188825000001,464215.4205874821,440296.96392006776,YES,YES,YES,YES,YES,NONE
50km_-46_51,7,16,7.0,14.00079575,114986.86781056486,184222.72983791635,YES,YES,YES,YES,YES,NONE
50km_-45_31,0,1,0.0,0.2118565,0.0,10363.6738308416,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-45_32,0,2,0.0,1.917521,0.0,19439.432167002356,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-45_33,2,4,1.66145125,1.4951485,38516.50731779456,48264.50733763301,YES,YES,YES,YES,YES,NONE
50km_-45_34,12,18,7.999100249999999,10.821441,183372.33998271564,211378.04264004048,YES,YES,YES,YES,YES,NONE
50km_-45_35,9,3,6.5227875,1.76919275,163582.02105837318,30777.897495787656,YES,YES,YES,YES,YES,NONE
50km_-45_36,12,5,7.28062025,2.2293899999999995,205274.54223958342,61405.28352090738,YES,YES,YES,YES,YES,NONE
50km_-45_37,17,30,14.777987750000001,20.953864999999993,292462.80613302626,321516.30384379573,YES,YES,YES,YES,YES,NONE
50km_-45_38,7,14,5.8568995,9.46828675,113342.59766882629,155366.20804922227,YES,YES,YES,YES,YES,NONE
50km_-45_39,3,7,1.2288505,3.1863314999999997,44950.13067471143,73311.35124583729,YES,YES,YES,YES,YES,NONE
50km_-45_40,11,16,7.2154817499999995,10.769265,217266.43837090852,212211.0047215667,YES,YES,YES,YES,YES,NONE
50km_-45_41,8,9,5.72727875,6.505222250000001,170001.42562995778,113413.17662444642,YES,YES,YES,YES,YES,NONE
50km_-45_42,14,17,10.342299,11.738625749999999,285199.1115147127,175401.64137198273,YES,YES,YES,YES,YES,NONE
50km_-45_43,16,30,15.129247499999998,24.475670750000003,280074.4965864869,303780.22582149727,YES,YES,YES,YES,YES,NONE
50km_-45_44,23,43,19.330475500000002,36.16015675,394973.4168160108,521876.72861339926,YES,YES,YES,YES,YES,NONE
50km_-45_45,35,55,28.828757250000002,49.86282250000001,620207.802371799,636129.7585570796,YES,YES,YES,YES,YES,NONE
50km_-45_46,36,51,33.720982500000005,47.55360600000001,614097.0762633617,544237.9691052476,YES,YES,YES,YES,YES,NONE
50km_-45_47,31,58,28.5220995,52.773301749999995,555385.6995470632,576087.6729905547,YES,YES,YES,YES,YES,NONE
50km_-45_48,68,101,59.92593575,93.085505,584829.6825597265,592876.4229241266,YES,YES,YES,YES,YES,NONE
50km_-45_49,80,121,73.65853024999998,109.5159525,591085.781628552,521773.94778377825,YES,YES,YES,YES,YES,NONE
50km_-45_50,75,118,68.7036865,105.72121999999999,620888.9115772648,557006.0046700728,YES,YES,YES,YES,YES,NONE
50km_-45_51,52,75,44.9732035,65.606756,555410.3427752088,502547.3261421405,YES,YES,YES,YES,YES,NONE
50km_-45_52,31,52,25.613445750000004,45.26275075,353430.2025120674,400522.79669241246,YES,YES,YES,YES,YES,NONE
50km_-45_53,21,25,18.133096,24.625563,138193.10062410415,100409.80403680613,YES,YES,YES,YES,YES,NONE
50km_-44_30,1,0,0.7134225,0.0,14954.115201863817,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-44_31,10,8,6.6153569999999995,4.79059725,172800.32577579955,97636.39893092313,YES,YES,YES,YES,YES,NONE
50km_-44_32,10,11,3.8740085,6.5577232500000004,163752.80781503578,153975.3711069071,YES,YES,YES,YES,YES,NONE
50km_-44_33,4,1,1.13214725,0.08030775,70174.46743293953,11003.37318226055,YES,YES,YES,YES,YES,NONE
50km_-44_34,7,7,4.0191947500000005,3.330157,157762.1105447827,84188.63966909942,YES,YES,YES,YES,YES,NONE
50km_-44_35,5,7,3.42215,6.63936525,85169.21095311026,60722.975381868644,YES,YES,YES,YES,YES,NONE
50km_-44_36,1,1,0.50409525,1.0,24179.963490569124,10989.358424046128,YES,YES,YES,YES,YES,NONE
50km_-44_37,6,10,4.2799455,4.4019695,99288.13548775892,104314.56134631886,YES,YES,YES,YES,YES,NONE
50km_-44_38,0,1,0.0,0.2072145,0.0,9246.535817728793,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-44_39,0,1,0.0,1.0,0.0,9796.868226603476,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-44_41,1,1,0.0695765,1.0,15029.032783097527,10363.6738308416,YES,YES,YES,YES,YES,NONE
50km_-44_42,1,3,0.06036225,2.544497,17988.035340716076,36929.96837095803,YES,YES,YES,YES,YES,NONE
50km_-44_43,6,11,4.85002875,6.196926749999999,134504.4667311061,144473.37062399494,YES,YES,YES,YES,YES,NONE
50km_-44_44,14,25,11.16089975,18.89937525,310610.57905770984,311027.4333571914,YES,YES,YES,YES,YES,NONE
50km_-44_45,26,46,20.747769,36.15250775,416868.2787025878,477944.0877860378,YES,YES,YES,YES,YES,NONE
50km_-44_46,36,50,34.15218225,45.173269499999996,539724.8584036721,568089.104586365,YES,YES,YES,YES,YES,NONE
50km_-44_47,19,23,18.2057255,18.8547065,374129.3118824456,251039.75895384833,YES,YES,YES,YES,YES,NONE
50km_-44_48,62,89,55.693070750000004,82.25131250000001,563833.4261861357,538776.8253478663,YES,YES,YES,YES,YES,NONE
50km_-44_49,42,65,36.06976925,56.3242345,442426.78151307534,412731.02083938924,YES,YES,YES,YES,YES,NONE
50km_-44_50,64,106,59.084104249999996,96.67674525000001,527740.8971521673,589720.2356081288,YES,YES,YES,YES,YES,NONE
50km_-44_51,32,48,25.662660250000002,39.203881,399179.9342462594,370181.6585753385,YES,YES,YES,YES,YES,NONE
50km_-44_52,59,97,51.56636699999999,90.17030075,583669.039633079,516730.73637647595,YES,YES,YES,YES,YES,NONE
50km_-44_53,89,133,84.09058150000001,123.9218435,616440.9188684304,613564.7143584713,YES,YES,YES,YES,YES,NONE
50km_-44_54,51,76,48.3580535,69.15886525,533219.4688972295,505470.09452824644,YES,YES,YES,YES,YES,NONE
50km_-44_55,25,46,23.419039500000004,42.015713500000004,195957.97555948587,229273.12656344776,YES,YES,YES,YES,YES,NONE
50km_-44_56,3,3,3.0,2.921329,34439.38706319339,31876.734432102094,YES,YES,YES,YES,YES,NONE
50km_-43_29,0,1,0.0,1.0,0.0,8285.440616927686,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-43_30,3,4,0.8411945000000001,0.8140655,40816.5203474946,61458.86292228464,YES,YES,YES,YES,YES,NONE
50km_-43_31,13,7,11.15972625,4.82312725,176045.06413278676,78251.77698288113,YES,YES,YES,YES,YES,NONE
50km_-43_32,4,2,3.0425795,1.0582975000000001,68143.92606400506,20800.241408864025,YES,YES,YES,YES,YES,NONE
50km_-43_33,0,1,0.0,0.90767,0.0,10989.358424046128,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-43_37,2,6,2.0,4.74879625,48359.92698113825,62320.843932614924,YES,YES,YES,YES,YES,NONE
50km_-43_38,7,19,6.1200545,14.13654325,126085.36173940776,259559.16250726348,YES,YES,YES,YES,YES,NONE
50km_-43_39,21,22,13.836455249999998,15.4746685,349645.6280640176,279988.6312097003,YES,YES,YES,YES,YES,NONE
50km_-43_40,12,27,8.786640250000001,20.41433825,223963.16260940966,319847.898853887,YES,YES,YES,YES,YES,NONE
50km_-43_41,26,38,20.4064345,27.623624500000002,531780.4104545021,463552.1820208117,YES,YES,YES,YES,YES,NONE
50km_-43_42,35,49,31.2496225,43.96054949999999,524209.87060156517,503986.5815565124,YES,YES,YES,YES,YES,NONE
50km_-43_43,36,60,32.6479815,54.5650045,528072.7224958336,640580.9935499998,YES,YES,YES,YES,YES,NONE
50km_-43_44,37,55,33.94458,51.43504625,543303.601417532,623481.9903541533,YES,YES,YES,YES,YES,NONE
50km_-43_45,32,56,28.47745775,50.33660100000001,507224.3824895199,619912.3474703132,YES,YES,YES,YES,YES,NONE
50km_-43_46,36,54,34.775968,50.831493999999985,532954.4342043503,584321.4773537425,YES,YES,YES,YES,YES,NONE
50km_-43_47,29,38,25.51902625,32.73996525,500545.45920752734,416831.3255769989,YES,YES,YES,YES,YES,NONE
50km_-43_48,56,106,50.750544500000004,97.56500725000001,599671.3921588118,584091.6864362475,YES,YES,YES,YES,YES,NONE
50km_-43_49,77,111,70.240455,99.51189575000002,622808.6581791115,593101.0080198795,YES,YES,YES,YES,YES,NONE
50km_-43_50,115,174,104.42156999999999,164.6649535,585098.6491988957,601709.9004624808,YES,YES,YES,YES,YES,NONE
50km_-43_51,95,160,88.97961175,147.8266725,601877.3844099995,654426.9362828053,YES,YES,YES,YES,YES,NONE
50km_-43_52,50,73,41.56562925,64.260738,581670.7430227923,446677.7557930314,YES,YES,YES,YES,YES,NONE
50km_-43_53,18,24,15.3494495,18.15580775,228865.74478208128,191040.2160785347,YES,YES,YES,YES,YES,NONE
50km_-43_54,18,26,14.073406749999998,20.6874185,243502.98769900438,247865.5692327741,YES,YES,YES,YES,YES,NONE
50km_-43_55,53,66,47.02837149999999,58.124358250000014,524881.4500004713,443755.7399939772,YES,YES,YES,YES,YES,NONE
50km_-43_56,93,142,87.25331975,128.72969675,551316.769778759,567503.8432956053,YES,YES,YES,YES,YES,NONE
50km_-43_57,26,53,23.144350250000002,50.03026925,342328.1035310304,401499.94986214145,YES,YES,YES,YES,YES,NONE
50km_-43_58,21,20,17.514568750000002,17.8899335,336880.672358552,205187.02852379408,YES,YES,YES,YES,YES,NONE
50km_-43_59,14,17,13.486463,16.1146345,209391.68514859918,180213.83117256762,YES,YES,YES,YES,YES,NONE
50km_-43_60,16,21,14.333619,20.4053075,244323.62184179874,213458.8373549714,YES,YES,YES,YES,YES,NONE
50km_-43_61,20,26,18.75275825,24.2870505,275757.8077697715,277948.20241617766,YES,YES,YES,YES,YES,NONE
50km_-43_62,14,17,13.891915000000001,16.1162775,243321.49501834103,186056.36975684005,YES,YES,YES,YES,YES,NONE
50km_-42_30,8,10,5.62603875,7.275408500000001,150367.79986948296,112202.07664931784,YES,YES,YES,YES,YES,NONE
50km_-42_31,12,17,11.236708,14.18606575,176110.626443588,186630.13146598922,YES,YES,YES,YES,YES,NONE
50km_-42_35,0,1,0.0,1.0,0.0,11339.555295832955,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-42_36,12,19,9.8271865,14.0828775,248639.78781648408,269697.496351393,YES,YES,YES,YES,YES,NONE
50km_-42_37,24,44,21.406906499999998,37.0306065,463293.79561833304,515759.49825583596,YES,YES,YES,YES,YES,NONE
50km_-42_38,33,54,30.589284499999998,47.24656975,551870.9727646206,622027.238868376,YES,YES,YES,YES,YES,NONE
50km_-42_39,40,59,37.496565749999995,52.16865950000001,667131.7888661404,634326.8771464057,YES,YES,YES,YES,YES,NONE
50km_-42_40,38,57,36.042639750000006,54.2712505,528675.0124875051,524527.9213459597,YES,YES,YES,YES,YES,NONE
50km_-42_41,38,50,31.94681525,46.939279250000006,535931.1250395385,494254.47618197324,YES,YES,YES,YES,YES,NONE
50km_-42_42,37,59,31.349652500000005,54.36618099999999,516011.41597800347,590131.8409576704,YES,YES,YES,YES,YES,NONE
50km_-42_43,39,56,36.91259099999999,52.52108474999999,518930.3402440452,638673.8909207518,YES,YES,YES,YES,YES,NONE
50km_-42_44,35,54,31.7256985,49.08114825,526173.2423269381,591013.8763601524,YES,YES,YES,YES,YES,NONE
50km_-42_45,32,38,27.658379999999998,37.566531499999996,483909.7493236557,379666.5955095294,YES,YES,YES,YES,YES,NONE
50km_-42_46,32,48,30.21108925,42.542556000000005,468040.54520443414,494069.67544405063,YES,YES,YES,YES,YES,NONE
50km_-42_47,9,16,7.70243925,15.778206,163858.1644822287,144662.99257727485,YES,YES,YES,YES,YES,NONE
50km_-42_48,22,40,21.016618,34.25712425,231199.81809237256,244233.2177061139,YES,YES,YES,YES,YES,NONE
50km_-42_49,88,127,82.536379,123.74337575,504845.27482823917,518799.92148939724,YES,YES,YES,YES,YES,NONE
50km_-42_50,89,130,85.35564400000001,127.03291224999998,628751.4927054675,572697.2703332233,YES,YES,YES,YES,YES,NONE
50km_-42_51,110,162,102.45558474999999,152.46759125,581651.3753083635,589349.9935012892,YES,YES,YES,YES,YES,NONE
50km_-42_52,105,142,95.72245874999999,127.58450325000001,690441.0984113748,545338.011033132,YES,YES,YES,YES,YES,NONE
50km_-42_53,59,102,52.0032055,91.87567375,561251.9119246175,579416.6889920252,YES,YES,YES,YES,YES,NONE
50km_-42_54,36,52,31.871122250000003,44.316245249999994,382903.6496805561,385271.5097070085,YES,YES,YES,YES,YES,NONE
50km_-42_55,12,9,8.057021500000001,3.90598925,180935.50829807122,126133.57475193507,YES,YES,YES,YES,YES,NONE
50km_-42_56,30,41,26.40149675,37.19523725,362676.47451211896,402840.55019992724,YES,YES,YES,YES,YES,NONE
50km_-42_57,43,50,37.42564325,45.90900225,525802.1538508036,431565.8024900916,YES,YES,YES,YES,YES,NONE
50km_-42_58,31,60,26.128560249999996,54.6127665,464454.449018907,617448.1129269014,YES,YES,YES,YES,YES,NONE
50km_-42_59,40,53,36.985722749999994,46.96833925,606921.7083226608,561542.234051768,YES,YES,YES,YES,YES,NONE
50km_-42_60,68,94,60.840232,82.73437875,543321.0709529305,549303.434282174,YES,YES,YES,YES,YES,NONE
50km_-42_61,38,73,32.63281875,67.5246935,486149.7514304209,495672.5209062182,YES,YES,YES,YES,YES,NONE
50km_-42_62,12,15,10.23302125,13.6158385,118483.63990849585,124774.89984433613,YES,YES,YES,YES,YES,NONE
50km_-41_29,2,3,0.31464975,1.6875,42405.09703883623,46595.20723348664,YES,YES,YES,YES,YES,NONE
50km_-41_30,2,5,1.0625,4.517989,33646.26516993447,52401.939226375085,YES,YES,YES,YES,YES,NONE
50km_-41_31,10,20,6.105531,16.317159249999996,201436.48807769673,240546.89919163854,YES,YES,YES,YES,YES,NONE
50km_-41_32,13,25,11.29179425,21.426725250000004,246431.89493664884,290740.54189464345,YES,YES,YES,YES,YES,NONE
50km_-41_33,11,22,10.5625,17.264947250000002,210729.55305095852,265014.86200709414,YES,YES,YES,YES,YES,NONE
50km_-41_34,8,13,6.65325075,9.773252750000001,156188.92126361773,148963.63578404608,YES,YES,YES,YES,YES,NONE
50km_-41_35,24,33,21.991265,29.047482,432293.1001594412,364617.49697458796,YES,YES,YES,YES,YES,NONE
50km_-41_36,37,55,30.62688975,49.9811905,545125.6360803875,630434.6479159908,YES,YES,YES,YES,YES,NONE
50km_-41_37,35,49,32.878150999999995,44.318337,501056.12975473795,508222.7259321449,YES,YES,YES,YES,YES,NONE
50km_-41_38,26,34,21.97192875,27.82545875,405612.5966014108,323964.56016543845,YES,YES,YES,YES,YES,NONE
50km_-41_39,32,45,25.415698250000002,40.919113499999995,444242.6228512941,436565.2970554165,YES,YES,YES,YES,YES,NONE
50km_-41_40,19,30,18.3305615,29.48736875,342546.8374846246,278749.32148270856,YES,YES,YES,YES,YES,NONE
50km_-41_41,19,36,18.08689675,29.571250250000002,290789.42191193585,360107.5465087107,YES,YES,YES,YES,YES,NONE
50km_-41_42,22,23,19.901518000000003,19.71642025,416958.47051970183,193044.53201099485,YES,YES,YES,YES,YES,NONE
50km_-41_43,9,12,8.936278999999999,9.98262025,101100.05824679563,99955.68881901071,YES,YES,YES,YES,YES,NONE
50km_-41_44,6,10,4.21296775,8.38907225,91913.78613824223,96895.72962526773,YES,YES,YES,YES,YES,NONE
50km_-41_45,22,36,20.757617999999997,33.182889,345107.71534719114,352098.5228504222,YES,YES,YES,YES,YES,NONE
50km_-41_46,27,27,21.830059499999997,24.745880500000002,451229.14773360937,278102.16273527313,YES,YES,YES,YES,YES,NONE
50km_-41_47,36,64,34.00115975,58.216866,323469.91390502383,450165.70584734675,YES,YES,YES,YES,YES,NONE
50km_-41_48,57,99,54.28622675,92.708632,330278.8460544583,518035.651362453,YES,YES,YES,YES,YES,NONE
50km_-41_49,87,119,81.19202849999999,113.14939075,496012.26851301687,474881.85850707314,YES,YES,YES,YES,YES,NONE
50km_-41_50,84,150,78.59244125000001,142.66657574999996,504997.4278599774,554452.1700927758,YES,YES,YES,YES,YES,NONE
50km_-41_51,110,143,106.98040475000002,135.28925550000002,638931.3563827496,544805.9183540493,YES,YES,YES,YES,YES,NONE
50km_-41_52,62,121,59.43443424999999,115.32661875000001,522036.2907645985,592585.7176042459,YES,YES,YES,YES,YES,NONE
50km_-41_53,81,135,75.44918125000001,124.725092,510289.59563413454,617828.3336528101,YES,YES,YES,YES,YES,NONE
50km_-41_54,94,143,89.33754174999999,135.17839675,574963.7179688634,583475.3849943781,YES,YES,YES,YES,YES,NONE
50km_-41_55,55,68,49.285382,60.335230499999994,464410.24975374155,440857.55736506893,YES,YES,YES,YES,YES,NONE
50km_-41_56,44,61,38.10958974999999,53.588586000000014,432682.81506715785,411432.25790956366,YES,YES,YES,YES,YES,NONE
50km_-41_57,44,58,39.340321249999995,51.56978599999999,607874.2127256796,582869.6397245544,YES,YES,YES,YES,YES,NONE
50km_-41_58,26,42,21.23705775,32.71177275,393053.6918101311,422027.5441835317,YES,YES,YES,YES,YES,NONE
50km_-41_59,22,32,17.623514999999998,22.566059749999997,359775.70369618817,328875.7568763737,YES,YES,YES,YES,YES,NONE
50km_-41_60,45,77,37.975444749999994,69.54173025,419442.51246628707,589897.5217408962,YES,YES,YES,YES,YES,NONE
50km_-41_61,30,43,27.0456165,37.551593749999995,360955.8150531427,389034.68163139326,YES,YES,YES,YES,YES,NONE
50km_-40_27,0,1,0.0,0.2540745,0.0,6979.649029553632,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-40_28,2,1,0.501128,0.08996725,34753.86456218728,10092.70551652328,YES,YES,YES,YES,YES,NONE
50km_-40_29,12,14,8.02851625,10.2256305,209948.46288169018,164823.4452358839,YES,YES,YES,YES,YES,NONE
50km_-40_30,0,1,0.0,0.0625,0.0,10123.697636358273,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-40_31,2,3,2.0,3.0,29488.56974571424,37353.662402815506,YES,YES,YES,YES,YES,NONE
50km_-40_32,17,20,15.909077,17.6442915,297648.8894059555,210167.11216289253,YES,YES,YES,YES,YES,NONE
50km_-40_33,28,52,25.8094365,49.19767275,470916.51690650394,520943.7490924463,YES,YES,YES,YES,YES,NONE
50km_-40_34,25,32,23.24318875,30.627385999999998,385291.1391436611,345587.1000315894,YES,YES,YES,YES,YES,NONE
50km_-40_35,19,33,17.273925249999998,31.04393825,349770.9160953787,308769.45100912097,YES,YES,YES,YES,YES,NONE
50km_-40_36,20,30,17.663732,26.17690775,320426.0150236871,314963.47812183277,YES,YES,YES,YES,YES,NONE
50km_-40_37,29,27,25.870767750000002,23.3158485,385713.33992902754,260588.62456595368,YES,YES,YES,YES,YES,NONE
50km_-40_38,18,29,15.316365999999999,26.7857675,239180.96365384496,266810.3510893608,YES,YES,YES,YES,YES,NONE
50km_-40_39,15,27,14.25,24.75,187501.7323757334,249177.94803724333,YES,YES,YES,YES,YES,NONE
50km_-40_40,11,11,8.4375,10.0625,169196.72219251335,105345.71659186583,YES,YES,YES,YES,YES,NONE
50km_-40_41,4,3,2.625,3.0,46925.29686142698,31283.531240951317,YES,YES,YES,YES,YES,NONE
50km_-40_42,4,3,4.0,1.9468615,63098.65331815978,28313.19200405849,YES,YES,YES,YES,YES,NONE
50km_-40_43,1,2,1.0,2.0,15568.1646543006,19531.173045960473,YES,YES,YES,YES,YES,NONE
50km_-40_44,7,6,4.4062114999999995,4.125,109464.0007641963,60616.07382451442,YES,YES,YES,YES,YES,NONE
50km_-40_45,10,14,6.74282925,9.3266985,152574.3620432425,144778.14436917144,YES,YES,YES,YES,YES,NONE
50km_-40_46,14,21,10.8290295,16.682793,221267.60110938395,221894.68381175058,YES,YES,YES,YES,YES,NONE
50km_-40_47,33,40,30.6676525,34.51306475,234063.18284708317,196552.0946458308,YES,YES,YES,YES,YES,NONE
50km_-40_48,54,80,50.96775250000001,75.95540575000001,349101.84504411987,345003.6190915818,YES,YES,YES,YES,YES,NONE
50km_-40_49,12,14,11.390962,14.0,63122.74365348632,68316.07556560525,YES,YES,YES,YES,YES,NONE
50km_-40_50,15,24,13.603356999999999,21.34104625,124116.88290303524,109339.63314614867,YES,YES,YES,YES,YES,NONE
50km_-40_51,64,89,62.479666249999994,82.55206000000001,350206.32581729436,371583.82612811204,YES,YES,YES,YES,YES,NONE
50km_-40_52,25,40,21.308765,33.73636075,366725.5727869168,350577.86395983316,YES,YES,YES,YES,YES,NONE
50km_-40_53,23,41,21.465944,38.891217749999996,229985.6167561969,281460.058802053,YES,YES,YES,YES,YES,NONE
50km_-40_54,49,73,44.63113350000001,70.55775399999999,483246.41856151266,425349.35771874036,YES,YES,YES,YES,YES,NONE
50km_-40_55,52,98,48.89598474999999,87.24125500000001,437805.6610715601,570942.9211775301,YES,YES,YES,YES,YES,NONE
50km_-40_56,99,148,93.03894425,140.526751,647870.6041987438,597933.0370166783,YES,YES,YES,YES,YES,NONE
50km_-40_57,105,142,96.88428225,131.885029,620349.2284649896,579202.297636293,YES,YES,YES,YES,YES,NONE
50km_-40_58,48,66,38.61618825,62.83660799999999,609944.284471719,504371.7244352319,YES,YES,YES,YES,YES,NONE
50km_-40_59,12,17,7.996341750000001,9.5343845,194663.6229912869,194335.23078211694,YES,YES,YES,YES,YES,NONE
50km_-40_60,13,12,10.13957675,8.486752,198638.6566748362,140975.5906736168,YES,YES,YES,YES,YES,NONE
50km_-40_61,11,11,6.082589250000001,8.390902,167388.6749313446,127375.20239433988,YES,YES,YES,YES,YES,NONE
50km_-40_62,13,12,7.654869249999999,7.6915189999999996,192050.38487979115,120827.26796564933,YES,YES,YES,YES,YES,NONE
50km_-40_63,1,1,1.0,1.0,15385.990103101318,10041.612402091418,YES,YES,YES,YES,YES,NONE
50km_-39_25,2,2,0.9799724999999999,1.1055000000000001,69526.3308644846,23736.435143308983,YES,YES,YES,YES,YES,NONE
50km_-39_26,4,4,1.26565375,2.20119575,69830.43601235113,45902.396554100924,YES,YES,YES,YES,YES,NONE
50km_-39_27,1,4,0.06688575,2.3092145,16007.38777005378,34525.56795982728,YES,YES,YES,YES,YES,NONE
50km_-39_28,1,3,1.0,2.05591625,16511.186223626264,39658.11476485779,YES,YES,YES,YES,YES,NONE
50km_-39_29,5,15,5.0,9.136672,78643.17289339678,179946.95625516505,YES,YES,YES,YES,YES,NONE
50km_-39_33,2,6,2.0,6.0,28680.015829878488,62330.54520367051,YES,YES,YES,YES,YES,NONE
50km_-39_34,3,12,3.0,12.0,65515.93126058497,120933.78139246824,YES,YES,YES,YES,YES,NONE
50km_-39_35,9,7,8.1886255,6.01818875,105491.28063428204,87569.86809951921,YES,YES,YES,YES,YES,NONE
50km_-39_36,7,14,5.70930275,13.5625,79094.84191972631,158074.85150067645,YES,YES,YES,YES,YES,NONE
50km_-39_37,17,18,12.815978000000001,15.5966615,244114.01612610172,177093.8473365213,YES,YES,YES,YES,YES,NONE
50km_-39_38,10,13,9.88194,12.25,147278.02514768223,120012.78181861006,YES,YES,YES,YES,YES,NONE
50km_-39_39,4,7,3.5625,6.952161,57833.393396363375,68064.04241198637,YES,YES,YES,YES,YES,NONE
50km_-39_40,1,0,0.0625,0.0,16273.6430323696,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-39_43,2,0,1.0625,0.0,31483.779005524862,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-39_44,3,2,1.625,1.0625,52347.82424960643,20207.683922138527,YES,YES,YES,YES,YES,NONE
50km_-39_46,5,5,5.0,3.1875,100414.14441832149,48489.677176812154,YES,YES,YES,YES,YES,NONE
50km_-39_47,1,5,1.0,4.0628405,14945.11995396122,48726.715535628064,YES,YES,YES,YES,YES,NONE
50km_-39_48,1,1,0.0486725,1.0,14945.11995396122,8335.015027101479,YES,YES,YES,YES,YES,NONE
50km_-39_49,0,2,0.0,2.0,0.0,16811.746200090874,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-39_50,7,7,7.0,5.5155005,100278.31796207823,70981.52429310227,YES,YES,YES,YES,YES,NONE
50km_-39_51,22,40,21.2804715,35.75294075,244685.95603369083,284937.41368835984,YES,YES,YES,YES,YES,NONE
50km_-39_52,59,96,55.57958800000001,87.92719975,529253.9637856358,540636.4167563473,YES,YES,YES,YES,YES,NONE
50km_-39_53,10,18,7.1644625,16.172545749999998,179182.11958293544,205873.07746887743,YES,YES,YES,YES,YES,NONE
50km_-39_54,1,2,0.490701,2.0,13754.620671917126,31117.93298163255,YES,YES,YES,YES,YES,NONE
