cell_50km,A_legal_opportunities,B_legal_opportunities,A_effort_sum,B_effort_sum,A_fold_ti_weight_sum,B_fold_ti_weight_sum,A_measurable,B_measurable,D2_AB_included,D2_BA_included,D3_common_included,zero_opportunity_class
50km_-37_45,0,1,0.0,1.0,0.0,9997.116935483871,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-37_46,3,0,1.57258575,0.0,44220.460525069844,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-37_49,0,1,0.0,1.0,0.0,9442.816618852346,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-36_25,1,0,0.09692225,0.0,14592.701350784468,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-36_29,0,1,0.0,0.953234,0.0,8687.176521668722,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-36_30,1,0,0.64356075,0.0,14592.701350784468,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-36_46,0,1,0.0,0.07832025,0.0,10067.784271967428,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-36_48,0,4,0.0,4.0,0.0,39555.55156394046,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-36_54,0,1,0.0,0.56583975,0.0,11521.445018744977,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-36_56,1,0,0.06501,0.0,14525.521508703923,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-36_59,0,1,0.0,0.0625,0.0,2956.484192984645,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-35_25,1,0,0.227728,0.0,15456.660895934256,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-35_26,1,0,1.0,0.0,14592.701350784468,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-35_31,0,8,0.0,6.182112,0.0,82036.78871498942,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-35_42,1,0,0.0625,0.0,13575.820512820514,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-35_46,1,0,1.0,0.0,14441.954828833002,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-35_47,0,1,0.0,1.0,0.0,10142.391304347826,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-35_50,0,1,0.0,1.0,0.0,10067.784271967428,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-35_59,0,1,0.0,1.0,0.0,11305.098160267406,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-34_24,1,0,1.0,0.0,14363.20091324201,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-34_26,1,0,0.5625,0.0,15289.588957055215,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-34_28,0,1,0.0,1.0,0.0,10123.697636358273,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-34_44,0,1,0.0,1.0,0.0,9549.05376344086,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-34_45,0,1,0.0,1.0,0.0,10776.777777777776,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-33_24,0,3,0.0,1.3125,0.0,28286.26829268293,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-33_27,1,0,0.52739025,0.0,14228.66501612091,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-33_32,0,1,0.0,1.0,0.0,9537.806295399514,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-33_33,1,0,0.5625,0.0,16062.472222222224,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-33_44,0,2,0.0,0.142121,0.0,20472.253763440858,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-33_49,0,2,0.0,2.0,0.0,20019.25300386909,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-33_50,1,0,1.0,0.0,12962.416666666666,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-33_56,0,2,0.0,0.15579375,0.0,20264.2315216898,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-32_24,1,0,0.25,0.0,15401.434812251784,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-32_25,1,0,0.25,0.0,15401.434812251784,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-32_26,1,0,0.6396915,0.0,13767.242058072072,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-31_25,0,1,0.0,0.0625,0.0,10203.133708012803,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-30_20,0,1,0.0,1.0,0.0,9615.32530120482,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-30_23,0,1,0.0,1.0,0.0,9615.32530120482,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-30_24,2,0,2.0,0.0,39031.48265478881,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-30_25,0,1,0.0,1.0,0.0,19057.449985356,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-30_41,0,1,0.0,1.0,0.0,9979.166666666666,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-30_42,0,3,0.0,3.0,0.0,29512.055555555555,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-30_47,0,1,0.0,1.0,0.0,8722.333333333334,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-29_42,1,0,1.0,0.0,16631.944444444445,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-29_43,0,1,0.0,1.0,0.0,12018.272727272728,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-29_46,1,0,0.0625,0.0,15466.381938667211,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-29_47,1,0,1.0,0.0,15275.333333333334,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-28_31,3,0,3.0,0.0,48962.79710153844,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-28_42,1,0,1.0,0.0,16631.944444444445,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-25_32,1,0,1.0,0.0,16239.5480023052,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-24_21,0,1,0.0,1.0,0.0,13892.631578947368,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-24_42,0,4,0.0,3.5625,0.0,41148.11309523809,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-23_39,0,8,0.0,5.561796,0.0,78753.48333333334,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-23_57,0,2,0.0,1.0625,0.0,18920.609951845905,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-22_56,0,2,0.0,1.5625,0.0,17027.714285714286,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-20_45,1,0,1.0,0.0,15214.10101010101,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-20_49,0,1,0.0,1.0,0.0,11281.952380952382,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-20_58,0,1,0.0,0.25,0.0,11930.709887937928,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-19_42,0,1,0.0,0.25,0.0,12203.89234249435,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-19_51,1,0,1.0,0.0,17608.166666666668,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-18_18,0,1,0.0,1.0,0.0,12108.453271770808,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-18_33,0,6,0.0,2.6875,0.0,67833.85423667988,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-18_45,1,0,0.0625,0.0,15855.666666666666,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-18_53,0,4,0.0,2.125,0.0,51339.99702380952,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-18_56,0,2,0.0,2.0,0.0,15872.427350427351,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-18_57,0,1,0.0,0.25,0.0,11148.598684210529,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-17_17,0,2,0.0,2.0,0.0,24216.906543541616,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-17_22,2,0,1.0625,0.0,30149.23857526882,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-17_26,0,3,0.0,3.0,0.0,42179.4,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-17_42,0,5,0.0,4.0625,0.0,47724.58712788277,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-17_48,0,1,0.0,0.25,0.0,9674.06772336674,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-17_54,1,0,0.5625,0.0,23603.444444444445,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-17_57,3,0,0.416447,0.0,47654.381441441445,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-16_16,1,0,1.0,0.0,18400.24171382056,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-16_46,0,1,0.0,0.0625,0.0,9872.470588235294,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-16_48,0,1,0.0,0.25,0.0,9872.470588235294,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-15_34,1,0,1.0,0.0,18100.4,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-15_35,2,0,0.125,0.0,24655.872636024258,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-15_46,1,0,0.0625,0.0,16783.2,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-15_53,3,0,3.0,0.0,47561.029411764706,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-15_54,0,1,0.0,1.0,0.0,10063.362962962963,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-15_55,0,1,0.0,0.0625,0.0,10629.661417322835,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-15_56,1,0,0.5625,0.0,15318.878787878788,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_22,0,1,0.0,0.6134835,0.0,12523.466666666667,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-14_23,0,2,0.0,2.0,0.0,23166.303875968995,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-14_24,1,0,1.0,0.0,21344.615384615383,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_36,1,0,1.0,0.0,14994.518987341771,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_37,1,0,1.0,0.0,14994.518987341771,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_38,1,0,0.0625,0.0,14462.830188679243,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_40,0,1,0.0,0.0625,0.0,9911.681818181818,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-14_42,1,0,0.07688375,0.0,15958.5,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_45,0,1,0.0,0.5625,0.0,13348.0,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-14_46,0,1,0.0,1.0,0.0,10961.5,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-14_50,2,0,1.25,0.0,35095.683044324534,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_52,3,0,2.125,0.0,41102.71219512195,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-14_55,0,1,0.0,0.5625,0.0,10050.100840336134,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-13_22,0,5,0.0,4.5839905000000005,0.0,55427.86363607897,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-13_26,0,2,0.0,1.5625,0.0,26778.152664280453,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-13_28,0,1,0.0,1.0,0.0,11085.572727215793,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-13_30,0,2,0.0,2.0,0.0,28901.630657558635,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-13_51,1,0,1.0,0.0,14527.73226966888,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-13_54,0,1,0.0,1.0,0.0,6816.636363636364,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-13_55,0,1,0.0,0.5625,0.0,10050.100840336134,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-12_24,0,1,0.0,1.0,0.0,11085.572727215793,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-12_28,0,2,0.0,1.125,0.0,22171.145454431586,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-12_33,0,1,0.0,0.50219025,0.0,10022.666666666666,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-12_40,0,1,0.0,1.0,0.0,15352.2,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-12_45,0,2,0.0,0.966754,0.0,21706.657504842842,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-12_52,0,1,0.0,1.0,0.0,9863.970237531925,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-12_56,0,3,0.0,2.4582455,0.0,30362.73577981651,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-11_25,0,1,0.0,1.0,0.0,11085.572727215793,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-11_37,0,1,0.0,0.5625,0.0,9909.908496732029,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-11_40,0,1,0.0,0.5625,0.0,9944.919121023042,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-11_41,0,2,0.0,0.8471575,0.0,25828.65113842312,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-11_53,0,2,0.0,0.5996097499999999,0.0,23099.55873490494,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-11_56,0,6,0.0,1.5891315000000001,0.0,69424.06732220094,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-10_33,1,0,0.25,0.0,14867.973900838344,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-10_37,0,1,0.0,0.2091535,0.0,12678.866436387192,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-10_38,0,2,0.0,0.6088915,0.0,19889.838242046084,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-10_47,3,0,2.125,0.0,29041.152104682176,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-10_52,0,1,0.0,0.5625,0.0,11960.151921726954,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-10_55,3,0,1.6239395,0.0,49259.20694264287,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-10_56,0,2,0.0,0.482318,0.0,23099.55873490494,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-9_28,0,2,0.0,1.0625,0.0,22171.145454431586,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-9_29,0,2,0.0,0.13698925,0.0,22171.145454431586,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-9_31,1,0,1.0,0.0,14867.973900838344,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-9_38,1,0,1.0,0.0,19336.314796065137,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-9_39,2,0,2.0,0.0,33900.10461918035,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-9_42,1,0,1.0,0.0,12256.568992800398,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-8_28,0,2,0.0,1.0625,0.0,21612.762145747627,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-8_29,1,0,0.5625,0.0,17978.672627866996,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-8_32,0,1,0.0,1.0,0.0,9934.30688569529,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-8_36,1,0,0.0625,0.0,14867.973900838344,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-8_38,0,2,0.0,0.11134675,0.0,19892.43112507943,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-8_42,0,1,0.0,0.52661475,0.0,9362.233333333334,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-8_47,1,0,1.0,0.0,18365.175478666963,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-8_49,0,1,0.0,1.0,0.0,12458.08252269214,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-7_28,0,11,0.0,4.18112725,0.0,115406.37747426218,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-7_29,0,5,0.0,3.806899,0.0,45871.29052278638,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-7_30,1,0,0.0625,0.0,15818.942867978323,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-7_31,2,0,1.125,0.0,29735.947801676688,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-7_32,1,0,0.5625,0.0,19236.90080003574,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-7_35,0,1,0.0,0.0625,0.0,8673.2875,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-7_39,2,0,0.7603575,0.0,34202.99409137856,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-7_45,0,3,0.0,1.1527865,0.0,32809.373968460626,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-7_46,1,0,0.0625,0.0,14836.759512991272,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-7_47,0,1,0.0,0.0625,0.0,10971.798734177217,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-7_48,1,0,0.0625,0.0,14836.759512991272,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-7_50,0,1,0.0,0.52965,0.0,10971.798734177217,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-7_51,1,0,0.5625,0.0,14803.181708120255,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-6_35,1,0,0.0625,0.0,19236.90080003574,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-6_46,0,2,0.0,1.51505425,0.0,22854.44059567444,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-6_50,0,1,0.0,0.2418145,0.0,9954.933372786183,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-6_55,0,1,0.0,0.5625,0.0,9863.970237531925,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-5_6,3,0,2.0431725,0.0,54339.181491478914,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-5_32,0,3,0.0,1.2947042500000001,0.0,35292.03975846968,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-5_36,0,3,0.0,1.12587175,0.0,35292.03975846968,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-5_40,5,0,2.25,0.0,83272.66747807055,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-5_41,0,3,0.0,1.61249,0.0,32146.407234846483,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-5_42,0,2,0.0,0.96769675,0.0,19889.838242046084,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-5_47,1,0,0.0625,0.0,18365.175478666963,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-5_48,1,0,0.0625,0.0,14836.759512991272,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-5_49,1,0,0.272397,0.0,14836.759512991272,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-5_52,1,0,0.260341,0.0,19652.84352640236,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-5_54,1,0,0.2739195,0.0,14803.181708120255,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-4_6,0,2,0.0,1.207864,0.0,22293.87726573337,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-4_28,5,0,2.182471,0.0,79616.87533002596,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-4_38,0,1,0.0,1.0,0.0,11222.909374476902,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-4_42,0,3,0.0,1.5,0.0,28421.253899987016,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-4_48,1,0,0.04235175,0.0,14836.759512991272,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-4_50,1,0,1.0,0.0,14836.759512991272,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-4_55,0,1,0.0,0.9562,0.0,13235.588497373015,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_10,0,2,0.0,1.5625,0.0,27216.402991697734,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_31,1,0,0.25,0.0,14867.973900838344,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-3_33,0,3,0.0,1.960939,0.0,43039.760494019225,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_38,0,4,0.0,2.625,0.0,41061.556062096046,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_39,0,2,0.0,1.45823,0.0,24027.737073432225,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_44,1,0,1.0,0.0,19906.636535195517,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-3_45,0,1,0.0,1.0,0.0,11427.22029783722,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_46,2,0,0.125,0.0,29673.519025982543,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-3_48,1,0,0.270954,0.0,18755.8469674742,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-3_49,1,0,0.5625,0.0,29068.859219614995,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-3_50,0,1,0.0,1.0,0.0,12458.08252269214,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_52,0,4,0.0,3.0625,0.0,44546.69957487632,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-3_53,0,1,0.0,0.0625,0.0,9863.970237531925,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-2_34,1,0,0.5625,0.0,20000.733918068287,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-2_40,0,5,0.0,2.963214,0.0,56419.77138492574,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-2_42,0,1,0.0,0.5625,0.0,9946.215562539715,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-2_44,1,0,0.04714925,0.0,14836.759512991272,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-2_45,1,0,0.189583,0.0,29068.859219614995,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-2_46,0,1,0.0,0.0625,0.0,9954.933372786183,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-2_47,2,0,0.100287,0.0,30596.252240264,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-2_48,0,1,0.0,0.2521925,0.0,11427.22029783722,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-2_51,1,0,0.254539,0.0,14986.125877853674,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-1_33,0,5,0.0,1.67687275,0.0,54705.27987564728,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_-1_44,1,0,1.0,0.0,18365.175478666963,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_-1_46,1,0,0.0625,0.0,18755.8469674742,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_0_44,0,1,0.0,0.0625,0.0,12169.395589173815,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_0_46,2,0,0.8527065,0.0,14198.027466606978,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_0_47,1,0,0.23487,0.0,8162.446685542751,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_1_41,3,0,1.125,0.0,42149.36564644992,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_1_42,1,0,0.52986225,0.0,15055.388888888889,0.0,YES,NO,NO,YES,NO,B_ONLY_ZERO
50km_2_14,0,4,0.0,3.218951,0.0,46576.28653814479,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_2_43,0,2,0.0,1.2581445,0.0,18621.705112983338,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_2_44,0,2,0.0,0.62527475,0.0,21481.310865654166,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_4_45,0,4,0.0,0.297786,0.0,31227.098431017792,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_12_14,0,1,0.0,0.203925,0.0,12116.27874817131,NO,YES,YES,NO,NO,A_ONLY_ZERO
50km_12_40,0,3,0.0,2.3984170000000002,0.0,40269.841804277035,NO,YES,YES,NO,NO,A_ONLY_ZERO
