frame_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,lineage_root,lineage_resolution_status,lineage_exception_flag,p2panel_values,n_plot_visits,plot_visit_cns,measurement_years,candidate_splits_with_crossfold_overlap,treatment
T1,22,LA,Louisiana,2022,222022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,23,ME,Maine,2022,232022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,24,MD,Maryland,2022,242022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,25,MA,Massachusetts,2022,252022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,26,MI,Michigan,2022,262022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,27,MN,Minnesota,2022,272022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,28,MS,Mississippi,2022,282022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,29,MO,Missouri,2022,292022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,30,MT,Montana,2022,302022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,31,NE,Nebraska,2022,312022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,32,NV,Nevada,2022,322022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,33,NH,New Hampshire,2022,332022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,34,NJ,New Jersey,2022,342022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,35,NM,New Mexico,2022,352022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,36,NY,New York,2022,362022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,37,NC,North Carolina,2022,372022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,38,ND,North Dakota,2022,382022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,39,OH,Ohio,2022,392022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,40,OK,Oklahoma,2022,402022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,41,OR,Oregon,2022,412022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,42,PA,Pennsylvania,2022,422022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,44,RI,Rhode Island,2022,442022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,45,SC,South Carolina,2022,452022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,46,SD,South Dakota,2022,462022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,47,TN,Tennessee,2022,472022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,48,TX,Texas,2022,482022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,49,UT,Utah,2022,492022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,50,VT,Vermont,2022,502022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,51,VA,Virginia,2022,512022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,53,WA,Washington,2022,532022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,54,WV,West Virginia,2022,542022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,55,WI,Wisconsin,2022,552022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T1,56,WY,Wyoming,2022,562022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,01,AL,Alabama,2023,012023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,04,AZ,Arizona,2023,042023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,05,AR,Arkansas,2023,052023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,06,CA,California,2023,062023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,08,CO,Colorado,2023,082023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,09,CT,Connecticut,2023,092023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,10,DE,Delaware,2023,102023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,12,FL,Florida,2023,122023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,13,GA,Georgia,2023,132023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,16,ID,Idaho,2023,162023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,17,IL,Illinois,2023,172023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,18,IN,Indiana,2023,182023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,19,IA,Iowa,2023,192023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,20,KS,Kansas,2023,202023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,21,KY,Kentucky,2023,212023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,22,LA,Louisiana,2023,222023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,23,ME,Maine,2023,232023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,24,MD,Maryland,2023,242023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,25,MA,Massachusetts,2023,252023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,26,MI,Michigan,2023,262023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,27,MN,Minnesota,2023,272023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,28,MS,Mississippi,2023,282023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,29,MO,Missouri,2023,292023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,30,MT,Montana,2022,302022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,31,NE,Nebraska,2023,312023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,32,NV,Nevada,2023,322023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,33,NH,New Hampshire,2023,332023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,34,NJ,New Jersey,2023,342023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,35,NM,New Mexico,2022,352022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,36,NY,New York,2023,362023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,37,NC,North Carolina,2023,372023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,38,ND,North Dakota,2023,382023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,39,OH,Ohio,2023,392023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,40,OK,Oklahoma,2023,402023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,41,OR,Oregon,2023,412023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,42,PA,Pennsylvania,2023,422023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,44,RI,Rhode Island,2023,442023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,45,SC,South Carolina,2023,452023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,46,SD,South Dakota,2023,462023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,47,TN,Tennessee,2023,472023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,48,TX,Texas,2023,482023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,49,UT,Utah,2022,492022,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,50,VT,Vermont,2023,502023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,51,VA,Virginia,2023,512023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,53,WA,Washington,2023,532023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,54,WV,West Virginia,2023,542023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,55,WI,Wisconsin,2023,552023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
T2,56,WY,Wyoming,2023,562023,,NO_MULTI_PANEL_LINEAGE,0,,0,,,,NO_EXCEPTION
