frame_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,eval_grp_cn,eval_typ,eval_typ_cn,component_evalid,eval_cn,eval_descr,location_nm,report_year_nm,start_invyr,end_invyr,estn_method,n_estimation_units,estimation_unit_ids,estimation_unit_descriptions,texas_east_west_preservation_note,membership_source,evalid_membership_guessed,status
T1,20,KS,Kansas,2022,202022,1653909373290487,EXPVOL,1653139894290487,202201,1653134806290487,"KANSAS 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Kansas,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,10,5;10;6;9;4;1;7;2;3;8,Private Unit 1;Public Unit 3;Private Unit 2;Public Unit 2;Inland Census Water Unit 3;Cimarron NGL;Private Unit 3;Inland Census Water Unit 1;Inland Census Water Unit 2;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,21,KY,Kentucky,2022,212022,1894789946290487,EXPVOL,1894789035290487,212201,1894788913290487,"KENTUCKY 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Kentucky,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,9,1;4;860;802;6;2;3;7;5,Eastern - excluding national forest;Bluegrass - excluding national forest;Land Between the Lakes in Kentucky;Daniel Boone NF;Western Coalfield;Northern Cumberland - excluding national forest;Southern Cumberland - excluding national forest;Western - excluding national forest;Pennyroyal - excluding national forest,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,22,LA,Louisiana,2022,222022,1642838132290487,EXPVOL,1642837382290487,222201,1642837369290487,"LOUISIANA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Louisiana,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,6,1;4;2;3;806;5,North Delta;Southeast;South Delta - excluding national forest;Southwest - excluding national forest;Kisatchie NF;Northwest - excluding national forest,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,23,ME,Maine,2022,232022,1620465500290487,EXPVOL,1676645300290487,232201,1676645265290487,"MAINE 2022: 2018-2022: CURRENT AREA, CURRENT VOLUME",Maine,2018;2019;2020;2021;2022,2018,2022,Post-Stratification,26,14;21;25;4;11;18;19;26;1;13;7;15;16;22;24;23;2;3;17;5;10;20;8;6;9;12,Private Unit 5;Public Unit 3;Public Unit 9;Inland Census Water Unit 4;Private Unit 2;Public Private Unit 8;Public Unit 1;White Mountain NF;Inland Census Water Unit 1;Private Unit 4;Inland Census Water Unit 7;Private Unit 7;Private Unit 9;Public Unit 4;Public Unit 7;Public Unit 5;Inland Census Water Unit 2;Inland Census Water Unit 3;Public Private Unit 6;Inland Census Water Unit 5;Private Unit 1;Public Unit 2;Inland Census Water Unit 8;Inland Census Water Unit 6;Inland Census Water Unit 9;Private Unit 3,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,24,MD,Maryland,2022,242022,1683739512290487,EXPVOL,1683738335290487,242201,1683737774290487,"MARYLAND 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Maryland,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,11,6;9;4;11;1;7;2;3;8;5;10,Private Unit 3;Public Unit 2;Inland Census Water Unit 4;Public Unit 4;Inland Census Water Public Unit 5;Private Unit 4;Inland Census Water Unit 2;Inland Census Water Unit 3;Private Unit 5;Private Unit 2;Public Unit 3,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,25,MA,Massachusetts,2022,252022,1689806901290487,EXPVOL,1689805159290487,252201,1689805016290487,"MASSACHUSETTS 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Massachusetts,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,3,1;2;3,Inland Census Water Unit 1;Private Unit 1;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,26,MI,Michigan,2022,262022,1677640042290487,EXPVOL,1677638475290487,262201,1677638451290487,"MICHIGAN 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Michigan,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,15,6;9;12;14;4;11;1;13;7;15;2;3;8;5;10,Inland Census Water Unit 4;Private Unit 2;Public Unit 1;Public Unit 3;Inland Census Water Unit 2;Private Unit 4;Hiawatha NF;Public Unit 2;Ottawa NF;Public Unit 4;Huron-Manistee NF;Inland Census Water Unit 1;Private Unit 1;Inland Census Water Unit 3;Private Unit 3,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,27,MN,Minnesota,2022,272022,1657135274290487,EXPVOL,1877294948290487,272201,1877294932290487,"MINNESOTA 2022: 2018-2022: CURRENT AREA, CURRENT VOLUME",Minnesota,2018;2019;2020;2021;2022,2018,2022,Post-Stratification,16,6;9;12;14;4;11;1;13;7;15;16;2;3;8;5;10,Inland Census Water Unit 4;Private Unit 3;Public Unit 2;Public Unit 4;Inland Census Water Unit 2;Public Unit 1;BWCA;Public Unit 3;Private Unit 1;Superior NF;Voyagers NP;Chippewa NF;Inland Census Water Unit 1;Private Unit 2;Inland Census Water Unit 3;Private Unit 4,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,28,MS,Mississippi,2022,282022,1535282088290487,EXPVOL,1535277787290487,282201,1535277752290487,"MISSISSIPPI 2022: 2017-2022: CURRENT AREA, CURRENT VOLUME",Mississippi,2017;2018;2019;2020;2021;2022,2017,2022,Post-Stratification,6,1;807;4;2;3;5,Delta - excluding national forest;NFS in Mississippi;South - excluding national forest;North - excluding national forest;Central - excluding national forest;Southwest - excluding national forest,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,29,MO,Missouri,2022,292022,1663385294290487,EXPVOL,1663383668290487,292201,1663383635290487,"MISSOURI 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Missouri,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,16,6;9;8;5;10;12;14;4;11;1;13;7;15;16;2;3,Mark Twain NF;Private Unit 3;Private Unit 2;Inland Census Water Unit 5;Private Unit 4;Public Unit 1;Public Unit 3;Inland Census Water Unit 4;Private Unit 5;Inland Census Water Unit 1;Public Unit 2;Private Unit 1;Public Unit 4;Public Unit 5;Inland Census Water Unit 2;Inland Census Water Unit 3,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,30,MT,Montana,2022,302022,1882842963290487,EXPVOL,1882841860290487,302201,1882841848290487,"MONTANA 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",Montana,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,56,33;51;101;103;109;19;67;69;91;11;25;31;37;45;47;59;81;97;41;27;55;57;79;61;77;87;93;99;15;65;39;21;23;73;9;35;53;111;1;7;3;13;17;89;95;105;107;29;43;49;63;71;75;83;5;85,County 033;County 051;County 101;County 103;County 109;County 019;County 067;County 069;County 091;County 011;County 025;County 031;County 037;County 045;County 047;County 059;County 081;County 097;County 041;County 027;County 055;County 057;County 079;County 061;County 077;County 087;County 093;County 099;County 015;County 065;County 039;County 021;County 023;County 073;County 009;County 035;County 053;County 111;County 001;County 007;County 003;County 013;County 017;County 089;County 095;County 105;County 107;County 029;County 043;County 049;County 063;County 071;County 075;County 083;County 005;County 085,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,31,NE,Nebraska,2022,312022,1559715173290487,EXPVOL,1559713701290487,312201,1559713677290487,"NEBRASKA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Nebraska,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,9,6;9;4;1;7;2;3;8;5,Private Unit 2;Samuel R. McKelvie NF;Oglala NGL;Inland Census Water Unit 1;Public Unit 1;Inland Census Water Unit 2;Nebraska NF;Public Unit 2;Private Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,32,NV,Nevada,2022,322022,1882843968290487,EXPVOL,1882842991290487,322201,1882842979290487,"NEVADA 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",Nevada,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,17,3;13;17;27;29;510;5;19;11;31;15;21;23;9;1;7;33,County 003;County 013;County 017;County 027;County 029;County 510;County 005;County 019;County 011;County 031;County 015;County 021;County 023;County 009;County 001;County 007;County 033,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,33,NH,New Hampshire,2022,332022,1673316657290487,EXPVOL,1673315878290487,332201,1673315862290487,"NEW HAMPSHIRE 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",New Hampshire,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,7,6;4;1;7;2;3;5,Public Unit 3;Private Unit 3;Inland Census Water Unit 2;White Mountain NF;Inland Census Water Unit 3;Private Unit 2;Public Unit 2,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,34,NJ,New Jersey,2022,342022,1675105515290487,EXPVOL,1675102572290487,342201,1675102491290487,"NEW JERSEY 2022: 2018-2022: CURRENT AREA, CURRENT VOLUME",New Jersey,2018;2019;2020;2021;2022,2018,2022,Post-Stratification,3,1;2;3,Inland Census Water Unit 1;Private Unit 1;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,35,NM,New Mexico,2022,352022,1882845965290487,EXPVOL,1882845001290487,352201,1882844989290487,"NEW MEXICO 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",New Mexico,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,33,3;13;17;27;55;57;29;43;49;5;19;28;6;11;25;31;37;45;47;59;39;41;61;15;21;23;9;35;53;1;7;33;51,County 003;County 013;County 017;County 027;County 055;County 057;County 029;County 043;County 049;County 005;County 019;County 028;County 006;County 011;County 025;County 031;County 037;County 045;County 047;County 059;County 039;County 041;County 061;County 015;County 021;County 023;County 009;County 035;County 053;County 001;County 007;County 033;County 051,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,36,NY,New York,2022,362022,1646569685290487,EXPVOL,1646568834290487,362201,1646568706290487,"NEW YORK 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",New York,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,30,6;9;12;14;21;25;4;11;18;19;26;28;29;1;13;27;30;7;15;16;22;24;23;2;3;8;17;5;10;20,Inland Census Water Unit 5;Inland Census Water Unit 8;NY Adirondacks Unit 4;NY Catskills Unit 6;Private Unit 7;Public Unit 2;Inland Census Water Unit 3;NY Adirondacks Unit 3;Private Unit 3;Private Unit 5;Public Unit 3;Public Unit 6;Public Unit 7;Finger Lakes NF;NY Adirondacks Unit 7;Public Unit 5;Public Unit 8;Inland Census Water Unit 6;NY Catskills Unit 8;Private Unit 1;Private Unit 8;Public Unit 1;Public Private Unit 4;Inland Census Water Unit 1;Inland Census Water Unit 2;Inland Census Water Unit 7;Private Unit 2;Inland Census Water Unit 4;NY Adirondacks Unit 1;Private Unit 6,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,37,NC,North Carolina,2022,372022,1306870462290487,EXPVOL,1306869528290487,372201,1306869516290487,"NORTH CAROLINA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",North Carolina,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,5,1;4;2;3;811,Southern Coastal Plain - excluding national forest;Mountains - excluding national forest;Northern Coastal Plain - excluding national forest;Piedmont - excluding national forest;NFS in North Carolina,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,38,ND,North Dakota,2022,382022,1556072268290487,EXPVOL,1555989515290487,382201,1555827527290487,"NORTH DAKOTA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",North Dakota,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,4,4;1;2;3,Public Unit 1;Dakota Prairie NGL;Inland Census Water Unit 1;Private Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,39,OH,Ohio,2022,392022,1559712509290487,EXPVOL,1559710963290487,392201,1559710895290487,"OHIO 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Ohio,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,19,6;9;12;14;4;11;18;19;1;13;7;15;16;2;3;8;17;5;10,Inland Census Water Unit 6;Private Unit 3;Private Unit 6;Public Unit 2;Inland Census Water Unit 4;Private Unit 5;Public Unit 6;Wayne NF;Inland Census Water Unit 1;Public Unit 1;Private Unit 1;Public Unit 3;Public Unit 4;Inland Census Water Unit 2;Inland Census Water Unit 3;Private Unit 2;Public Unit 5;Inland Census Water Unit 5;Private Unit 4,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,40,OK,Oklahoma,2022,402022,1691147784290487,EXPVOL,1691147734290487,402201,1691147722290487,"OKLAHOMA 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",Oklahoma,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,8,1;809;4;6;2;3;7;5,Southeast - excluding national forest;Ouchita NF in Oklahoma;South Central;High Plains;Northeast;North Central;Great Plains;Southwest,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,41,OR,Oregon,2022,412022,1831875113290487,EXPVOL,1841410477290487,412201,1841410454290487,"OREGON 2022: 2012-2022: CURRENT AREA, CURRENT VOLUME",Oregon,2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2012,2022,Post-Stratification,3,1;2;3,"NFS, non-wilderness;NFS, wilderness;Outside NFS",,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,42,PA,Pennsylvania,2022,422022,1665682810290487,EXPVOL,1665680842290487,422201,1665674109290487,"PENNSYLVANIA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Pennsylvania,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,25,6;9;12;14;21;25;4;11;18;19;1;13;7;15;16;22;24;23;2;3;8;17;5;10;20,Inland Census Water Unit 8;PA BOF Unit 5;PA BOF Unit 8;Private Unit 0;Public Unit 5;Public Unit 9;Inland Census Water Unit 6;PA BOF Unit 7;Private Unit 8;Private Unit 9;Allegheny NF;PA BOF Unit 9;Inland Census Water Unit 9;Private Unit 5;Private Unit 6;Public Unit 6;Public Unit 8;Public Unit 7;Inland Census Water Unit 0;Inland Census Water Unit 5;PA BOF Unit 0;Private Unit 7;Inland Census Water Unit 7;PA BOF Unit 6;Public Unit 0,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,44,RI,Rhode Island,2022,442022,1559709174290487,EXPVOL,1559706866290487,442201,1559706512290487,"RHODE ISLAND 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Rhode Island,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,3,1;2;3,Inland Census Water Unit 1;Private Unit 1;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,45,SC,South Carolina,2022,452022,1535375646290487,EXPVOL,1583835732290487,452201,1583835719290487,"SOUTH CAROLINA 2022: 2017-2022: CURRENT AREA, CURRENT VOLUME",South Carolina,2017;2018;2019;2020;2021;2022,2017,2022,Post-Stratification,4,1;812;2;3,Southern Coastal Plain;NFS in South Carolina;Northern Coastal Plain - excluding national forest;Piedmont - excluding national forest,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,46,SD,South Dakota,2022,462022,1558376058290487,EXPVOL,1558373748290487,462201,1558373732290487,"SOUTH DAKOTA 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",South Dakota,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,11,6;9;4;11;1;7;2;3;8;5;10,Inland Census Water Unit 1;Private Unit 2;Dakota Prairie NGL;Public Unit 2;Black Hills NF;Inland Census Water Unit 2;Buffalo Gap NGL;Custer NF;Private Unit 1;Fort PIerre NGL;Public Unit 1,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,47,TN,Tennessee,2022,472022,1864532835290487,EXPVOL,1864532046290487,472201,1864532016290487,"TENNESSEE 2022: 2015-2022: CURRENT AREA, CURRENT VOLUME",Tennessee,2015;2016;2017;2018;2019;2020;2021;2022,2015,2022,Post-Stratification,7,1;860;2;3;5;804;4,West;Land Between the Lakes in Tennessee;West Central - excluding national forest;Central;East - excluding national forest;Cherokee NF;Plateau,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,48,TX,Texas,2022,482022,1517910304290487,EXPVOL,1840801470290487,482201,1840801457290487,"TEXAS 2022: 2008-2022: CURRENT AREA, CURRENT VOLUME",Texas,2008;2009;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2008,2022,Post-Stratification,8,1;4;6;813;2;3;7;5,Southeast - excluding national forest;South;Northwest;NFS in Texas;Northeast - excluding national forest;North Central;West;West Central,ACTUAL_SINGLE_GROUP_EVALID_WITH_EIGHT_EUS_SPANNING_EAST_AND_WEST; NO_GUESSED_EVALID,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,49,UT,Utah,2022,492022,1882846933290487,EXPVOL,1882845993290487,492201,1882845981290487,"UTAH 2022: 2013-2022: CURRENT AREA, CURRENT VOLUME",Utah,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,2013,2022,Post-Stratification,29,3;13;17;27;55;57;29;43;49;5;19;11;25;31;37;45;47;39;41;15;21;23;9;35;53;1;7;33;51,County 003;County 013;County 017;County 027;County 055;County 057;County 029;County 043;County 049;County 005;County 019;County 011;County 025;County 031;County 037;County 045;County 047;County 039;County 041;County 015;County 021;County 023;County 009;County 035;County 053;County 001;County 007;County 033;County 051,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
T1,50,VT,Vermont,2022,502022,1559710334290487,EXPVOL,1629206756290487,502201,1629206631290487,"VERMONT 2022: 2016-2022: CURRENT AREA, CURRENT VOLUME",Vermont,2016;2017;2018;2019;2020;2021;2022,2016,2022,Post-Stratification,7,6;4;1;7;2;3;5,Public Unit 2;Private Unit 2;Green NF;Public Unit 3;Inland Census Water Unit 2;Inland Census Water Unit 3;Private Unit 3,,ACTUAL_POP_EVAL_GRP_TO_POP_EVAL_TYP_TO_POP_EVAL,0,PASS
