case_id,state,state_fips,region,region_identity_note,final_effective_block_identity,fold,current_fold_n_h,full_evaluation_unsplit_n_h,A_fold_n_h,B_fold_n_h,source_estimation_unit_identity,source_parent_stratum_poststratum_identity,final_project_effective_block_identity,source_evaluation_identity,source_evaluation_year,locally_recoverable_region_special_exception_identity,classification,evidence_artifact,archive_member_table,exact_fields_used,short_rationale,unresolved_note
S11,MO,29,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1783101523290487,B,1,2,1,1,1,1783101523290487,STRATUM:1783101523290487,292301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_MO_A4-5_B1-2-3;selected_panels=1-2-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=2; frozen split gives A=1, B=1. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S12,MT,30,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1882170651290487,A,1,11,1,10,73,1882170651290487,STRATUM:1882170651290487,302201,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_MT_A2-4_B1-3-5;selected_panels=2-4,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=11; frozen split gives A=1, B=10. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S13,NY,36,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1801531274290487,A,1,7,1,6,6,1801531274290487,STRATUM:1801531274290487,362301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_NY_A1-3_B2-4-5;selected_panels=1-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=7; frozen split gives A=1, B=6. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S14,NY,36,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1801531276290487,A,1,2,1,1,8,1801531276290487,STRATUM:1801531276290487,362301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_NY_A1-3_B2-4-5;selected_panels=1-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=2; frozen split gives A=1, B=1. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S15,NY,36,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1801531276290487,B,1,2,1,1,8,1801531276290487,STRATUM:1801531276290487,362301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_NY_A1-3_B2-4-5;selected_panels=2-4-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=2; frozen split gives A=1, B=1. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S16,NY,36,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1801531324290487,A,1,11,1,10,23,1801531324290487,STRATUM:1801531324290487,362301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_NY_A1-3_B2-4-5;selected_panels=1-3,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=11; frozen split gives A=1, B=10. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S17,OH,39,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1805023918290487,A,1,4,1,3,1,1805023918290487,STRATUM:1805023918290487,392301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_OH_A1-4_B2-3-5;selected_panels=1-4,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=4; frozen split gives A=1, B=3. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S18,OH,39,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1805023919290487,A,1,4,1,3,2,1805023919290487,STRATUM:1805023919290487,392301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_OH_A1-4_B2-3-5;selected_panels=1-4,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=4; frozen split gives A=1, B=3. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S19,PA,42,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1813539378290487,A,1,4,1,3,5,1813539378290487,STRATUM:1813539378290487,422301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_PA_A1-4_B2-3-5;selected_panels=1-4,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=4; frozen split gives A=1, B=3. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S20,PA,42,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1813539383290487,A,1,3,1,2,9,1813539383290487,STRATUM:1813539383290487,422301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_PA_A1-4_B2-3-5;selected_panels=1-4,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=3; frozen split gives A=1, B=2. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S21,VA,51,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1642633283290487,A,1,5,1,4,5,1642633283290487,STRATUM:1642633283290487,512301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_VA_A2-5_B1-3-4;selected_panels=2-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=5; frozen split gives A=1, B=4. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S22,WA,53,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1955745601290487,A,1,11,1,10,1,1955745601290487,STRATUM:1955745601290487,532301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_WA_A4-5_B1-2-3;selected_panels=4-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=11; frozen split gives A=1, B=10. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S23,WA,53,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1955745630290487,A,1,11,1,10,1,1955745630290487,STRATUM:1955745630290487,532301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_WA_A4-5_B1-2-3;selected_panels=4-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=11; frozen split gives A=1, B=10. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
S24,WA,53,,NOT_PRESENT_IN_REQUIRED_FROZEN_ROWS,STRATUM:1955745708290487,A,1,9,1,8,2,1955745708290487,STRATUM:1955745708290487,532301,2023,repair_class=R0;design_resolution=PARENT_POSTSTRATUM;candidate_id=T2_WA_A4-5_B1-2-3;selected_panels=4-5,FOLD_INDUCED_SPARSE,D09C + D10C-A + D10F-B aggregate cross-check,Q1_D09C_T2_FINAL_CORRECTION_REPRODUCIBLE_v02/02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv;D10CA_v01/out/plot_block_xwalk_v01.csv.gz;D10FB_v01/qc/Q1_D10F_B_AUDIT_SUMMARY_v01.json,fold_sample_count;full_evaluation_sample_count_comparator;fold;source_estimation_units;source_parent_poststratum_count;source_parent_poststratum_ids;design_resolution;repair_class;component_evalid;reporting_year;final_effective_design_block_id,"Unsplit n_h=9; frozen split gives A=1, B=8. The identity is an R0 original parent poststratum with one source EU and one parent stratum.",
