state_fips,state_abbr,state_name,candidate_id,selected_A_panels,selected_B_panels,mechanical_rank,candidate_design_valid,candidate_design_status,rule_selected_valid_top_candidate,why_selected,symmetric_coarsening_estimation_unit_count,symmetric_coarsening_area_acres,population_area_preserved_100pct,true_eu_level_block_count,ti_feasibility,ma_sensitivity_feasibility,qc_flags,mainline_final_acceptance,ab_role_definition,ba_role_definition
29,MO,Missouri,T2_MO_A4-5_B1-2-3,4-5,1-2-3,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.0820549194005943; max_balance=1.1111111111111114; eu_balance=0.035656490992911585; time_center=1.549322347585985; A_tuple=4-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
28,MS,Mississippi,T2_MS_A4-5_B1-2-3,4-5,1-2-3,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.04740309116325737; max_balance=0.20693512304250564; eu_balance=0.021418749840375815; time_center=2.95164874800048; A_tuple=4-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
30,MT,Montana,T2_MT_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.12835796628909268; max_balance=1.5384615384615383; eu_balance=0.04156215788243851; time_center=1.676711483435156; A_tuple=2-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
37,NC,North Carolina,T2_NC_A4-5_B1-2-3,4-5,1-2-3,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.05250625081679938; max_balance=0.625; eu_balance=0.016060067517520298; time_center=0.7732850302350016; A_tuple=4-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
38,ND,North Dakota,T2_ND_A1-5_B2-3-4,1-5,2-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.0092478625072699; max_balance=0.4166666666666667; eu_balance=0.0081328735522477; time_center=0.7973034713152174; A_tuple=1-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
31,NE,Nebraska,T2_NE_A1-5_B2-3-4,1-5,2-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.013498221088919604; max_balance=0.5092592592592592; eu_balance=0.007474643074637776; time_center=0.7704178945807598; A_tuple=1-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
33,NH,New Hampshire,T2_NH_A1-4_B2-3-5,1-4,2-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.11987227474669646; max_balance=0.5555555555555555; eu_balance=0.08438968790007588; time_center=1.7783922086498478; A_tuple=1-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
34,NJ,New Jersey,T2_NJ_A3-4_B1-2-5,3-4,1-2-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.1087654037258798; max_balance=0.625; eu_balance=0.07283717603080499; time_center=1.3428898612792182; A_tuple=3-4,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
35,NM,New Mexico,T2_NM_A1-4_B2-3-5,1-4,2-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.138161489814247; max_balance=1.2037037037037035; eu_balance=0.03260943114941234; time_center=0.7985930859017571; A_tuple=1-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
32,NV,Nevada,T2_NV_A2-5_B1-3-4,2-5,1-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.06024377595977593; max_balance=0.6746031746031745; eu_balance=0.027427283133446157; time_center=0.8354227100664957; A_tuple=2-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
36,NY,New York,T2_NY_A1-3_B2-4-5,1-3,2-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.13557065146196837; max_balance=1.2878787878787878; eu_balance=0.050859794362266446; time_center=0.7862552093438353; A_tuple=1-3,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
39,OH,Ohio,T2_OH_A1-4_B2-3-5,1-4,2-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.09447103837543451; max_balance=1.0416666666666665; eu_balance=0.04647568281326228; time_center=2.006786587202896; A_tuple=1-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
40,OK,Oklahoma,T2_OK_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.040642266255628896; max_balance=0.34552845528455295; eu_balance=0.01296774487670053; time_center=0.9609826728778899; A_tuple=2-4,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
41,OR,Oregon,T2_OR_A4-5_B1-2-3,4-5,1-2-3,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.057621201926595124; max_balance=1.2878787878787878; eu_balance=0.020046734610996014; time_center=2.4472757917560557; A_tuple=4-5,1,47343867.49,1,0,COMPLETE,PARTIAL,OR_412301_ASSIGNMENT_PLOT_STATECD_INVYR_MISMATCH_RETAINED,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
42,PA,Pennsylvania,T2_PA_A1-4_B2-3-5,1-4,2-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.14185758550340682; max_balance=1.1764705882352942; eu_balance=0.05108523755884883; time_center=0.3042799179143003; A_tuple=1-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
44,RI,Rhode Island,T2_RI_A4-5_B1-2-3,4-5,1-2-3,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.11836070766440623; max_balance=0.41666666666666674; eu_balance=0.10307070982152432; time_center=1.6351513335332584; A_tuple=4-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
45,SC,South Carolina,T2_SC_A2-5_B1-3-4,2-5,1-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.06244732551242361; max_balance=0.31635802469135793; eu_balance=0.009644583275443805; time_center=0.7264966747584367; A_tuple=2-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
46,SD,South Dakota,T2_SD_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.02217476826669862; max_balance=0.9126984126984127; eu_balance=0.012889429087750861; time_center=0.7984493982573895; A_tuple=2-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
47,TN,Tennessee,T2_TN_A1-2_B3-4-5,1-2,3-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.07835025557566362; max_balance=0.6481481481481481; eu_balance=0.027479878785957194; time_center=3.1660599106921836; A_tuple=1-2,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
48,TX,Texas,T2_TX_A2-5_B1-3-4,2-5,1-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.03162490284442182; max_balance=0.8653846153846153; eu_balance=0.011162248234224435; time_center=0.8918062994930551; A_tuple=2-5,0,0,1,0,COMPLETE,COMPLETE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
49,UT,Utah,T2_UT_A1-4_B2-3-5,1-4,2-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.13320340901134867; max_balance=1.4583333333333335; eu_balance=0.03213723393108012; time_center=0.7465908487581601; A_tuple=1-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
51,VA,Virginia,T2_VA_A2-5_B1-3-4,2-5,1-3-4,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.05326089398860795; max_balance=0.8333333333333333; eu_balance=0.012422485887249934; time_center=0.9903165579667075; A_tuple=2-5,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
50,VT,Vermont,T2_VT_A2-4_B1-3-5,2-4,1-3-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.11299713545959958; max_balance=1.0714285714285714; eu_balance=0.055143895942407525; time_center=0.8246835949480555; A_tuple=2-4,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
53,WA,Washington,T2_WA_A1-3_B2-4-5,1-3,2-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.03771843808593887; max_balance=1.3636363636363635; eu_balance=0.012030837550059627; time_center=1.8156347725105206; A_tuple=1-3,2,39085225.87,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
55,WI,Wisconsin,T2_WI_A1-2_B3-4-5,1-2,3-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.0805834066487266; max_balance=0.7738095238095238; eu_balance=0.03193670634293292; time_center=3.2462296639685064; A_tuple=1-2,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
54,WV,West Virginia,T2_WV_A3-5_B1-2-4,3-5,1-2-4,1,0,DESIGN_BLOCKED_ESTIMATION_UNIT_UNSAMPLED,NO_BLOCKED_MECHANICAL_TOP_ONLY,valid=0; block_balance=0.11176098967266351; max_balance=1.0; eu_balance=0.050876782874710084; time_center=2.0976615426168337; A_tuple=3-5,1,23014.8,1,1,BLOCKED,UNAVAILABLE,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
56,WY,Wyoming,T2_WY_A1-3_B2-4-5,1-3,2-4-5,1,1,VALID_TI_ESTIMABLE,YES,valid=1; block_balance=0.0810951595082276; max_balance=1.111111111111111; eu_balance=0.027565343700272363; time_center=1.6911121438740793; A_tuple=1-3,0,0,1,0,COMPLETE,PARTIAL,,NOT_DECIDED,"AB: A support, B abundance","BA: B support, A abundance; same partition"
