case_id,state,fold,source_eu,source_parent_poststratum,full_n_h,fold_n_h,pseudo_stratum_group_id,donor_member_identities,grouping_variables,grouping_rule_source,design_population_metadata_used,target_outcome_used,opposite_fold_species_outcome_used,point_coefficient_before,point_coefficient_after,exact_equality_flag,assignment_status,blocking_reason
S01,CA,A,1,1957279656290487,12,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,85086.26550519335,85086.26550519335,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S12,MT,A,73,1882170651290487,11,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,115112.0,115112.0,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S13,NY,A,6,1801531274290487,7,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,32648.9,32648.9,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S14,NY,A,8,1801531276290487,2,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,54400.4,54400.4,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S15,NY,B,8,1801531276290487,2,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,54400.4,54400.4,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S16,NY,A,23,1801531324290487,11,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,61676.54917361539,61676.54917361539,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S17,OH,A,1,1805023918290487,4,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,20660.0,20660.0,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S18,OH,A,2,1805023919290487,4,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,11828.5,11828.5,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S19,PA,A,5,1813539378290487,4,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,15353.3,15353.3,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S20,PA,A,9,1813539383290487,3,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,19615.199999999997,19615.199999999997,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S21,VA,A,5,1642633283290487,5,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,17197.0633084856,17197.0633084856,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S22,WA,A,1,1955745601290487,11,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,11828.514530349503,11828.514530349503,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S23,WA,A,1,1955745630290487,11,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,42750.071147290946,42750.071147290946,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
S24,WA,A,2,1955745708290487,9,1,,,,B4_O01_OPEN_NO_EXACT_RULE,identity inventory only: state; EVALID; source EU; source parent poststratum; A/B n_h; area; design class,NO,NO,71750.58123076445,71750.58123076445,TRUE_NO_POINT_EDIT,BLOCKED_NO_AUTHORIZED_RULE,B4 authority does not freeze a unique or finite grouping map; B5 forbids analyst-invented similarity criteria.
