file_role,path,size_bytes,sha256,expected_size,expected_sha256,status
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\05_qc\elig_v02\D04_CONTINUITY_AUDIT.csv,603,bed1f4ccb2a384f57e7a1aa145f7327a61470d0f8f2572301623f7ff624fbd6e,603,bed1f4ccb2a384f57e7a1aa145f7327a61470d0f8f2572301623f7ff624fbd6e,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\05_qc\elig_v02\LINEAGE_AUDIT.csv,676,45cdad73f26a0d9b6cc807d94ee60b2e743568ca15eb518a96fc049dc68cd782,676,45cdad73f26a0d9b6cc807d94ee60b2e743568ca15eb518a96fc049dc68cd782,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\05_qc\elig_v02\AB_SPLIT_AUDIT.csv,26677,236fc9dd03f640f708e4fd9b5e0b8733ef2fa2381048860c405e4da432d85438,26677,236fc9dd03f640f708e4fd9b5e0b8733ef2fa2381048860c405e4da432d85438,PASS
FROZEN_CONTROL_OR_AUTHORITY,C:\range_paper\05_qc\elig_v02\DOMAIN_GRID_AUDIT.csv,1504,e2a208663114d6d113502b14595ec14ea801a642ac8e4d472c37b0a690ce50ee,1504,e2a208663114d6d113502b14595ec14ea801a642ac8e4d472c37b0a690ce50ee,PASS
D08B1_V02_TAXONOMY_RANGE_AUTHORITY,C:\range_paper\04_derived\tax_v02\Q1_FIA_CODE_TO_ANALYSIS_SPECIES_v02.csv,165626,d19db4f15c2f5f3f328d39bbc9ad17486a384de509253ff0c237ee25ab481cdd,165626,d19db4f15c2f5f3f328d39bbc9ad17486a384de509253ff0c237ee25ab481cdd,PASS
D08B1_V02_TAXONOMY_RANGE_AUTHORITY,C:\range_paper\04_derived\tax_v02\Q1_ANALYSIS_SPECIES_MASTER_v02.csv,89217,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,89217,6f69874ab02723b3489aa4f3cbfb5aba188147400efdf170f27ad699d6368cb0,PASS
D08B1_V02_TAXONOMY_RANGE_AUTHORITY,C:\range_paper\04_derived\tax_v02\Q1_GLOBAL_RANGE_FLAGS_v02.csv,191352,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,191352,dc64778032ed9bd301bfc7c14818fc3ba71a3b2621bb4e8b33ec558ecdf3d16d,PASS
D08B1_V02_TAXONOMY_RANGE_AUTHORITY,C:\range_paper\04_derived\tax_v02\Q1_WCVP_NATIVE_DISTRIBUTION_LONG_v02.csv,1631728,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,1631728,559a2d6f7b0d67ad886468a2c0098e117c824f196f0a85d3bb7d99c466649017,PASS
D08B1_V02_TAXONOMY_RANGE_AUTHORITY,C:\range_paper\04_derived\tax_v02\Q1_DRC_PROTOCOL_v02.csv,68280,d49059c3131258aae09b240387cca6a0f53be3a057470338304c3de3b3b8b952,68280,d49059c3131258aae09b240387cca6a0f53be3a057470338304c3de3b3b8b952,PASS
EXTRACTED_FIA_DATABASE_MEMBER,C:\range_paper\99_tmp\elig_v02\SQLite_FIADB_ENTIRE.db,71565119488,CRC32:a2bc6055,71565119488,CRC32:a2bc6055,PASS
