case_id,state,state_fips,source_evalid,source_evaluation_year,fold,source_eu,target_poststratum,target_plot_visit_identity,target_plot_identity_source,target_xwalk_designcd,target_plot_designcd,target_raw_designcd,target_repair_class,target_intensity,target_qa_status,target_qa_production_class,target_kindcd,target_subpanel,target_special_nonfederal_augmentation_identity,target_manual,target_manual_db,target_manual_ncrs,target_manual_ners,target_manual_rmrs,target_samp_method_cd,target_plot_status_cd,target_nf_sampling_status_cd,target_designcd_p2a,target_core_design_identity,b7_level1_prior_status,level1_total_candidate_poststrata_before_filter,level1_total_candidate_plots_before_filter,level1_compatible_non_singleton_poststrata,level1_compatible_plots,level1_compatible_residual_df_proxy,level1_matched_plots_stranded_below_n2,level1_excluded_candidate_plots,level1_exclusion_reason_counts,level1_exclusion_pattern_distribution,level1_multiple_reason_excluded_plots,level1_designcd_mismatch_count,level1_raw_designcd_mismatch_count,level1_repair_class_mismatch_count,level1_intensity_mismatch_count,level1_qa_production_class_mismatch_count,level1_special_nonfederal_augmentation_mismatch_count,level1_result,level2_evaluated,level2_total_candidate_poststrata_before_filter,level2_total_candidate_plots_before_filter,level2_compatible_non_singleton_poststrata,level2_compatible_plots,level2_compatible_residual_df_proxy,level2_matched_plots_stranded_below_n2,level2_excluded_candidate_plots,level2_exclusion_reason_counts,level2_exclusion_pattern_distribution,level2_multiple_reason_excluded_plots,level2_designcd_mismatch_count,level2_raw_designcd_mismatch_count,level2_repair_class_mismatch_count,level2_intensity_mismatch_count,level2_qa_production_class_mismatch_count,level2_special_nonfederal_augmentation_mismatch_count,level2_result,selected_hierarchy_level,selected_compatible_non_singleton_poststrata,selected_compatible_plots,selected_compatible_residual_df_proxy,final_hierarchy_result,identity_completeness,identity_gap,b8_level2_reconciliation_status,b8_level2_reconciliation_detail,inventory_only_no_assignment,notes
S11,MO,29,292301,2023,B,1,1783101523290487,1185821535290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9.2,9.4,9.2,,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,45,4393,45,4194,4149,0,199,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:199;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:199;MATCH:4194,0,0,0,0,199,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,45,4194,4149,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(45, 4194, 4149, 199);B8_nested=(45, 4194, 4149, 199).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S12,MT,30,302201,2023,A,73,1882170651290487,356009456489998,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,1,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.4,,,9,1,1,1,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,2,71,2,71,69,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,MATCH:71,0,0,0,0,0,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,2,71,69,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S13,NY,36,362301,2023,A,6,1801531274290487,1191495408290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9.2,9.3,,9.2,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,71,1785,71,1782,1711,0,3,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:3;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:3;MATCH:1782,0,0,0,0,3,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,71,1782,1711,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(71, 1782, 1711, 3);B8_nested=(71, 1782, 1711, 3).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S14,NY,36,362301,2023,A,8,1801531276290487,459836128489998,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,7,9.3,,7,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,71,1785,71,1782,1711,0,3,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:3;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:3;MATCH:1782,0,0,0,0,3,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,71,1782,1711,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(71, 1782, 1711, 3);B8_nested=(71, 1782, 1711, 3).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S15,NY,36,362301,2023,B,8,1801531276290487,375682625489998,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,7,9.3,,7,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,73,2697,72,2693,2621,1,3,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:3;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:3;MATCH:2694,0,0,0,0,3,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,72,2693,2621,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(72, 2693, 2621, 3);B8_nested=(72, 2693, 2621, 3).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S16,NY,36,362301,2023,A,23,1801531324290487,459836283489998,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,7,9.3,,7,,1,1,0,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,4,72,4,72,68,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,MATCH:72,0,0,0,0,0,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,4,72,68,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S17,OH,39,392301,2023,A,1,1805023918290487,1192049323290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9.2,9.4,,9.2,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,44,1627,44,1586,1542,0,41,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:41;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:41;MATCH:1586,0,0,0,0,41,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,44,1586,1542,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(44, 1586, 1542, 41);B8_nested=(44, 1586, 1542, 41).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S18,OH,39,392301,2023,A,2,1805023919290487,1192048894290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,1,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.4,,9.2,,1,1,0,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,44,1627,44,1586,1542,0,41,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:41;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:41;MATCH:1586,0,0,0,0,41,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,44,1586,1542,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(44, 1586, 1542, 41);B8_nested=(44, 1586, 1542, 41).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S19,PA,42,422301,2023,A,5,1813539378290487,511232026126144,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,8,9.4,,8,,1,1,0,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,59,1774,57,1693,1636,1,80,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:80;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:80;MATCH:1694,0,0,0,0,80,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,57,1693,1636,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(57, 1693, 1636, 80);B8_nested=(57, 1693, 1636, 80).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S20,PA,42,422301,2023,A,9,1813539383290487,464513852489998,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,0,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,7,9.4,,7,,1,1,0,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_ISOLATED,0,0,0,0,0,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,NONE,0,0,0,0,0,0,0,LEVEL1_NO_COMPATIBLE_MATERIAL,YES,59,1774,57,1693,1636,1,80,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:80;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,INTENSITY_MISMATCH:80;MATCH:1694,0,0,0,0,80,0,0,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,LEVEL2,57,1693,1636,LEVEL2_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,PASS,"B9(poststrata,plots,df,intensity_exclusions)=(57, 1693, 1636, 80);B8_nested=(57, 1693, 1636, 80).",YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S21,VA,51,512301,2023,A,5,1642633283290487,740834535290487,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,1,1,1,R0,1,1,PRODUCTION,2,2,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9,9.4,,,,2,2,,,xwalk_DESIGNCD=1;plot_DESIGNCD=1;raw_DESIGNCD=1;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,4,287,4,287,283,0,0,DESIGNCD_MISMATCH:0;RAW_DESIGNCD_MISMATCH:0;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,MATCH:287,0,0,0,0,0,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,4,287,283,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S22,WA,53,532301,2023,A,1,1955745601290487,490388167126144,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,501,501,501,R0,201,1,PRODUCTION,2,2,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,7.2,9.4,,,,1,1,1,,xwalk_DESIGNCD=501;plot_DESIGNCD=501;raw_DESIGNCD=501;repair_class=R0;INTENSITY=201;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,69,1330,31,297,266,1,1032,DESIGNCD_MISMATCH:551;RAW_DESIGNCD_MISMATCH:551;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:820;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,DESIGNCD_MISMATCH+RAW_DESIGNCD_MISMATCH:212;DESIGNCD_MISMATCH+RAW_DESIGNCD_MISMATCH+INTENSITY_MISMATCH:339;INTENSITY_MISMATCH:481;MATCH:298,551,551,551,0,820,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,31,297,266,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S23,WA,53,532301,2023,A,1,1955745630290487,1238317862290487,FROZEN_WA_RAW_DESIGN_ZIPS_PLOT_SURVEY_FALLBACK,502,502,502,R0,201,1,PRODUCTION,2,1,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,9.2,9.4,,,,1,1,0,,xwalk_DESIGNCD=502;plot_DESIGNCD=502;raw_DESIGNCD=502;repair_class=R0;INTENSITY=201;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,69,1330,37,207,170,5,1118,DESIGNCD_MISMATCH:779;RAW_DESIGNCD_MISMATCH:779;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:820;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,DESIGNCD_MISMATCH+RAW_DESIGNCD_MISMATCH:298;DESIGNCD_MISMATCH+RAW_DESIGNCD_MISMATCH+INTENSITY_MISMATCH:481;INTENSITY_MISMATCH:339;MATCH:212,779,779,779,0,820,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,37,207,170,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
S24,WA,53,532301,2023,A,2,1955745708290487,412223276489998,FROZEN_NATIONAL_SQLITE_PLOT_SURVEY,502,502,502,R0,1,1,PRODUCTION,2,2,NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,7.1,9.4,,,,1,1,1,,xwalk_DESIGNCD=502;plot_DESIGNCD=502;raw_DESIGNCD=502;repair_class=R0;INTENSITY=1;QA_class=PRODUCTION;special_identity=NO_SEPARATE_EXPLICIT_EXCEPTION_FLAG_RECOVERED,STRUCTURALLY_AVAILABLE,19,138,12,63,51,2,73,DESIGNCD_MISMATCH:73;RAW_DESIGNCD_MISMATCH:73;REPAIR_CLASS_MISMATCH:0;INTENSITY_MISMATCH:0;QA_PRODUCTION_CLASS_MISMATCH:0;SPECIAL_NONFEDERAL_AUGMENTATION_MISMATCH:0,DESIGNCD_MISMATCH+RAW_DESIGNCD_MISMATCH:73;MATCH:65,73,73,73,0,0,0,0,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,NO,,,,,,,,NOT_EVALUATED,NOT_EVALUATED,,0,0,0,0,0,0,NOT_EVALUATED,LEVEL1,12,63,51,LEVEL1_COMPATIBLE_MATERIAL_AVAILABLE,COMPLETE,NONE,NOT_APPLICABLE,Case was not one of the 13 B8 Level-2 targets.,YES,At least one post-filter poststratum with matched n_h>=2 establishes descriptive availability; no sufficiency threshold is implied.
