state_abbr,state_name,state_fips,target_reporting_year,official_eval_group,resource_tree_evalid,resource_evalid_resolution_basis,evaluation_type,evaluation_group_member_years,member_year_count,growth_accounting_flag,candidate_status,fia_rscd,panel_schedule_class,p2panel_values,panel_year_mapping_status,source,notes
IL,Illinois,17,2023,172023,172301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
IN,Indiana,18,2023,182023,182301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
IA,Iowa,19,2023,192023,192301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
KS,Kansas,20,2023,202023,202301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
KY,Kentucky,21,2023,212023,212301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2016;2017;2018;2019;2020;2021;2022;2023,8,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
LA,Louisiana,22,2023,222023,222301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2016;2017;2018;2019;2020;2021;2022;2023,8,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
ME,Maine,23,2023,232023,232301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2019;2020;2021;2022;2023,5,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
MD,Maryland,24,2023,242023,242301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
MA,Massachusetts,25,2023,252023,252301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
MI,Michigan,26,2023,262023,262301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
MN,Minnesota,27,2023,272023,272301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2019;2020;2021;2022;2023,5,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
MS,Mississippi,28,2023,282023,282301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
MO,Missouri,29,2023,292023,292301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
MT,Montana,30,2023,302022,302201,Latest whole-State evaluation group is 2022; current/resource EXPVOL EVALID candidate uses the official current/resource suffix convention; exact POP_EVAL_TYP membership must be preserved.,EXPVOL,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,10,Y,NO_2023_WHOLE_STATE_GROUP__LATEST_2022_EXCEPTION,22,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB-API wc metadata has no whole-State 2023 group; latest published whole-State group is 2022. Mainline exception required. Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
NE,Nebraska,31,2023,312023,312301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
NV,Nevada,32,2023,322023,322301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,10,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,22,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
NH,New Hampshire,33,2023,332023,332301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
NJ,New Jersey,34,2023,342023,342301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2019;2020;2021;2022;2023,5,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
NM,New Mexico,35,2023,352022,352201,Latest whole-State evaluation group is 2022; current/resource EXPVOL EVALID candidate uses the official current/resource suffix convention; exact POP_EVAL_TYP membership must be preserved.,EXPVOL,2015;2016;2017;2018;2019;2020;2021;2022,8,Y,NO_2023_WHOLE_STATE_GROUP__LATEST_2022_EXCEPTION,22,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB-API wc metadata has no whole-State 2023 group; latest published whole-State group is 2022. Mainline exception required. Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
NY,New York,36,2023,362023,362301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
NC,North Carolina,37,2023,372023,372301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2016;2017;2018;2019;2020;2021;2022;2023,8,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
ND,North Dakota,38,2023,382023,382301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
OH,Ohio,39,2023,392023,392301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
OK,Oklahoma,40,2023,402023,402301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2019;2020;2021;2022;2023,5,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,MIXED_SUBPANELING_UNITCD_GE3,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Oklahoma is mixed: SRS uses subpaneling only where UNITCD>=3; State-wide P2PANEL cannot be assumed to be a uniform annual atom.
OR,Oregon,41,2023,412023,412301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,10,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,26,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
PA,Pennsylvania,42,2023,422023,422301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
RI,Rhode Island,44,2023,442023,442301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,24,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
SC,South Carolina,45,2023,452023,452301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
SD,South Dakota,46,2023,462023,462301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2017;2018;2019;2020;2021;2022;2023,7,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,23,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
TN,Tennessee,47,2023,472023,472301,Standard current/resource EXPVOL candidate under FIA EVALID convention: State FIPS + report-year YY + type 01. Computation must still use actual POP_EVAL_TYP membership from the frozen database rather than reconstructing IDs.,EXPVOL,2015;2016;2017;2018;2019;2020;2021;2022;2023,9,Y,UNIQUE_2023_WHOLE_STATE_RESOURCE_CANDIDATE,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,
TX,Texas,48,2023,482023,UNKNOWN_FROM_WC_GROUP__COMPONENT_EVALID_AUDIT_REQUIRED,"Official wc metadata confirms whole-State group 482023, but FIADB update history records separate 482023 East and West component data additions. Do not collapse the group to a guessed single EVALID; read POP_EVAL_TYP/POP_EVAL group membership in a bounded local design audit.",EXPVOL,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,10,Y,2023_WHOLE_STATE_GROUP_EXISTS__COMPONENT_EVALID_MEMBERSHIP_REQUIRES_BOUNDED_AUDIT,33,NO_SUBPANELING,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Official wc table confirms whole-State group 482023 (2014-2023). Current FIADB update history records separate 482023 Texas(East) and 482023 Texas(West) component updates. The exact EXPVOL component EVALID(s) must be read from POP_EVAL_TYP/POP_EVAL before computation; do not assume 482301.
UT,Utah,49,2023,492022,492201,Latest whole-State evaluation group is 2022; current/resource EXPVOL EVALID candidate uses the official current/resource suffix convention; exact POP_EVAL_TYP membership must be preserved.,EXPVOL,2013;2014;2015;2016;2017;2018;2019;2020;2021;2022,10,Y,NO_2023_WHOLE_STATE_GROUP__LATEST_2022_EXCEPTION,22,P2PANEL_SPLIT_2_SUBPANELS,1;2;3;4;5,NOT_EXPOSED_BY_WC_METADATA__LOCAL_PLOT_LEVEL_DESIGN_AUDIT_REQUIRED,FIADB-API /fullreport/parameters/wc; FIADB v9.4; FIA glossary; current EVALIDator EVALID convention,Current FIADB-API wc metadata has no whole-State 2023 group; latest published whole-State group is 2022. Mainline exception required. Current FIADB schema says each P2PANEL is divided into SUBPANEL 1/2 for this work unit; one subpanel is usually scheduled per year.
