issue_id,issue_scope,issue_class,fia_species_code,fia_scientific_name,analysis_species_id,analysis_species_name,usgs_atlas_row_id,evidence,reason,mainline_action_required
USGS-0060,USGS_LAYER_MAPPING,UNRESOLVED,,,380406,Picea abies,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0061,USGS_LAYER_MAPPING,UNRESOLVED,,,380503,Pinus arizonica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0062,USGS_LAYER_MAPPING,UNRESOLVED,,,381804,Abies grandis,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0063,USGS_LAYER_MAPPING,AMBIGUOUS,,,457902,Hesperocyparis arizonica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0064,USGS_LAYER_MAPPING,UNRESOLVED,,,457903,Hesperocyparis bakeri,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0065,USGS_LAYER_MAPPING,UNRESOLVED,,,457913,Hesperocyparis macrocarpa,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0066,USGS_LAYER_MAPPING,UNRESOLVED,,,2329229,Juglans hindsii,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0067,USGS_LAYER_MAPPING,UNRESOLVED,,,2346347,Leucaena leucocephala,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0068,USGS_LAYER_MAPPING,UNRESOLVED,,,2444682,Tamarindus indica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0069,USGS_LAYER_MAPPING,UNRESOLVED,,,2448661,Ulmus parvifolia,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0070,USGS_LAYER_MAPPING,UNRESOLVED,,,2448824,Ulmus pumila,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0071,USGS_LAYER_MAPPING,UNRESOLVED,,,2501381,Morus alba,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0072,USGS_LAYER_MAPPING,UNRESOLVED,,,2505106,Melia azedarach,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0073,USGS_LAYER_MAPPING,UNRESOLVED,,,2518181,Tilia cordata,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0074,USGS_LAYER_MAPPING,UNRESOLVED,,,2523018,Rhamnus cathartica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0075,USGS_LAYER_MAPPING,UNRESOLVED,,,2540278,Piscidia piscipula,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0076,USGS_LAYER_MAPPING,UNRESOLVED,,,2541602,Phellodendron amurense,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0077,USGS_LAYER_MAPPING,UNRESOLVED,,,2542391,Paulownia tomentosa,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0078,USGS_LAYER_MAPPING,UNRESOLVED,,,2601502,Swietenia mahagoni,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0079,USGS_LAYER_MAPPING,UNRESOLVED,,,2616254,Acer platanoides,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0080,USGS_LAYER_MAPPING,UNRESOLVED,,,2616276,Acer pseudoplatanus,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0081,USGS_LAYER_MAPPING,UNRESOLVED,,,2616524,Acer tataricum,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0082,USGS_LAYER_MAPPING,UNRESOLVED,,,2626815,Ailanthus altissima,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0083,USGS_LAYER_MAPPING,UNRESOLVED,,,2627374,Albizia julibrissin,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0084,USGS_LAYER_MAPPING,UNRESOLVED,,,2683772,Broussonetia papyrifera,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0085,USGS_LAYER_MAPPING,UNRESOLVED,,,2695178,Camphora officinarum,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0086,USGS_LAYER_MAPPING,UNRESOLVED,,,2784980,Elaeagnus angustifolia,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0087,USGS_LAYER_MAPPING,UNRESOLVED,,,2809827,Ficus carica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0088,USGS_LAYER_MAPPING,UNRESOLVED,,,2813006,Firmiana simplex,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0089,USGS_LAYER_MAPPING,UNRESOLVED,,,2860379,Ilex aquifolium,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0090,USGS_LAYER_MAPPING,UNRESOLVED,,,2901279,Prunus persica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0091,USGS_LAYER_MAPPING,UNRESOLVED,,,2917143,Prunus avium,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0092,USGS_LAYER_MAPPING,UNRESOLVED,,,2917497,Populus nigra,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0093,USGS_LAYER_MAPPING,UNRESOLVED,,,2917735,Populus alba,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0094,USGS_LAYER_MAPPING,UNRESOLVED,,,2918804,Salix alba,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0095,USGS_LAYER_MAPPING,AMBIGUOUS,,,2919837,Salix nigra,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0096,USGS_LAYER_MAPPING,UNRESOLVED,,,2921945,Populus angustifolia,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0097,USGS_LAYER_MAPPING,UNRESOLVED,,,2940246,Amelanchier laevis,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0098,USGS_LAYER_MAPPING,UNRESOLVED,,,2945308,Crataegus crus-galli,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0099,USGS_LAYER_MAPPING,UNRESOLVED,,,2946180,Crataegus mollis,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0100,USGS_LAYER_MAPPING,UNRESOLVED,,,2950597,Malus domestica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0101,USGS_LAYER_MAPPING,UNRESOLVED,,,2959531,Prunus domestica,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0102,USGS_LAYER_MAPPING,UNRESOLVED,,,2959716,Prunus emarginata,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0103,USGS_LAYER_MAPPING,UNRESOLVED,,,2960451,Prunus laurocerasus,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0104,USGS_LAYER_MAPPING,UNRESOLVED,,,2961630,Prunus serrulata,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0105,USGS_LAYER_MAPPING,UNRESOLVED,,,2963049,Pyrus calleryana,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0106,USGS_LAYER_MAPPING,UNRESOLVED,,,2963115,Pyrus communis,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
USGS-0107,USGS_LAYER_MAPPING,UNRESOLVED,,,3317681,Pinus × kohae,,,No unique canonical Table 1 layer assignment is permitted.,Review USGS layer evidence; do not union layers automatically.
