input_role,relative_path,expected_size_bytes,observed_size_bytes,expected_sha256,observed_sha256,status
D10B,02_outputs/REGISTRY_DELTA_v01.csv,5134,5134,77562d05f7645c3ac2b25ae54475a00ad3404eed9d9fff86fb84929298bdc5f9,77562d05f7645c3ac2b25ae54475a00ad3404eed9d9fff86fb84929298bdc5f9,PASS
D10B,03_qc/D10B_ARTIFACT_TOOL_TABULAR_VALIDATION_v01.json,2015,2015,8bfa8de9626c2995717b73648014dcc128dbdb793b96492f7ccb2dcee1e5e1e2,8bfa8de9626c2995717b73648014dcc128dbdb793b96492f7ccb2dcee1e5e1e2,PASS
D10B,03_qc/D10B_BUILD_SUMMARY_v01.json,643,643,983f118b6fc8c7acdaabf0b56d13a2af5e8505a1f71cd7203ee4ddd47dc83046,983f118b6fc8c7acdaabf0b56d13a2af5e8505a1f71cd7203ee4ddd47dc83046,PASS
D10B,03_qc/D10B_D10A_INPUT_IDENTITY_v01.csv,7301,7301,468239a4ac0177b064d836273d60d0872e8113381e50be42aaec817e1052f131,468239a4ac0177b064d836273d60d0872e8113381e50be42aaec817e1052f131,PASS
D10B,03_qc/D10B_ENVIRONMENT_v01.json,331,331,d4a99f01164c74762dcd85ec02a5f4cb1c8a6192c5a8925e55d4e1563e2cabbc,d4a99f01164c74762dcd85ec02a5f4cb1c8a6192c5a8925e55d4e1563e2cabbc,PASS
D10B,03_qc/D10B_IMPLEMENTATION_LOG_v01.md,445,445,748e4668d4d24cd13510f2fd299bab46b67f90e9b139e7680488b455fc7222dd,748e4668d4d24cd13510f2fd299bab46b67f90e9b139e7680488b455fc7222dd,PASS
D10B,03_qc/D10B_INDEPENDENT_POSTRUN_VALIDATION_CHECKS_v01.csv,808,808,6629c9d07a9dd98a84cbcd1749fab9df98b913ccc7d2179f270986f12ae542aa,6629c9d07a9dd98a84cbcd1749fab9df98b913ccc7d2179f270986f12ae542aa,PASS
D10B,03_qc/D10B_INDEPENDENT_POSTRUN_VALIDATION_v01.json,118,118,b60a204d9a6c0f5fb606b99c2f8a0b1cca23d4b666613aa76c1a73d10a8a3f17,b60a204d9a6c0f5fb606b99c2f8a0b1cca23d4b666613aa76c1a73d10a8a3f17,PASS
D10B,03_qc/D10B_INDEPENDENT_VALIDATION_CHECKS_v01.csv,643,643,d66f63ec369bee6e80f50b7fde6a7489479b235b2f7789e6da1a362dfd73c43c,d66f63ec369bee6e80f50b7fde6a7489479b235b2f7789e6da1a362dfd73c43c,PASS
D10B,03_qc/D10B_TERMINAL_STATUS_v01.json,272,272,7443c08ed7f6eae5e063d8387cca91209215acd3b19f7984e6270126d83b6b29,7443c08ed7f6eae5e063d8387cca91209215acd3b19f7984e6270126d83b6b29,PASS
D10B,03_qc/D10B_WORLD_IDENTITY_VALIDATION_v01.json,293,293,78ed0f1194b246666f15cacc404f7c3b48259a159b89c056f2e491b8319f0bd2,78ed0f1194b246666f15cacc404f7c3b48259a159b89c056f2e491b8319f0bd2,PASS
D10B,04_code/build_d10b_oracle_source_decomposition_v01.py,36911,36911,012786b7371705832779938341807cfa8155da199b4d5fd8b97be29a52f1076c,012786b7371705832779938341807cfa8155da199b4d5fd8b97be29a52f1076c,PASS
D10B,04_code/package_d10b_oracle_source_decomposition_v01.py,13492,13492,8591275b4e009500b473ee0eb4762b7f1f6d4a7607d638906c22bfe10c13ce2d,8591275b4e009500b473ee0eb4762b7f1f6d4a7607d638906c22bfe10c13ce2d,PASS
D10B,04_code/parameters_d10b_oracle_source_decomposition_v01.json,1423,1423,e354a06b34e162b952b06299fa9c212f4da587b540b185f76b561492be51859f,e354a06b34e162b952b06299fa9c212f4da587b540b185f76b561492be51859f,PASS
D10B,04_code/verify_d10b_oracle_source_decomposition_v01.py,8234,8234,65d3dfb6f1c586d0d755eeadda0ad90554ce058ee60d900a567f07a908a3f46b,65d3dfb6f1c586d0d755eeadda0ad90554ce058ee60d900a567f07a908a3f46b,PASS
D10B,04_code/verify_tabular_outputs_d10b_v01.mjs,1674,1674,97e67bc265abcae2169cbcd82c04f16bf84d1dc7ea948f98c3b6a2cb3c81acda,97e67bc265abcae2169cbcd82c04f16bf84d1dc7ea948f98c3b6a2cb3c81acda,PASS
D09C,00_control/D09C_T2_COMPLETION_EXECUTION_FREEZE_v01.md,3085,3085,5ead38497b6d8cd3f1a83afb752e0cdcbd268fbd237835973bfeada5932f93fd,5ead38497b6d8cd3f1a83afb752e0cdcbd268fbd237835973bfeada5932f93fd,PASS
D09C,00_control/D09C_T2_FINAL_CORRECTION_EXECUTION_FREEZE_v02.md,3735,3735,5b2554a4947ac23580bcfb1765e9b3c715130f87195fdcd89eb2a80b5ffbf7f6,5b2554a4947ac23580bcfb1765e9b3c715130f87195fdcd89eb2a80b5ffbf7f6,PASS
D09C,00_control/Q1_D09C_T2_FINAL_DESIGN_CORRECTION_CONTRACT_v02.md,12047,12047,ee3d958d15e74bc54a1b8fc91b2870bf4eb89304f1ed684f980dd8bd4a9fe351,ee3d958d15e74bc54a1b8fc91b2870bf4eb89304f1ed684f980dd8bd4a9fe351,PASS
D09C,01_authoritative_inputs/predecessor_v01/Q1_D09C_T2_BOUNDED_COMPLETION_REPRODUCIBLE_v01.zip,22154334,22154334,25f361eeeddbe02fd2f93d2daa0b0e974926a8d97965505a3bec37a65388ea7e,25f361eeeddbe02fd2f93d2daa0b0e974926a8d97965505a3bec37a65388ea7e,PASS
D09C,01_authoritative_inputs/predecessor_v01/Q1_D09C_T2_BOUNDED_COMPLETION_REPRODUCIBLE_v01.zip.sha256,118,118,a3278e0e37cda62690f615e5a8d8b05e115d1fce1f7ebb01178adfa217d7b837,a3278e0e37cda62690f615e5a8d8b05e115d1fce1f7ebb01178adfa217d7b837,PASS
D09C,02_outputs/Q1_D09C_T2_CA_OR_WA_RERANK_AUDIT_v02.csv,909,909,91f6992a15b66fe795d74243b3415c9f3c901ec20a48b707cacff656bda493b0,91f6992a15b66fe795d74243b3415c9f3c901ec20a48b707cacff656bda493b0,PASS
D09C,02_outputs/Q1_D09C_T2_FINAL_COMPLETION_QC_v02.csv,1373,1373,ffb220ed6c7f333ba84d28a47cc0db9f41891bef3d49896fb28ca9cd58bb4bfa,ffb220ed6c7f333ba84d28a47cc0db9f41891bef3d49896fb28ca9cd58bb4bfa,PASS
D09C,02_outputs/Q1_D09C_T2_FINAL_FOLD_SPECIFIC_TI_DESIGN_v02.csv,1492610,1492610,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,b8eff0be84e1085c94df485338ee96783d98e400b2eeb11e2c01da8941b77e0b,PASS
D09C,02_outputs/Q1_D09C_T2_FINAL_RESULT_NOTE_v02.md,1263,1263,4df725000378b6df6d89fb48c182c2c9e20c1e2a682f130c8a9e173659cc860b,4df725000378b6df6d89fb48c182c2c9e20c1e2a682f130c8a9e173659cc860b,PASS
D09C,02_outputs/Q1_D09C_T2_FINAL_RULE_SELECTED_PARTITIONS_v02.csv,9615,9615,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,bad20da15f40b288da7ab2ced6510e2e8456eb7d96b86c351a2a16e3d1802e22,PASS
D09C,02_outputs/Q1_D09C_T2_OR_412301_MISMATCH_FINAL_AUDIT_v02.csv,1218,1218,4b6e6ae465cebc61c59fb462c8f3ac6d773f40da37858f4f8bad8e3e14a86aef,4b6e6ae465cebc61c59fb462c8f3ac6d773f40da37858f4f8bad8e3e14a86aef,PASS
D09C,02_outputs/Q1_D09C_T2_REPAIR_CLASS_LEDGER_v02.csv,381978,381978,938ece3a46d3294adaf763d4c91523b04e17edac4eebeb554a34be1ebd290dee,938ece3a46d3294adaf763d4c91523b04e17edac4eebeb554a34be1ebd290dee,PASS
D09C,02_outputs/Q1_D09C_T2_SPARSE_EU_TRIGGER_AUDIT_v02.csv,4835,4835,7d4d75a856c3e7e3e0507c2d5871270dfbd761d809c8e4d34d31c1e6a6a0ca65,7d4d75a856c3e7e3e0507c2d5871270dfbd761d809c8e4d34d31c1e6a6a0ca65,PASS
D09C,02_outputs/Q1_D09C_T2_WV_MERGE_PARTNER_CANDIDATES_v02.csv,3679,3679,feea9c2ea13523d8487ae4f01e75584863e8dbbc3d592c1d4a9dafcdc5f0d1bc,feea9c2ea13523d8487ae4f01e75584863e8dbbc3d592c1d4a9dafcdc5f0d1bc,PASS
D09C,02_outputs/Q1_D09C_T2_WV_MERGED_FRAME_AUDIT_v02.csv,3561,3561,b658481a79a7844e4177df5c9f23c538fade15cde2e792ddfa95448d2b64ce21,b658481a79a7844e4177df5c9f23c538fade15cde2e792ddfa95448d2b64ce21,PASS
D09C,02_outputs/Q1_D09C_T2_WV_PARTNER_COORDINATE_EVIDENCE_v02.csv,3984,3984,f5eae45bbd539a94722c8c06b09cbdb193f9bf7a11bdef58c66b0abae8a1cbf2,f5eae45bbd539a94722c8c06b09cbdb193f9bf7a11bdef58c66b0abae8a1cbf2,PASS
D09C,03_qc/D09C_T2_FINAL_BUILD_SUMMARY_v02.json,913,913,78fdef3ff53a4bcc6cb44e740f86622a3626d5a3a2655e2bb8b00156ed151c8e,78fdef3ff53a4bcc6cb44e740f86622a3626d5a3a2655e2bb8b00156ed151c8e,PASS
D09C,03_qc/D09C_T2_FINAL_ENVIRONMENT_v02.json,319,319,be9325bba456a952b41a0b0a4d797be4c730706956afc3ef8baa16c16ba4dfaa,be9325bba456a952b41a0b0a4d797be4c730706956afc3ef8baa16c16ba4dfaa,PASS
D09C,03_qc/D09C_T2_FINAL_IMPLEMENTATION_LOG_v02.md,428,428,c27b6bf2bd5e41c529fda9adc5d5e781c12760bf1a358400f6a7debd1e6f0e2a,c27b6bf2bd5e41c529fda9adc5d5e781c12760bf1a358400f6a7debd1e6f0e2a,PASS
D09C,03_qc/D09C_T2_FINAL_INDEPENDENT_VALIDATION_v02.json,3532,3532,7ab02dae0ce61011b172d3cdaea76a3231cd00403e11c964b6e9dc780d6465c0,7ab02dae0ce61011b172d3cdaea76a3231cd00403e11c964b6e9dc780d6465c0,PASS
D09C,03_qc/D09C_T2_FINAL_INPUT_INTEGRITY_v02.csv,11688,11688,5bc12718225af8a35eeaf43b90b832aef0c2124cebe206d6e33c9a7f9bf25ee6,5bc12718225af8a35eeaf43b90b832aef0c2124cebe206d6e33c9a7f9bf25ee6,PASS
D09C,04_code/build_d09c_t2_final_correction_v02.py,42279,42279,6983bbc28a3ba70cf5555798b5a03832412e9eb3646467fcec2b82d97e6aa38b,6983bbc28a3ba70cf5555798b5a03832412e9eb3646467fcec2b82d97e6aa38b,PASS
D09C,04_code/finalize_d09c_t2_final_correction_v02.py,9789,9789,bbc72e35fb462d560958139be025c174e47e191dfd7e9ecb9885cd84a84924af,bbc72e35fb462d560958139be025c174e47e191dfd7e9ecb9885cd84a84924af,PASS
D09C,04_code/parameters_d09c_t2_final_correction_v02.json,1887,1887,ff7016e42c8fa2cf259307b16d910c8332dee5172168be77d791055831ef998b,ff7016e42c8fa2cf259307b16d910c8332dee5172168be77d791055831ef998b,PASS
D09C,04_code/predecessor_v01_build_d09c_t2_completion_v01.py,55628,55628,c9f1167f76f8cb15b4f5db31c1442f86522b927a1d1825801a8f0f1547d2a773,c9f1167f76f8cb15b4f5db31c1442f86522b927a1d1825801a8f0f1547d2a773,PASS
D09C,04_code/verify_d09c_t2_final_correction_v02.py,8759,8759,9038f0935c3b8717934f02505e62c2795114e8bd8ebe564b2533b76a3b21b187,9038f0935c3b8717934f02505e62c2795114e8bd8ebe564b2533b76a3b21b187,PASS
D09C,D09C_T2_FINAL_DELIVERY_INDEX_v02.md,4745,4745,91da86035fd3f8d0ef0fb59e1e7f9dcbddbcb835538305c31527e6403d1604c3,91da86035fd3f8d0ef0fb59e1e7f9dcbddbcb835538305c31527e6403d1604c3,PASS
