synthetic_species_id,world,observation_regime,support_seed,observation_seed,abundance_seed,true_support_cells,positive_abundance_histogram_shared_with_pair,support_shared_with_pair,generator_parameters_exposed_to_fit
SYN008,PAIRED_NULL,O2,3504914858,1030341592,4180138025,122,YES,YES,NO
SYN008,PAIRED_NULL,O3,3504914858,41182448,4180138025,122,YES,YES,NO
SYN009,STRONG,O1,1990553608,2781167181,3171764874,84,YES,YES,NO
SYN009,STRONG,O2,1990553608,1105595794,3171764874,84,YES,YES,NO
SYN009,STRONG,O3,1990553608,733253648,3171764874,84,YES,YES,NO
SYN009,PAIRED_NULL,O1,1990553608,2781167181,3171764874,84,YES,YES,NO
SYN009,PAIRED_NULL,O2,1990553608,1105595794,3171764874,84,YES,YES,NO
SYN009,PAIRED_NULL,O3,1990553608,733253648,3171764874,84,YES,YES,NO
SYN010,STRONG,O1,3236665121,1290717111,330236445,104,YES,YES,NO
SYN010,STRONG,O2,3236665121,1883278690,330236445,104,YES,YES,NO
SYN010,STRONG,O3,3236665121,1700317626,330236445,104,YES,YES,NO
SYN010,PAIRED_NULL,O1,3236665121,1290717111,330236445,104,YES,YES,NO
SYN010,PAIRED_NULL,O2,3236665121,1883278690,330236445,104,YES,YES,NO
SYN010,PAIRED_NULL,O3,3236665121,1700317626,330236445,104,YES,YES,NO
SYN011,STRONG,O1,664639931,184039509,4015310404,123,YES,YES,NO
SYN011,STRONG,O2,664639931,2381957335,4015310404,123,YES,YES,NO
SYN011,STRONG,O3,664639931,1319891891,4015310404,123,YES,YES,NO
SYN011,PAIRED_NULL,O1,664639931,184039509,4015310404,123,YES,YES,NO
SYN011,PAIRED_NULL,O2,664639931,2381957335,4015310404,123,YES,YES,NO
SYN011,PAIRED_NULL,O3,664639931,1319891891,4015310404,123,YES,YES,NO
SYN012,STRONG,O1,3789262575,2340991038,26143644,156,YES,YES,NO
SYN012,STRONG,O2,3789262575,2482926359,26143644,156,YES,YES,NO
SYN012,STRONG,O3,3789262575,2384320695,26143644,156,YES,YES,NO
SYN012,PAIRED_NULL,O1,3789262575,2340991038,26143644,156,YES,YES,NO
SYN012,PAIRED_NULL,O2,3789262575,2482926359,26143644,156,YES,YES,NO
SYN012,PAIRED_NULL,O3,3789262575,2384320695,26143644,156,YES,YES,NO
SYN013,STRONG,O1,1328287894,2910141127,3080741132,127,YES,YES,NO
SYN013,STRONG,O2,1328287894,3174530681,3080741132,127,YES,YES,NO
SYN013,STRONG,O3,1328287894,794603597,3080741132,127,YES,YES,NO
SYN013,PAIRED_NULL,O1,1328287894,2910141127,3080741132,127,YES,YES,NO
SYN013,PAIRED_NULL,O2,1328287894,3174530681,3080741132,127,YES,YES,NO
SYN013,PAIRED_NULL,O3,1328287894,794603597,3080741132,127,YES,YES,NO
SYN014,STRONG,O1,1497504541,1340538879,7768223,125,YES,YES,NO
SYN014,STRONG,O2,1497504541,2852952787,7768223,125,YES,YES,NO
SYN014,STRONG,O3,1497504541,2392491183,7768223,125,YES,YES,NO
SYN014,PAIRED_NULL,O1,1497504541,1340538879,7768223,125,YES,YES,NO
SYN014,PAIRED_NULL,O2,1497504541,2852952787,7768223,125,YES,YES,NO
SYN014,PAIRED_NULL,O3,1497504541,2392491183,7768223,125,YES,YES,NO
SYN015,STRONG,O1,426538373,2225403848,222614335,166,YES,YES,NO
SYN015,STRONG,O2,426538373,3867060626,222614335,166,YES,YES,NO
SYN015,STRONG,O3,426538373,306500207,222614335,166,YES,YES,NO
SYN015,PAIRED_NULL,O1,426538373,2225403848,222614335,166,YES,YES,NO
SYN015,PAIRED_NULL,O2,426538373,3867060626,222614335,166,YES,YES,NO
SYN015,PAIRED_NULL,O3,426538373,306500207,222614335,166,YES,YES,NO
SYN016,STRONG,O1,3824942343,1812970854,906215889,103,YES,YES,NO
SYN016,STRONG,O2,3824942343,2937112846,906215889,103,YES,YES,NO
SYN016,STRONG,O3,3824942343,3860143268,906215889,103,YES,YES,NO
SYN016,PAIRED_NULL,O1,3824942343,1812970854,906215889,103,YES,YES,NO
SYN016,PAIRED_NULL,O2,3824942343,2937112846,906215889,103,YES,YES,NO
SYN016,PAIRED_NULL,O3,3824942343,3860143268,906215889,103,YES,YES,NO
SYN017,STRONG,O1,858924639,621304139,82792281,168,YES,YES,NO
SYN017,STRONG,O2,858924639,449592177,82792281,168,YES,YES,NO
SYN017,STRONG,O3,858924639,3131238742,82792281,168,YES,YES,NO
SYN017,PAIRED_NULL,O1,858924639,621304139,82792281,168,YES,YES,NO
SYN017,PAIRED_NULL,O2,858924639,449592177,82792281,168,YES,YES,NO
SYN017,PAIRED_NULL,O3,858924639,3131238742,82792281,168,YES,YES,NO
SYN018,STRONG,O1,1136079,4016629922,696785494,66,YES,YES,NO
SYN018,STRONG,O2,1136079,3091711415,696785494,66,YES,YES,NO
SYN018,STRONG,O3,1136079,1746372597,696785494,66,YES,YES,NO
SYN018,PAIRED_NULL,O1,1136079,4016629922,696785494,66,YES,YES,NO
SYN018,PAIRED_NULL,O2,1136079,3091711415,696785494,66,YES,YES,NO
SYN018,PAIRED_NULL,O3,1136079,1746372597,696785494,66,YES,YES,NO
SYN019,STRONG,O1,695366608,2960438732,2850632630,76,YES,YES,NO
SYN019,STRONG,O2,695366608,1211878447,2850632630,76,YES,YES,NO
SYN019,STRONG,O3,695366608,3942793097,2850632630,76,YES,YES,NO
SYN019,PAIRED_NULL,O1,695366608,2960438732,2850632630,76,YES,YES,NO
SYN019,PAIRED_NULL,O2,695366608,1211878447,2850632630,76,YES,YES,NO
SYN019,PAIRED_NULL,O3,695366608,3942793097,2850632630,76,YES,YES,NO
SYN020,STRONG,O1,147730591,4168390457,4016356660,105,YES,YES,NO
SYN020,STRONG,O2,147730591,2136740096,4016356660,105,YES,YES,NO
SYN020,STRONG,O3,147730591,259323339,4016356660,105,YES,YES,NO
SYN020,PAIRED_NULL,O1,147730591,4168390457,4016356660,105,YES,YES,NO
SYN020,PAIRED_NULL,O2,147730591,2136740096,4016356660,105,YES,YES,NO
SYN020,PAIRED_NULL,O3,147730591,259323339,4016356660,105,YES,YES,NO
SYN021,STRONG,O1,341760794,2385759506,3200896814,161,YES,YES,NO
SYN021,STRONG,O2,341760794,2555946812,3200896814,161,YES,YES,NO
SYN021,STRONG,O3,341760794,2607824490,3200896814,161,YES,YES,NO
SYN021,PAIRED_NULL,O1,341760794,2385759506,3200896814,161,YES,YES,NO
SYN021,PAIRED_NULL,O2,341760794,2555946812,3200896814,161,YES,YES,NO
SYN021,PAIRED_NULL,O3,341760794,2607824490,3200896814,161,YES,YES,NO
SYN022,STRONG,O1,1144285489,2557516916,1942023043,168,YES,YES,NO
SYN022,STRONG,O2,1144285489,3802535901,1942023043,168,YES,YES,NO
SYN022,STRONG,O3,1144285489,393101554,1942023043,168,YES,YES,NO
SYN022,PAIRED_NULL,O1,1144285489,2557516916,1942023043,168,YES,YES,NO
SYN022,PAIRED_NULL,O2,1144285489,3802535901,1942023043,168,YES,YES,NO
SYN022,PAIRED_NULL,O3,1144285489,393101554,1942023043,168,YES,YES,NO
SYN023,STRONG,O1,753815702,9397148,3207569362,170,YES,YES,NO
SYN023,STRONG,O2,753815702,63087952,3207569362,170,YES,YES,NO
SYN023,STRONG,O3,753815702,668493226,3207569362,170,YES,YES,NO
SYN023,PAIRED_NULL,O1,753815702,9397148,3207569362,170,YES,YES,NO
SYN023,PAIRED_NULL,O2,753815702,63087952,3207569362,170,YES,YES,NO
SYN023,PAIRED_NULL,O3,753815702,668493226,3207569362,170,YES,YES,NO
SYN024,STRONG,O1,721748862,4142949845,111110142,75,YES,YES,NO
SYN024,STRONG,O2,721748862,1765783313,111110142,75,YES,YES,NO
SYN024,STRONG,O3,721748862,2795880796,111110142,75,YES,YES,NO
SYN024,PAIRED_NULL,O1,721748862,4142949845,111110142,75,YES,YES,NO
SYN024,PAIRED_NULL,O2,721748862,1765783313,111110142,75,YES,YES,NO
SYN024,PAIRED_NULL,O3,721748862,2795880796,111110142,75,YES,YES,NO
SYN025,STRONG,O1,1864860273,2007336622,3397928431,133,YES,YES,NO
SYN025,STRONG,O2,1864860273,3470239910,3397928431,133,YES,YES,NO
SYN025,STRONG,O3,1864860273,1829034751,3397928431,133,YES,YES,NO
SYN025,PAIRED_NULL,O1,1864860273,2007336622,3397928431,133,YES,YES,NO
SYN025,PAIRED_NULL,O2,1864860273,3470239910,3397928431,133,YES,YES,NO
SYN025,PAIRED_NULL,O3,1864860273,1829034751,3397928431,133,YES,YES,NO
SYN026,STRONG,O1,2962220565,3165898125,2191023366,133,YES,YES,NO
SYN026,STRONG,O2,2962220565,185211484,2191023366,133,YES,YES,NO
SYN026,STRONG,O3,2962220565,1697931592,2191023366,133,YES,YES,NO
SYN026,PAIRED_NULL,O1,2962220565,3165898125,2191023366,133,YES,YES,NO
SYN026,PAIRED_NULL,O2,2962220565,185211484,2191023366,133,YES,YES,NO
SYN026,PAIRED_NULL,O3,2962220565,1697931592,2191023366,133,YES,YES,NO
SYN027,STRONG,O1,2926481475,2786108682,3608662,147,YES,YES,NO
SYN027,STRONG,O2,2926481475,3467871249,3608662,147,YES,YES,NO
SYN027,STRONG,O3,2926481475,2320740715,3608662,147,YES,YES,NO
SYN027,PAIRED_NULL,O1,2926481475,2786108682,3608662,147,YES,YES,NO
SYN027,PAIRED_NULL,O2,2926481475,3467871249,3608662,147,YES,YES,NO
SYN027,PAIRED_NULL,O3,2926481475,2320740715,3608662,147,YES,YES,NO
SYN028,STRONG,O1,3162347907,55037671,1494820958,175,YES,YES,NO
SYN028,STRONG,O2,3162347907,634091106,1494820958,175,YES,YES,NO
SYN028,STRONG,O3,3162347907,3387947828,1494820958,175,YES,YES,NO
SYN028,PAIRED_NULL,O1,3162347907,55037671,1494820958,175,YES,YES,NO
SYN028,PAIRED_NULL,O2,3162347907,634091106,1494820958,175,YES,YES,NO
SYN028,PAIRED_NULL,O3,3162347907,3387947828,1494820958,175,YES,YES,NO
SYN029,STRONG,O1,2825333230,1382070890,4209931757,136,YES,YES,NO
SYN029,STRONG,O2,2825333230,122871931,4209931757,136,YES,YES,NO
SYN029,STRONG,O3,2825333230,621374439,4209931757,136,YES,YES,NO
SYN029,PAIRED_NULL,O1,2825333230,1382070890,4209931757,136,YES,YES,NO
SYN029,PAIRED_NULL,O2,2825333230,122871931,4209931757,136,YES,YES,NO
SYN029,PAIRED_NULL,O3,2825333230,621374439,4209931757,136,YES,YES,NO
SYN030,STRONG,O1,1498368755,2659455628,3935519246,88,YES,YES,NO
SYN030,STRONG,O2,1498368755,2848465451,3935519246,88,YES,YES,NO
SYN030,STRONG,O3,1498368755,4075020277,3935519246,88,YES,YES,NO
SYN030,PAIRED_NULL,O1,1498368755,2659455628,3935519246,88,YES,YES,NO
SYN030,PAIRED_NULL,O2,1498368755,2848465451,3935519246,88,YES,YES,NO
SYN030,PAIRED_NULL,O3,1498368755,4075020277,3935519246,88,YES,YES,NO
SYN031,STRONG,O1,1209077251,3963354435,3132043841,87,YES,YES,NO
SYN031,STRONG,O2,1209077251,211252284,3132043841,87,YES,YES,NO
SYN031,STRONG,O3,1209077251,1493598936,3132043841,87,YES,YES,NO
SYN031,PAIRED_NULL,O1,1209077251,3963354435,3132043841,87,YES,YES,NO
SYN031,PAIRED_NULL,O2,1209077251,211252284,3132043841,87,YES,YES,NO
SYN031,PAIRED_NULL,O3,1209077251,1493598936,3132043841,87,YES,YES,NO
SYN032,STRONG,O1,49759031,3804038971,700033754,169,YES,YES,NO
SYN032,STRONG,O2,49759031,3155161106,700033754,169,YES,YES,NO
SYN032,STRONG,O3,49759031,2463974514,700033754,169,YES,YES,NO
SYN032,PAIRED_NULL,O1,49759031,3804038971,700033754,169,YES,YES,NO
SYN032,PAIRED_NULL,O2,49759031,3155161106,700033754,169,YES,YES,NO
SYN032,PAIRED_NULL,O3,49759031,2463974514,700033754,169,YES,YES,NO
SYN033,STRONG,O1,3421044393,492765975,2898540953,148,YES,YES,NO
SYN033,STRONG,O2,3421044393,280904746,2898540953,148,YES,YES,NO
SYN033,STRONG,O3,3421044393,938704840,2898540953,148,YES,YES,NO
SYN033,PAIRED_NULL,O1,3421044393,492765975,2898540953,148,YES,YES,NO
SYN033,PAIRED_NULL,O2,3421044393,280904746,2898540953,148,YES,YES,NO
SYN033,PAIRED_NULL,O3,3421044393,938704840,2898540953,148,YES,YES,NO
SYN034,STRONG,O1,296734496,3605759516,2351021460,118,YES,YES,NO
SYN034,STRONG,O2,296734496,2312425839,2351021460,118,YES,YES,NO
SYN034,STRONG,O3,296734496,333009373,2351021460,118,YES,YES,NO
SYN034,PAIRED_NULL,O1,296734496,3605759516,2351021460,118,YES,YES,NO
SYN034,PAIRED_NULL,O2,296734496,2312425839,2351021460,118,YES,YES,NO
SYN034,PAIRED_NULL,O3,296734496,333009373,2351021460,118,YES,YES,NO
SYN035,STRONG,O1,1449811287,3570050569,3752119436,136,YES,YES,NO
SYN035,STRONG,O2,1449811287,543729387,3752119436,136,YES,YES,NO
SYN035,STRONG,O3,1449811287,2813839307,3752119436,136,YES,YES,NO
SYN035,PAIRED_NULL,O1,1449811287,3570050569,3752119436,136,YES,YES,NO
SYN035,PAIRED_NULL,O2,1449811287,543729387,3752119436,136,YES,YES,NO
SYN035,PAIRED_NULL,O3,1449811287,2813839307,3752119436,136,YES,YES,NO
SYN036,STRONG,O1,3428239465,4138022840,3008055081,129,YES,YES,NO
SYN036,STRONG,O2,3428239465,2534431508,3008055081,129,YES,YES,NO
SYN036,STRONG,O3,3428239465,74936078,3008055081,129,YES,YES,NO
SYN036,PAIRED_NULL,O1,3428239465,4138022840,3008055081,129,YES,YES,NO
SYN036,PAIRED_NULL,O2,3428239465,2534431508,3008055081,129,YES,YES,NO
SYN036,PAIRED_NULL,O3,3428239465,74936078,3008055081,129,YES,YES,NO
SYN037,STRONG,O1,1948399054,1053374260,3834302305,63,YES,YES,NO
SYN037,STRONG,O2,1948399054,196958634,3834302305,63,YES,YES,NO
SYN037,STRONG,O3,1948399054,3033653316,3834302305,63,YES,YES,NO
SYN037,PAIRED_NULL,O1,1948399054,1053374260,3834302305,63,YES,YES,NO
SYN037,PAIRED_NULL,O2,1948399054,196958634,3834302305,63,YES,YES,NO
SYN037,PAIRED_NULL,O3,1948399054,3033653316,3834302305,63,YES,YES,NO
SYN038,STRONG,O1,833082116,2815378020,935523604,93,YES,YES,NO
SYN038,STRONG,O2,833082116,3783914468,935523604,93,YES,YES,NO
SYN038,STRONG,O3,833082116,2773356740,935523604,93,YES,YES,NO
SYN038,PAIRED_NULL,O1,833082116,2815378020,935523604,93,YES,YES,NO
SYN038,PAIRED_NULL,O2,833082116,3783914468,935523604,93,YES,YES,NO
SYN038,PAIRED_NULL,O3,833082116,2773356740,935523604,93,YES,YES,NO
SYN039,STRONG,O1,2849724746,3237935976,668856801,134,YES,YES,NO
SYN039,STRONG,O2,2849724746,3511968204,668856801,134,YES,YES,NO
SYN039,STRONG,O3,2849724746,3792141253,668856801,134,YES,YES,NO
SYN039,PAIRED_NULL,O1,2849724746,3237935976,668856801,134,YES,YES,NO
SYN039,PAIRED_NULL,O2,2849724746,3511968204,668856801,134,YES,YES,NO
SYN039,PAIRED_NULL,O3,2849724746,3792141253,668856801,134,YES,YES,NO
SYN040,STRONG,O1,516908945,215464727,3942901228,91,YES,YES,NO
SYN040,STRONG,O2,516908945,1951569298,3942901228,91,YES,YES,NO
SYN040,STRONG,O3,516908945,88466726,3942901228,91,YES,YES,NO
SYN040,PAIRED_NULL,O1,516908945,215464727,3942901228,91,YES,YES,NO
SYN040,PAIRED_NULL,O2,516908945,1951569298,3942901228,91,YES,YES,NO
SYN040,PAIRED_NULL,O3,516908945,88466726,3942901228,91,YES,YES,NO
SYN041,STRONG,O1,3669149931,89927639,499453673,62,YES,YES,NO
SYN041,STRONG,O2,3669149931,3305945514,499453673,62,YES,YES,NO
SYN041,STRONG,O3,3669149931,739975050,499453673,62,YES,YES,NO
SYN041,PAIRED_NULL,O1,3669149931,89927639,499453673,62,YES,YES,NO
SYN041,PAIRED_NULL,O2,3669149931,3305945514,499453673,62,YES,YES,NO
SYN041,PAIRED_NULL,O3,3669149931,739975050,499453673,62,YES,YES,NO
SYN042,STRONG,O1,900659545,877007181,1056626759,126,YES,YES,NO
SYN042,STRONG,O2,900659545,609554267,1056626759,126,YES,YES,NO
SYN042,STRONG,O3,900659545,2424310543,1056626759,126,YES,YES,NO
SYN042,PAIRED_NULL,O1,900659545,877007181,1056626759,126,YES,YES,NO
SYN042,PAIRED_NULL,O2,900659545,609554267,1056626759,126,YES,YES,NO
SYN042,PAIRED_NULL,O3,900659545,2424310543,1056626759,126,YES,YES,NO
SYN043,STRONG,O1,2259580159,2468524545,1734513772,110,YES,YES,NO
SYN043,STRONG,O2,2259580159,1383321142,1734513772,110,YES,YES,NO
SYN043,STRONG,O3,2259580159,3552746722,1734513772,110,YES,YES,NO
SYN043,PAIRED_NULL,O1,2259580159,2468524545,1734513772,110,YES,YES,NO
SYN043,PAIRED_NULL,O2,2259580159,1383321142,1734513772,110,YES,YES,NO
SYN043,PAIRED_NULL,O3,2259580159,3552746722,1734513772,110,YES,YES,NO
SYN044,STRONG,O1,3915819349,1627114800,3675134640,119,YES,YES,NO
SYN044,STRONG,O2,3915819349,3917364447,3675134640,119,YES,YES,NO
SYN044,STRONG,O3,3915819349,609524456,3675134640,119,YES,YES,NO
SYN044,PAIRED_NULL,O1,3915819349,1627114800,3675134640,119,YES,YES,NO
SYN044,PAIRED_NULL,O2,3915819349,3917364447,3675134640,119,YES,YES,NO
SYN044,PAIRED_NULL,O3,3915819349,609524456,3675134640,119,YES,YES,NO
SYN045,STRONG,O1,2073216861,1428741616,1261719545,79,YES,YES,NO
SYN045,STRONG,O2,2073216861,1833958440,1261719545,79,YES,YES,NO
SYN045,STRONG,O3,2073216861,2632259188,1261719545,79,YES,YES,NO
SYN045,PAIRED_NULL,O1,2073216861,1428741616,1261719545,79,YES,YES,NO
SYN045,PAIRED_NULL,O2,2073216861,1833958440,1261719545,79,YES,YES,NO
SYN045,PAIRED_NULL,O3,2073216861,2632259188,1261719545,79,YES,YES,NO
SYN046,STRONG,O1,1363137132,3020381625,1442196864,101,YES,YES,NO
SYN046,STRONG,O2,1363137132,3606046885,1442196864,101,YES,YES,NO
SYN046,STRONG,O3,1363137132,2043493723,1442196864,101,YES,YES,NO
SYN046,PAIRED_NULL,O1,1363137132,3020381625,1442196864,101,YES,YES,NO
SYN046,PAIRED_NULL,O2,1363137132,3606046885,1442196864,101,YES,YES,NO
SYN046,PAIRED_NULL,O3,1363137132,2043493723,1442196864,101,YES,YES,NO
SYN047,STRONG,O1,4280186675,1445604171,1982697048,156,YES,YES,NO
SYN047,STRONG,O2,4280186675,1773109680,1982697048,156,YES,YES,NO
SYN047,STRONG,O3,4280186675,296911515,1982697048,156,YES,YES,NO
SYN047,PAIRED_NULL,O1,4280186675,1445604171,1982697048,156,YES,YES,NO
SYN047,PAIRED_NULL,O2,4280186675,1773109680,1982697048,156,YES,YES,NO
SYN047,PAIRED_NULL,O3,4280186675,296911515,1982697048,156,YES,YES,NO
SYN048,STRONG,O1,2416895235,910129473,546185982,130,YES,YES,NO
SYN048,STRONG,O2,2416895235,241824936,546185982,130,YES,YES,NO
SYN048,STRONG,O3,2416895235,1912920324,546185982,130,YES,YES,NO
SYN048,PAIRED_NULL,O1,2416895235,910129473,546185982,130,YES,YES,NO
SYN048,PAIRED_NULL,O2,2416895235,241824936,546185982,130,YES,YES,NO
SYN048,PAIRED_NULL,O3,2416895235,1912920324,546185982,130,YES,YES,NO
SYN049,STRONG,O1,472078454,626154917,3437256827,100,YES,YES,NO
SYN049,STRONG,O2,472078454,2588731799,3437256827,100,YES,YES,NO
SYN049,STRONG,O3,472078454,1170499088,3437256827,100,YES,YES,NO
SYN049,PAIRED_NULL,O1,472078454,626154917,3437256827,100,YES,YES,NO
SYN049,PAIRED_NULL,O2,472078454,2588731799,3437256827,100,YES,YES,NO
SYN049,PAIRED_NULL,O3,472078454,1170499088,3437256827,100,YES,YES,NO
SYN050,STRONG,O1,2522896983,737765808,1221006482,144,YES,YES,NO
SYN050,STRONG,O2,2522896983,1566677068,1221006482,144,YES,YES,NO
SYN050,STRONG,O3,2522896983,3728234986,1221006482,144,YES,YES,NO
SYN050,PAIRED_NULL,O1,2522896983,737765808,1221006482,144,YES,YES,NO
SYN050,PAIRED_NULL,O2,2522896983,1566677068,1221006482,144,YES,YES,NO
SYN050,PAIRED_NULL,O3,2522896983,3728234986,1221006482,144,YES,YES,NO
SYN051,STRONG,O1,3657629026,1756084847,2866200712,154,YES,YES,NO
SYN051,STRONG,O2,3657629026,1018822314,2866200712,154,YES,YES,NO
SYN051,STRONG,O3,3657629026,2888699156,2866200712,154,YES,YES,NO
SYN051,PAIRED_NULL,O1,3657629026,1756084847,2866200712,154,YES,YES,NO
SYN051,PAIRED_NULL,O2,3657629026,1018822314,2866200712,154,YES,YES,NO
SYN051,PAIRED_NULL,O3,3657629026,2888699156,2866200712,154,YES,YES,NO
SYN052,STRONG,O1,1360802531,2033059644,2972556843,75,YES,YES,NO
SYN052,STRONG,O2,1360802531,2504373038,2972556843,75,YES,YES,NO
SYN052,STRONG,O3,1360802531,2542929637,2972556843,75,YES,YES,NO
SYN052,PAIRED_NULL,O1,1360802531,2033059644,2972556843,75,YES,YES,NO
SYN052,PAIRED_NULL,O2,1360802531,2504373038,2972556843,75,YES,YES,NO
SYN052,PAIRED_NULL,O3,1360802531,2542929637,2972556843,75,YES,YES,NO
SYN053,STRONG,O1,707353233,4087687310,3249157216,176,YES,YES,NO
SYN053,STRONG,O2,707353233,3215300342,3249157216,176,YES,YES,NO
SYN053,STRONG,O3,707353233,390737138,3249157216,176,YES,YES,NO
SYN053,PAIRED_NULL,O1,707353233,4087687310,3249157216,176,YES,YES,NO
SYN053,PAIRED_NULL,O2,707353233,3215300342,3249157216,176,YES,YES,NO
SYN053,PAIRED_NULL,O3,707353233,390737138,3249157216,176,YES,YES,NO
SYN054,STRONG,O1,1684937638,1909978926,1497426798,118,YES,YES,NO
SYN054,STRONG,O2,1684937638,4012493418,1497426798,118,YES,YES,NO
SYN054,STRONG,O3,1684937638,2655967186,1497426798,118,YES,YES,NO
SYN054,PAIRED_NULL,O1,1684937638,1909978926,1497426798,118,YES,YES,NO
SYN054,PAIRED_NULL,O2,1684937638,4012493418,1497426798,118,YES,YES,NO
SYN054,PAIRED_NULL,O3,1684937638,2655967186,1497426798,118,YES,YES,NO
SYN055,STRONG,O1,492492480,1938245552,602000536,98,YES,YES,NO
SYN055,STRONG,O2,492492480,2894024199,602000536,98,YES,YES,NO
SYN055,STRONG,O3,492492480,3760519475,602000536,98,YES,YES,NO
SYN055,PAIRED_NULL,O1,492492480,1938245552,602000536,98,YES,YES,NO
SYN055,PAIRED_NULL,O2,492492480,2894024199,602000536,98,YES,YES,NO
SYN055,PAIRED_NULL,O3,492492480,3760519475,602000536,98,YES,YES,NO
SYN056,STRONG,O1,2897736785,1192874553,386079651,159,YES,YES,NO
SYN056,STRONG,O2,2897736785,555199238,386079651,159,YES,YES,NO
SYN056,STRONG,O3,2897736785,513175596,386079651,159,YES,YES,NO
SYN056,PAIRED_NULL,O1,2897736785,1192874553,386079651,159,YES,YES,NO
SYN056,PAIRED_NULL,O2,2897736785,555199238,386079651,159,YES,YES,NO
SYN056,PAIRED_NULL,O3,2897736785,513175596,386079651,159,YES,YES,NO
SYN057,STRONG,O1,2197763249,3931920251,2823779751,175,YES,YES,NO
SYN057,STRONG,O2,2197763249,3987636157,2823779751,175,YES,YES,NO
SYN057,STRONG,O3,2197763249,4018572537,2823779751,175,YES,YES,NO
SYN057,PAIRED_NULL,O1,2197763249,3931920251,2823779751,175,YES,YES,NO
