state_fips,state_abbr,component_evalid,R0_candidate_count,R1_candidate_count,R2_triggered,R2_candidate_count,R3_candidate_count,trigger_evidence,partner_resolution_status,final_repair_class
32,NV,322301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
36,NY,362301,5,0,NO,0,5,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
39,OH,392301,8,0,NO,0,2,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
40,OK,402301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
41,OR,412301,8,2,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
42,PA,422301,6,0,NO,0,4,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
44,RI,442301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
45,SC,452301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
46,SD,462301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
47,TN,472301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
48,TX,482301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
49,UT,492201,9,1,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
51,VA,512301,6,4,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
50,VT,502301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
53,WA,532301,8,2,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
55,WI,552301,10,0,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
54,WV,542301,0,0,YES,10,0,No R0 or R1 candidate among all 10,UNIQUE_MINIMUM_PUBLIC_PLOT_CENTROID_DISTANCE,R2
56,WY,562301,9,1,NO,0,0,At least one R0 or R1 candidate exists; R2 prohibited,NOT_APPLICABLE,R0
