candidate_id,state_fips,state_abbr,state_name,target_reporting_year,target_eval_group,component_evalid,fold_A_panels,fold_B_panels,fold_A_panel_count,fold_B_panel_count,p2panel_split_count,parent_estimation_unit_count,parent_poststratum_count,effective_design_block_count,fold_A_parent_poststrata_covered,fold_B_parent_poststrata_covered,fold_A_missing_parent_poststrata,fold_B_missing_parent_poststrata,symmetric_coarsening_estimation_unit_count,symmetric_coarsening_parent_poststratum_count,symmetric_coarsening_area_acres,true_eu_level_block_count,true_eu_level_block_ids,original_population_area_acres,effective_population_area_acres,population_area_preservation_relative_error,population_area_preserved_100pct,area_preservation_failure_count,unresolved_design_key_count,crossfold_lineage_overlap_count,crossfold_lineage_roots,candidate_design_valid,candidate_design_status,area_weighted_effective_block_imbalance,max_effective_block_imbalance,area_weighted_estimation_unit_imbalance,fold_A_plot_count,fold_B_plot_count,fold_A_plot_share,absolute_fold_A_plot_share_minus_0_4,fold_A_measyear_n,fold_B_measyear_n,fold_A_measyear_distribution,fold_B_measyear_distribution,fold_A_measyear_mean,fold_B_measyear_mean,fold_A_measyear_median,fold_B_measyear_median,fold_A_measyear_sd,fold_B_measyear_sd,fold_A_measyear_min,fold_A_measyear_max,fold_B_measyear_min,fold_B_measyear_max,temporal_center_abs_diff_years,temporal_distribution_l1_distance,temporal_sd_abs_diff_years,mechanical_rank,rule_selected_top_candidate,mainline_final_acceptance,ranking_rule,repair_class_code,repair_class,repair_class_reason,native_missing_parent_poststrata,within_eu_symmetric_coarsening_used,within_eu_coarsened_unit_count,sparse_eu_fallback_used,sparse_eu,sparse_eu_partner,merged_domain_id,area_preserved_100pct,ti_estimable,rank_within_repair_class,competition_eligible_class,final_rank_within_admissible_class,final_rule_selected,merged_domain_fold_A_sample_count,merged_domain_fold_B_sample_count
T2_AZ_A1-2_B3-4-5,04,AZ,Arizona,2023,042023,42301,1-2,3-4-5,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09843703835788559,0.9090909090909091,0.026309615378002915,4783,7113,0.40206792199058505,0.002067921990585031,4783,7113,2014:1196;2015:1189;2016:10;2017:8;2019:1202;2020:1055;2021:68;2022:30;2023:22;2024:3,2015:3;2016:1129;2017:1262;2018:1165;2019:6;2021:1076;2022:1102;2023:1329;2024:40;2025:1,2017.0351243989128,2019.5471671587234,2016.0,2018.0,2.611146965957664,2.672991856283553,2014,2024,2015,2025,2.5120427598105834,1.9385106097239335,0.061844890325889246,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,6,YES,6,0,,
T2_AZ_A1-3_B2-4-5,04,AZ,Arizona,2023,042023,42301,1-3,2-4-5,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.08469499710047343,0.7894736842105263,0.018300552617266944,4797,7099,0.40324478816408876,0.003244788164088741,4797,7099,2014:1196;2015:5;2016:1130;2017:75;2018:1;2019:1202;2020:2;2021:1077;2022:59;2023:43;2024:7,2015:1187;2016:9;2017:1195;2018:1164;2019:6;2020:1053;2021:67;2022:1073;2023:1308;2024:36;2025:1,2017.5405461746925,2019.2105930412733,2017.0,2018.0,2.737370109151308,2.847296162291216,2014,2024,2015,2025,1.670046866580833,1.8968481234001284,0.10992605313990822,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,1,YES,1,1,,
T2_AZ_A1-4_B2-3-5,04,AZ,Arizona,2023,042023,42301,1-4,2-3-5,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09783511958651686,0.9848484848484849,0.02426743518506185,4806,7090,0.4040013449899126,0.004001344989912559,4806,7090,2014:1196;2015:2;2016:1;2017:1187;2018:5;2019:1202;2020:2;2021:1;2022:1043;2023:150;2024:17,2015:1190;2016:1138;2017:83;2018:1160;2019:6;2020:1053;2021:1143;2022:89;2023:1201;2024:26;2025:1,2018.0528506034125,2018.8654442877291,2019.0,2018.0,2.977563549674168,2.8349439179611147,2014,2024,2015,2025,0.8125936843166528,1.8757143603405944,0.14261963171305325,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,5,YES,5,0,,
T2_AZ_A1-5_B2-3-4,04,AZ,Arizona,2023,042023,42301,1-5,2-3-4,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.0986447714273154,1.1231884057971016,0.040239831322286666,4722,7174,0.3969401479488904,0.003059852051109646,4722,7174,2014:1196;2015:2;2016:1;2018:1159;2019:1208;2020:2;2021:1;2023:1136;2024:16;2025:1,2015:1190;2016:1138;2017:1270;2018:6;2020:1053;2021:1143;2022:1132;2023:215;2024:27,2018.467174925879,2018.5832171731251,2019.0,2017.0,3.201137404879838,2.7195155050364384,2014,2025,2015,2024,0.11604224724624146,1.9290705400354495,0.48162189984339987,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,8,YES,8,0,,
T2_AZ_A2-3_B1-4-5,04,AZ,Arizona,2023,042023,42301,2-3,1-4-5,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09960996705180564,0.8854166666666665,0.032780069700280925,4772,7124,0.4011432414256893,0.0011432414256892787,4772,7124,2015:1190;2016:1138;2017:83;2018:1;2020:1053;2021:1143;2022:89;2023:65;2024:10,2014:1196;2015:2;2016:1;2017:1187;2018:1164;2019:1208;2020:2;2021:1;2022:1043;2023:1286;2024:33;2025:1,2018.072715842414,2018.8482594048287,2017.0,2019.0,2.6390393983940252,3.0559150730021343,2015,2024,2014,2025,0.7755435624146685,1.894375905113725,0.41687567460810904,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,9,YES,9,0,,
T2_AZ_A2-4_B1-3-5,04,AZ,Arizona,2023,042023,42301,2-4,1-3-5,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.08788106890023113,1.1458333333333333,0.024970459533997073,4781,7115,0.4018997982515131,0.0018997982515130962,4781,7115,2015:1187;2016:9;2017:1195;2018:5;2020:1053;2021:67;2022:1073;2023:172;2024:20,2014:1196;2015:5;2016:1130;2017:75;2018:1160;2019:1208;2020:2;2021:1077;2022:59;2023:1179;2024:23;2025:1,2018.5866973436518,2018.5038650737877,2017.0,2018.0,2.7923728287722125,3.003480403362202,2015,2024,2014,2025,0.08283226986418413,1.848064611575187,0.21110757458998952,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,2,YES,2,0,,
T2_AZ_A2-5_B1-3-4,04,AZ,Arizona,2023,042023,42301,2-5,1-3-4,2,3,0,15,75,72,74,75,1,0,1,4,792386.0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.08511064253639733,0.9649122807017544,0.02751117704241349,4697,7199,0.3948386012104909,0.0051613987895091085,4697,7199,2015:1187;2016:9;2017:8;2018:1159;2019:6;2020:1053;2021:67;2022:30;2023:1158;2024:19;2025:1,2014:1196;2015:5;2016:1130;2017:1262;2018:6;2019:1202;2020:2;2021:1077;2022:1102;2023:193;2024:24,2019.0127741111348,2018.2268370607028,2018.0,2019.0,2.95094885388978,2.8585378342046406,2015,2025,2014,2024,0.7859370504320395,1.8850057918826577,0.09241101968513954,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R1,R1_WITHIN_EU_SYMMETRIC_COARSENING_VALID,Native poststrata incomplete; symmetric within-EU coarsening closes TI with 100% area,1,1,1,0,,,,1,1,1,NO,,0,,
T2_AZ_A3-4_B1-2-5,04,AZ,Arizona,2023,042023,42301,3-4,1-2-5,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09853400584212865,1.7424242424242424,0.03125045149144423,4795,7101,0.40307666442501683,0.0030766644250168063,4795,7101,2015:3;2016:1129;2017:1262;2018:6;2021:1076;2022:1102;2023:193;2024:24,2014:1196;2015:1189;2016:10;2017:8;2018:1159;2019:1208;2020:1055;2021:68;2022:30;2023:1158;2024:19;2025:1,2019.0877997914495,2018.1653288269258,2018.0,2018.0,2.629064637733037,3.0464457230133073,2015,2024,2014,2025,0.9224709645236544,1.8777227546121,0.4173810852802702,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,7,YES,7,0,,
T2_AZ_A3-5_B1-2-4,04,AZ,Arizona,2023,042023,42301,3-5,1-2-4,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09699020988782611,1.111111111111111,0.03141530497069669,4711,7185,0.3960154673839946,0.003984532616005398,4711,7185,2015:3;2016:1129;2017:75;2018:1160;2019:6;2021:1076;2022:59;2023:1179;2024:23;2025:1,2014:1196;2015:1189;2016:10;2017:1195;2018:5;2019:1202;2020:1055;2021:68;2022:1073;2023:172;2024:20,2019.521545319465,2017.8917188587334,2018.0,2018.0,2.714182424126698,2.8708696793913875,2015,2025,2014,2024,1.6298264607316924,1.8627426563660732,0.15668725526468963,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,4,YES,4,0,,
T2_AZ_A4-5_B1-2-3,04,AZ,Arizona,2023,042023,42301,4-5,1-2-3,2,3,0,15,75,75,75,75,0,0,0,0,0,0,,72958623.0,72958623.0,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09678572703930811,0.8333333333333334,0.031110784494346802,4720,7176,0.39677202420981844,0.003227975790181581,4720,7176,2017:1187;2018:1164;2019:6;2022:1043;2023:1286;2024:33;2025:1,2014:1196;2015:1192;2016:1139;2017:83;2018:1;2019:1202;2020:1055;2021:1144;2022:89;2023:65;2024:10,2020.039406779661,2017.5490523968786,2022.0,2017.0,2.5892286023117492,2.6965130033405176,2017,2025,2014,2024,2.4903543827824706,1.9283383406080532,0.10728440102876835,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,3,YES,3,0,,
T2_AR_A1-2_B3-4-5,05,AR,Arkansas,2023,052023,52301,1-2,3-4-5,2,3,0,7,28,28,28,28,0,0,0,0,0,0,,34034243.04,34034243.04,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.07018676840041649,0.6746031746031745,0.015071405018396994,2261,3412,0.3985545566719549,0.0014454433280451373,2261,3412,2019:1038;2020:1223,2021:1141;2022:1137;2023:1133;2024:1,2019.5409111012825,2021.9982415005861,2020.0,2022.0,0.4984337074050991,0.8172124877131549,2019,2020,2021,2024,2.4573303993036006,2.0,0.3187787803080558,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,1,YES,1,1,,
T2_AR_A1-3_B2-4-5,05,AR,Arkansas,2023,052023,52301,1-3,2-4-5,2,3,0,7,28,28,28,28,0,0,0,0,0,0,,34034243.04,34034243.04,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.09859581989153832,0.5587121212121212,0.012031555088366001,2276,3397,0.4011986603208179,0.0011986603208178903,2276,3397,2019:1038;2020:97;2021:1141,2020:1126;2022:1137;2023:1133;2024:1,2020.0452548330404,2021.671180453341,2021.0,2022.0,0.9776263589270388,1.2461611921569675,2019,2021,2020,2024,1.625925620300677,1.914762741652021,0.26853483322992877,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,9,YES,9,0,,
T2_AR_A1-4_B2-3-5,05,AR,Arkansas,2023,052023,52301,1-4,2-3-5,2,3,0,7,28,28,28,28,0,0,0,0,0,0,,34034243.04,34034243.04,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.078485461122722,0.5158730158730158,0.0076602820378419015,2272,3401,0.40049356601445446,0.0004935660144544385,2272,3401,2019:1038;2020:97;2022:1137,2020:1126;2021:1141;2023:1133;2024:1,2020.5440140845071,2021.3360776242282,2022.0,2021.0,1.4709275092138585,1.246508450162151,2019,2022,2020,2024,0.7920635397210845,1.914612676056338,0.22441905905170745,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,2,YES,2,0,,
T2_AR_A1-5_B2-3-4,05,AR,Arkansas,2023,052023,52301,1-5,2-3-4,2,3,0,7,28,28,28,28,0,0,0,0,0,0,,34034243.04,34034243.04,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.08148933996291931,0.8333333333333333,0.013346423123102759,2269,3404,0.39996474528468184,3.525471531817814e-05,2269,3404,2019:1038;2020:97;2023:1133;2024:1,2020:1126;2021:1141;2022:1137,2021.0423093873953,2021.003231492362,2020.0,2021.0,1.9682150548455908,0.8154698177616923,2019,2024,2020,2022,0.03907789503341519,1.9144997796386074,1.1527452370838986,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,5,YES,5,0,,
T2_AR_A2-3_B1-4-5,05,AR,Arkansas,2023,052023,52301,2-3,1-4-5,2,3,0,7,28,28,28,28,0,0,0,0,0,0,,34034243.04,34034243.04,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.08071123249158084,0.6182795698924731,0.009866904726704349,2267,3406,0.39961219813150006,0.00038780186849995957,2267,3406,2020:1126;2021:1141,2019:1038;2020:97;2022:1137;2023:1133;2024:1,2020.5033083370092,2021.362008220787,2021.0,2022.0,0.5000993667689771,1.6686311943569647,2020,2021,2019,2024,0.8586998837777173,1.9430416911332942,1.1685318275879877,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,4,YES,4,0,,
T2_AR_A2-4_B1-3-5,05,AR,Arkansas,2023,052023,52301,2-4,1-3-5,2,3,0,7,28,28,28,28,0,0,0,0,0,0,,34034243.04,34034243.04,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.0962953759656254,0.625,0.011576163996246164,2263,3410,0.3989071038251366,0.0010928961748634114,2263,3410,2020:1126;2022:1137,2019:1038;2020:97;2021:1141;2023:1133;2024:1,2021.004860804242,2021.0281524926686,2022.0,2021.0,1.000209202510023,1.6055142365709978,2020,2022,2019,2024,0.02329168842652507,1.943108504398827,0.6053050340609747,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,8,YES,8,0,,
T2_AR_A2-5_B1-3-4,05,AR,Arkansas,2023,052023,52301,2-5,1-3-4,2,3,0,7,28,28,28,28,0,0,0,0,0,0,,34034243.04,34034243.04,0.0,1,0,0,0,,1,VALID_TI_ESTIMABLE,0.10123700855552659,0.625,0.010589984827000524,2260,3413,0.398378283095364,0.001621716904636028,2260,3413,2020:1126;2023:1133;2024:1,2019:1038;2020:97;2021:1141;2022:1137,2021.5057522123893,2020.6964547319074,2023.0,2021.0,1.5009109261843299,1.2191716748512882,2020,2024,2019,2022,0.8092974804819733,1.9431585115733958,0.2817392513330417,,0,NOT_DECIDED,validity > effective-block balance > temporal balance > ascending A tuple,R0,R0_NATIVE_STRATIFICATION_VALID,Both folds cover every parent poststratum; no coarsening required,0,0,0,0,,,,1,1,10,YES,10,0,,
